US Electronic Short Form Leads
NAUT8002433968201411171656ELED00000100000059501406CUS-19811625               DDCESAWBFXNLS
NAUT8002439827201411170628ELED00000100000008527732CUS-19810051               dseesf14aBMT
NAUT8002439827201411170629ELED00000100000040050502CUS-19810052               dseesf14aBMT
NAUT8002439827201411170637ELED00000100000008527732CUS-19810043               SAWDSEESF14ABMT
NAUT8002439827201411170723ELED00000100000022030703CUS-19810154               dseesf14aBMT
NAUT8002439827201411170730ELED00000100000015136412CUS-19810172               dseesf14aBMT
NAUT8002439827201411170731ELED00000100000007110974CUS-19810177               dseesf14aBMT
NAUT8002439827201411170818ELED00000100000068352402CUS-19810203               dseesf14aBMT
NAUT8002439827201411170819ELED00000100000028027516CUS-19810309               dseesf14aBMT
NAUT8002439827201411170820ELED00000100000082301909CUS-19810311               dseesf14aBMT
NAUT8002439827201411170821ELED00000100000019320610CUS-19810313               dseesf14aBMT
NAUT8002439827201411170821ELED00000100000097630541CUS-19810314               dseesf14aBMT
NAUT8002439827201411170822ELED00000100000014589315CUS-19545481               dseesf14aBMT
NAUT8002439827201411170834ELED00000100000039212601CUS-19810338               dseesf14aBMT
NAUT8002439827201411170834ELED00000100000043506419CUS-19810336               dseesf14aBMT
NAUT8002439827201411170835ELED00000100000092887714CUS-19810341               dseesf14aBMT
NAUT8002439827201411170839ELED00000100000007107973CUS-19810353               dseesf14aBMT
NAUT8002439827201411170840ELED00000100000021128443CUS-19810355               dseesf14aBMT
NAUT8002439827201411170848ELED00000100000035150256CUS-19810368               dseesf14aBMT
NAUT8002439827201411170850ELED00000100000076010972CUS-19810374               dseesf14aBMT
NAUT8002439827201411171010ELED00000100000019082CUS-19810576               dseesf14aBMT
NAUT8002439827201411171057ELED00000100000037160615CUS-19810671               dseesf14aBMT
NAUT8002439827201411171057ELED00000100000059538406CUS-19810715               dseesf14aBMT
NAUT8002439827201411171058ELED00000100000012144518CUS-19810716               dseesf14aBMT
NAUT8002439827201411171059ELED00000100000054135715CUS-19810720               dseesf14aBMT
NAUT8002439827201411171059ELED00000100000078552956CUS-19810719               dseesf14aBMT
NAUT8002439827201411171100ELED00000100000038358731CUS-19810725               dseesf14aBMT
NAUT8002439827201411171100ELED00000100000057785321CUS-19810723               dseesf14aBMT
NAUT8002439827201411171101ELED00000100000085132CUS-19810727               dseesf14aBMT
NAUT8002439827201411171205ELED00000100000073064831CUS-19810925               dseesf14aBMT
NAUT8002439827201411171205ELED00000100000092277760CUS-19810926               dseesf14aBMT
NAUT8002439827201411171208ELED00000100000075040972CUS-19777109               dseesf14aBMT
NAUT8002439827201411171246ELED00000100000043558419CUS-19811026               dseesf14aBMT
NAUT8002439827201411171307ELED00000100000089108702CUS-19811074               dseesf14aBMT
NAUT8002439827201411171428ELED00000100000061841217CUS-19811272               dseesf14aBMT
NAUT8002439827201411171428ELED00000100000077375832CUS-19811271               dseesf14aBMT
NAUT8002439827201411171503ELED00000100000030135770CUS-19811336               dseesf14aBMT
NAUT8002439827201411171601ELED00000100000029407843CUS-19811475               dseesf14aBMT
NAUT8002439827201411171707ELED00000100000071446337CUS-19811668               dseesf14aBMT
NAUT8002439827201411171728ELED00000100000023111804CUS-19811733               dseesf14aBMT
NAUT8002439827201411171826ELED00000100000018640CUS-19811857               dseesf14aBMT
NAUT8002439827201411172001ELED00000100000007040973CUS-19812014               dseesf14aBMT
NAUT8002439827201411172327ELED00000100000024382540CUS-19812202               dseesf14aBMT
NAUT8002615850201411170044ELED00000100000092886714CUS-19809952               DSEESF14FBMT
NAUT8002615850201411170128ELED00000100000092801714CUS-19809961               DSEESF14FBMT
