US Electronic Short Form Leads
NAUT8002035538201510171610ELED00000100000029349614CUS-20417982               DSETSF15ATRC
NAUT8002439827201510170648ELED00000100000061853618CUS-20422882               dseesf14aBMT
NAUT8002439827201510170649ELED00000100000037615423CUS-5890069               dseesf14aBMT
NAUT8002439827201510170650ELED00000100000033021954CUS-20422884               dseesf14aBMT
NAUT8002439827201510170659ELED00000100000055301763CUS-20422891               dseesf14aBMT
NAUT8002439827201510170947ELED00000100000080601303CUS-20422984               dseesf14aBMT
NAUT8002439827201510171330ELED00000100000029418843CUS-7367727               dseesf14aBMT
NAUT8002439827201510171342ELED00000100000081507970CUS-6196473               dseesf14aBMT
NAUT8002439827201510171354ELED00000100000024401540CUS-20423220               dseesf14aBMT
NAUT8002439827201510171442ELED00000100000034652352CUS-20423267               dseesf14aBMT
NAUT8002439827201510171450ELED00000100000060073847CUS-20423271               dseesf14aBMT
NAUT8002439827201510171504ELED00000100000097504702CUS-20423294               dseesf14aBMT
NAUT8002439827201510171614ELED00000100000083687208CUS-20423349               dseesf14aBMT
NAUT8002439827201510171656ELED00000100000066801620CUS-20423385               dseesf14aBMT
NAUT8002439827201510171800ELED00000100000085304623CUS-20423460               dseesf14aBMT
NAUT8002439827201510171810ELED00000100000049402231CUS-20423467               dseesf14aBMT
NAUT8002615850201510170902ELED00000100000093312661CUS-20422955               DSEESF14FBMT
NAUT8002615850201510171025ELED00000100000077505832CUS-20423008               DSEESF14FBMT
NAUT8002615850201510171302ELED00000100000092407951CUS-20423173               DSEESF14FBMT
NAUT8002615850201510171358ELED00000100000010011202CUS-20423224               DSEESF14FBMT
NAUT8002615850201510171525ELED00000100000010308347CUS-20423306               DSEESF14FBMT
NAUT8002615850201510171543ELED00000100000011106347CUS-20423326               DSEESF14FBMT
NAUT8002615850201510171613ELED00000100000077656409CUS-20423345               DSEESF14FBMT
NAUT8002615850201510171709ELED00000100000049507616CUS-20423397               DSEESF14FBMT
NAUT8002615850201510171825ELED00000100000020155202CUS-20423481               DSEESF14FBMT
NAUT8002696045201510170625ELED00000100000094571707CUS-20422873               dsetsf11gTRC
NAUT8002696045201510171456ELED00000100000090280CUS-20423278               dsetsf11gTRC
NAUT8002696045201510171826ELED00000100000094089408CUS-20423482               dsetsf11gTRC
NAUT8004018947201510170936ELED00000100000044870419CUS-20422973               dsetsf11aTRC
NAUT8004368368201510171150ELED00000100000039170601CUS-20423088               SAWOTVTCTRC
NAUT8004368368201510171157ELED00000100000096022530CUS-20296269               DSETDIRTRC
NAUT8004368368201510171207ELED00000100000024426540CUS-20423106               DSETDIRTRC
NAUT8004368368201510171215ELED00000100000065721417CUS-20423118               DSETDIRTRC
NAUT8004368368201510171220ELED00000100000035960CUS-20423123               DSETDIRTRC
NAUT8004368368201510171227ELED00000100000069301308CUS-20423129               DSETDIRTRC
NAUT8004368368201510171232ELED00000100000030014770CUS-20423132               DSETDIRTRC
NAUT8004368368201510171232ELED00000100000030114770CUS-20423133               DSETDIRTRC
NAUT8004368368201510171237ELED00000100000061073815CUS-20423140               DSETDIRTRC
NAUT8004368368201510171246ELED00000100000040311859CUS-20423147               DSETDIRTRC
NAUT8004368368201510171249ELED00000100000070131504CUS-20423153               DSETDIRTRC
NAUT8004368368201510171254ELED00000100000084070801CUS-20423160               DSETDIRTRC
NAUT8004368368201510171256ELED00000100000080925CUS-20423164               DSETDIRTRC
NAUT8004368368201510171258ELED00000100000046214CUS-20423170               DSETDIRTRC
NAUT8004368368201510171258ELED00000100000054473715CUS-20423168               DSETDIRTRC
NAUT8004368368201510171308ELED00000100000022602540CUS-10769345               DSETDIRTRC
NAUT8004368368201510171311ELED00000100000023188757CUS-20423181               DSETDIRTRC
NAUT8004368368201510171315ELED00000100000095361309CUS-20423184               DSETDIRTRC
NAUT8004368368201510171333ELED00000100000092630949CUS-752225               DSETDIRTRC
NAUT8004368368201510171339ELED00000100000071109318CUS-20423210               DSETDIRTRC
NAUT8004368368201510171342ELED00000100000024426540CUS-20423212               DSETDIRTRC
NAUT8004368368201510171347ELED00000100000028623336CUS-20423216               DSETDIRTRC
NAUT8004368368201510171355ELED00000100000080020720CUS-20423221               DSETDIRTRC
NAUT8004368368201510171359ELED00000100000095693916CUS-20423225               DSETDIRTRC
NAUT8004368368201510171404ELED00000100000013069315CUS-20423229               DSETDIRTRC
NAUT8004368368201510171408ELED00000100000080925703CUS-20423232               DSETDIRTRC
NAUT8004368368201510171443ELED00000100000049224810CUS-20423269               DSETDIRTRC
NAUT8004368368201510171451ELED00000100000023322757CUS-20423272               DSETDIRTRC
NAUT8004368368201510171652ELED00000100000084120CUS-20423381               DSETDIRTRC
NAUT8005258332201510171254ELED00000100000004989207CUS-20423162               DSEESF14EBMT
NAUT8005258332201510171559ELED00000100000043026614CUS-20423337               DSEESF14EBMT
NAUT8005258332201510171734ELED00000100000091343818CUS-20423435               DSEESF14EBMT
NAUT8005258332201510171756ELED00000100000031904706CUS-15956491               DSEESF14EBMT
NAUT8005361847201510170701ELED00000100000015650724CUS-20422893               dseesf14dBMT
