US Short Form Leads
NAUT8002433902201602290039LEAD00000100000095503707CUS-20730520               DESTN5MNHAMFSTICBMT
NAUT8002437081201602290720LEAD00000100000010567914CUS-20730669               RELZN120J14FSTICBMT
NAUT8002437081201602291407LEAD00000100000077531979CUS-20731289               RELZN120J14FSTICBMT
NAUT8002437081201602291502LEAD00000100000094534707CUS-20731360               RELZN120J14FSTICBMT
NAUT8002437081201602291810LEAD00000100000089081626CUS-20731584               RELZN120J14FSTICBMT
NAUT8002665079201602290635LEAD00000100000083704208CUS-20730626               JUSTN120J14FSTICBMT
NAUT8002665079201602291039LEAD00000100000044103216CUS-20730962               JUSTN120J14FSTICBMT
NAUT8002700904201602290636LEAD00000100000078240210CUS-20730628               GRITN120J14FSTICBMT
NAUT8002700904201602291100LEAD00000100000098445253CUS-20730997               GRITN120J14FSTICBMT
NAUT8002794627201602291909LEAD00000100000078723512CUS-20731641               LAFFN120J14FSTICBMT
NAUT8002794627201602291914LEAD00000100000011212347CUS-11603611               LAFFN120J14FSTICBMT
NAUT8003047294201602291136LEAD00000100000076310940CUS-247875               MX7*P60*J14FSTICBMT
NAUT8003047592201602290805LEAD00000100000030127770CUS-20730710               MX12P60*J14FSTICBMT
NAUT8003047592201602291337LEAD00000100000019145215CUS-20731253               MX12P60*J14FSTICBMT
NAUT8003399845201602290703LEAD00000100000056345320CUS-20716654               MOVSN120ALOBYTICTRC
NAUT8003518887201602291353LEAD00000100000083110307CUS-20731271               PIVTN180JACFSTICBMT
NAUT8003582499201602290657LEAD00000100000036078334CUS-20730652               SUNDN180JACFSTICBMT
NAUT8003582499201602290822LEAD00000100000044870419CUS-20730754               SUNDN180JACFSTICBMT
NAUT8003582499201602290835LEAD00000100000071257318CUS-20730778               SUNDN180JACFSTICBMT
NAUT8003582499201602291152LEAD00000100000033125305CUS-20731073               SUNDN180JACFSTICBMT
NAUT8003582499201602291153LEAD00000100000079108806CUS-20731077               SUNDN180JACFSTICBMT
NAUT8003582499201602291153LEAD00000100000090670562CUS-8158241               SUNDN180JACFSTICBMT
NAUT8003582499201602291153LEAD00000100000096701808CUS-20634543               SUNDN180JACFSTICBMT
NAUT8003582499201602291154LEAD00000100000046725260CUS-20731078               SUNDN180JACFSTICBMT
NAUT8003582499201602291155LEAD00000100000084319435CUS-20731081               SUNDN180JACFSTICBMT
NAUT8003582499201602291359LEAD00000100000037049615CUS-20731280               SUNDN180JACFSTICBMT
NAUT8003582499201602291551LEAD00000100000099518907CUS-20731427               SUNDN180JACFSTICBMT
NAUT8004367224201602291631LEAD00000100000010452978CUS-20731490               AMC*N60*J14FSTICBMT
NAUT8004409680201602291135LEAD00000100000096130530CUS-20731047               TNT*N60*HKINGTICTRC
NAUT8004519287201602291524LEAD00000100000046797260CUS-20731393               ODORN60*J14FSTICBMT
NAUT8004519287201602291534LEAD00000100000049058239CUS-20731398               ODORN60*J14FSTICBMT
NAUT8004568129201602290537LEAD00000100000024540434CUS-20730580               VEL*N5MNHAMFSTICBMT
NAUT8004743317201602291547LEAD00000100000033309754CUS-20731426               MX24P60*J14FSTICBMT
NAUT8004792965201602291049LEAD00000100000038011901CUS-20730978               IFC*N120J14FSTICBMT
NAUT8004792965201602291114LEAD00000100000021817443CUS-20731019               IFC*N120J14FSTICBMT
NAUT8004792965201602291252LEAD00000100000033169305CUS-20731178               IFC*N120J14FSTICBMT
NAUT8004792965201602291259LEAD00000100000077566979CUS-20731192               IFC*N120J14FSTICBMT
NAUT8005069231201602290617LEAD00000100000030527678CUS-20730606               SUNDN120J14FSTICBMT
NAUT8005069231201602290905LEAD00000100000037642423CUS-20730818               SUNDN120J14FSTICBMT
NAUT8005069231201602291055LEAD00000100000060428708CUS-20730990               SUNDN120J14FSTICBMT
NAUT8005069231201602291517LEAD00000100000091761626CUS-20731379               SUNDN120J14FSTICBMT
NAUT8005069232201602290848LEAD00000100000085302562CUS-20730796               VEL*N120J14FSTICBMT
NAUT8005069232201602290849LEAD00000100000080005720CUS-8053431               VEL*N120J14FSTICBMT
NAUT8005069232201602291533LEAD00000100000002740508CUS-20731400               VEL*N120J14FSTICBMT
NAUT8005069232201602291533LEAD00000100000030008757CUS-20731399               VEL*N120J14FSTICBMT
NAUT8005069232201602291538LEAD00000100000051579712CUS-20731403               VEL*N120J14FSTICBMT
NAUT8005069249201602291529LEAD00000100000006010860CUS-20731397               PALLN120J14FSTICBMT
NAUT8005069249201602292337LEAD00000100000085143850CUS-20731835               PALLN120J14FSTICBMT
NAUT8005098626201602290821LEAD00000100000010457347CUS-20730749               SPKEN120J14FSTICBMT
NAUT8005098626201602290822LEAD00000100000029532843CUS-2297280               SPKEN120J14FSTICBMT
NAUT8005098626201602290822LEAD00000100000042120270CUS-20730753               SPKEN120J14FSTICBMT
NAUT8005098626201602291004LEAD00000100000095020CUS-20727932               SPKEN120J14FSTICTRC
NAUT8005098626201602291016LEAD00000100000079606325CUS-20720222               SPKEN120J14FSTICBMT
NAUT8005098626201602291025LEAD00000100000048079810CUS-20730933               SPKEN120J14FSTICBMT
NAUT8005098626201602291025LEAD00000100000048079810CUS-20730933               SPKEN120J14FSTICTRC
NAUT8005098626201602291205LEAD00000100000008012856CUS-20731094               SPKEN120J14FSTICBMT
NAUT8005098627201602291132LEAD00000100000007065973CUS-20731046               ESQ*N120J14FSTICBMT
NAUT8005098627201602291147LEAD00000100000089074702CUS-20731055               ESQ*N120J14FSTICBMT
NAUT8005098627201602291334LEAD00000100000093552661CUS-20731248               ESQ*N120J14FSTICBMT
NAUT8005106032201602290745LEAD00000100000043701740CUS-20730690               INSPN120HKINGTICTRC
NAUT8005106032201602291132LEAD00000100000047250502CUS-20731044               INSPN120HKINGTICTRC
NAUT8005106032201602291522LEAD00000100000089113702CUS-5483031               INSPN120HKINGTICTRC
NAUT8005106069201602292235LEAD00000100000076704254CUS-20731818               SPKEN120HKINGTICTRC
NAUT8005136457201602291122LEAD00000100000055076651CUS-20731031               HERON5MNHAMFSTICBMT
NAUT8005259671201602290711LEAD00000100000054728CUS-20730661               METVN120HKINGTICTRC
NAUT8005271308201602290743LEAD00000100000079928915CUS-20730688               FOX*NVODJ14FSTICBMT
NAUT8005271308201602290945LEAD00000100000092340760CUS-20730883               FOX*NVODJ14FSTICBMT
NAUT8005271308201602292338LEAD00000100000010029646CUS-20731836               FOX*NVODJ14FSTICBMT
NAUT8005431397201602290638LEAD00000100000095828916CUS-20730631               ODORN120J14FSTICBMT
NAUT8005431397201602291217LEAD00000100000058801701CUS-20731129               ODORN120J14FSTICBMT
NAUT8005431397201602291308LEAD00000100000032907321CUS-8510028               ODORN120J14FSTICBMT
NAUT8005431397201602292237LEAD00000100000065712417CUS-20731820               ODORN120J14FSTICBMT
NAUT8005431397201602292240LEAD00000100000041520606CUS-20731821               ODORN120J14FSTICBMT
NAUT8005431397201602292336LEAD00000100000073501580CUS-705910               ODORN120J14FSTICBMT
NAUT8005446035201602291231LEAD00000100000013838607CUS-2287432               VEL*N180JACFSTICBMT
NAUT8005446035201602291234LEAD00000100000084015801CUS-20731158               VEL*N180JACFSTICBMT
NAUT8005446035201602291237LEAD00000100000008088609CUS-20731159               VEL*N180JACFSTICBMT
NAUT8005446717201602291142LEAD00000100000007840609CUS-20731056               EREYN120J14FSTICBMT
NAUT8006608369201602291027LEAD00000100000010475914CUS-20730936               ICBSS60*HKINGTICTRC
NAUT8007086528201602291558LEAD00000100000031322912CUS-8276941               VEL*N120JACKDTICBMT
NAUT8007171498201602291250LEAD00000100000080021720CUS-20719419               LMN*N60*WLKNYTICTRC
NAUT8007173460201602291141LEAD00000100000036912601CUS-20731054               INSPN180HKINGTICTRC
NAUT8007173460201602291150LEAD00000100000087520575CUS-20731069               INSPN180HKINGTICTRC
NAUT8007173460201602291523LEAD00000100000097015CUS-20730493               INSPN180HKINGTICTRC
NAUT8007173460201602292137LEAD00000100000048446810CUS-19727438               INSPN180HKINGTICTRC
NAUT8007178570201602290947LEAD00000100000012582845CUS-5653490               HMM*N120J14FSTICBMT
