US Short Form Leads
NAUT8002431011201602082350LEAD00000100000054911920CUS-20699888               INSPN180WALKATICTRC
NAUT8002437081201602081030LEAD00000100000039638601CUS-20698660               RELZN120J14FSTICBMT
NAUT8002437081201602081039LEAD00000100000032460850CUS-20698668               RELZN120J14FSTICBMT
NAUT8002437081201602081416LEAD00000100000038668662CUS-20699109               RELZN120J14FSTICBMT
NAUT8002437081201602081417LEAD00000100000046168317CUS-20699113               RELZN120J14FSTICBMT
NAUT8002437091201602080923LEAD00000100000057702605CUS-20698548               ION*N120J14FSTICBMT
NAUT8002665079201602080107LEAD00000100000070187806CUS-20698073               JUSTN120J14FSTICBMT
NAUT8002794627201602081302LEAD00000100000045331937CUS-20698937               LAFFN120J14FSTICBMT
NAUT8002794627201602081418LEAD00000100000010002917CUS-20699117               LAFFN120J14FSTICBMT
NAUT8002794627201602081500LEAD00000100000046260574CUS-20699188               LAFFN120J14FSTICBMT
NAUT8003047582201602081137LEAD00000100000097222503CUS-20698787               MX11P60*J14FSTICBMT
NAUT8003047582201602082339LEAD00000100000011224347CUS-20699880               MX11P60*J14FSTICBMT
NAUT8003518887201602081032LEAD00000100000075494903CUS-20698666               PIVTN180JACFSTICBMT
NAUT8003582499201602080615LEAD00000100000046742260CUS-20698187               SUNDN180JACFSTICBMT
NAUT8003582499201602080717LEAD00000100000015235412CUS-20698270               SUNDN180JACFSTICBMT
NAUT8003582499201602080726LEAD00000100000077630409CUS-16123142               SUNDN180JACFSTICBMT
NAUT8003582499201602080909LEAD00000100000012206518CUS-20698518               SUNDN180JACFSTICBMT
NAUT8003582499201602081320LEAD00000100000081401970CUS-20698979               SUNDN180JACFSTICBMT
NAUT8003661911201602082139LEAD00000100000070805225CUS-20203013               VH1CN180JACFSTICBMT
NAUT8003667015201602080623LEAD00000100000024260276CUS-20698196               OWN*N180JACFSTICBMT
NAUT8003667015201602080623LEAD00000100000070791225CUS-20698195               OWN*N180JACFSTICBMT
NAUT8003667015201602080624LEAD00000100000008203609CUS-20698197               OWN*N180JACFSTICBMT
NAUT8003667015201602080635LEAD00000100000019720610CUS-20698216               OWN*N180JACFSTICBMT
NAUT8003667015201602080701LEAD00000100000011411718CUS-20698249               OWN*N180JACFSTICBMT
NAUT8003667015201602081403LEAD00000100000029845864CUS-20699070               OWN*N180JACFSTICBMT
NAUT8003865744201602080641LEAD00000100000001089413CUS-20481705               NMAXN120J14FSTICBMT
NAUT8004202630201602080826LEAD00000100000048114313CUS-20698416               DCADN120HKINGTICTRC
NAUT8004362335201602081805LEAD00000100000010302347CUS-20699579               UPTVN120GRT2HTICTRC
NAUT8004363960201602080036LEAD00000100000016801814CUS-20698060               CSISN120J14FSTICBMT
NAUT8004416790201602080604LEAD00000100000043232614CUS-20698175               LMN*N60*HKINGTICTRC
NAUT8004416790201602080606LEAD00000100000068067402CUS-20698178               LMN*N60*HKINGTICTRC
NAUT8004416790201602080612LEAD00000100000043232614CUS-20698186               LMN*N60*HKINGTICTRC
NAUT8004418320201602081245LEAD00000100000022974434CUS-20698901               ATVLL60*HKINGTICTRC
NAUT8004418320201602081433LEAD00000100000071953870CUS-20699144               ATVLL60*HKINGTICTRC
NAUT8004418530201602081045LEAD00000100000060560331CUS-20698684               ATBSL60*HKINGTICTRC
NAUT8004563921201602082233LEAD00000100000095835510CUS-20699854               PALLN5MNHAMFSTICBMT
NAUT8004563921201602082234LEAD00000100000034609352CUS-20699855               PALLN5MNHAMFSTICBMT
NAUT8004563921201602082236LEAD00000100000039342586CUS-20699858               PALLN5MNHAMFSTICBMT
NAUT8004563921201602082237LEAD00000100000080211720CUS-20699860               PALLN5MNHAMFSTICBMT
NAUT8004563921201602082239LEAD00000100000064131816CUS-20699862               PALLN5MNHAMFSTICBMT
NAUT8004568129201602081251LEAD00000100000036024334CUS-20698911               VEL*N5MNHAMFSTICBMT
NAUT8004792965201602080631LEAD00000100000048342248CUS-20698207               IFC*N120J14FSTICBMT
NAUT8004792965201602080652LEAD00000100000060646312CUS-20698210               IFC*N120J14FSTICBMT
NAUT8004792965201602081722LEAD00000100000048161734CUS-20699465               IFC*N120J14FSTICBMT
NAUT8005069231201602081101LEAD00000100000044103216CUS-20698722               SUNDN120J14FSTICBMT
NAUT8005069231201602081126LEAD00000100000010708904CUS-20698761               SUNDN120J14FSTICBMT
NAUT8005069231201602081409LEAD00000100000015005724CUS-20699090               SUNDN120J14FSTICBMT
NAUT8005069232201602080858LEAD00000100000048359248CUS-20698494               VEL*N120J14FSTICBMT
NAUT8005069232201602081746LEAD00000100000078017830CUS-20699530               VEL*N120J14FSTICBMT
NAUT8005098626201602080040LEAD00000100000041572606CUS-20698061               SPKEN120J14FSTICBMT
NAUT8005098626201602080043LEAD00000100000028311910CUS-20698063               SPKEN120J14FSTICBMT
NAUT8005098626201602080043LEAD00000100000030316213CUS-20698064               SPKEN120J14FSTICBMT
NAUT8005098626201602080046LEAD00000100000037055615CUS-20698065               SPKEN120J14FSTICBMT
NAUT8005098626201602080236LEAD00000100000095155408CUS-20698098               SPKEN120J14FSTICBMT
NAUT8005098626201602080750LEAD00000100000002020339CUS-20698291               SPKEN120J14FSTICBMT
NAUT8005098626201602080751LEAD00000100000018017610CUS-20698293               SPKEN120J14FSTICBMT
NAUT8005098626201602080820LEAD00000100000071351318CUS-20698384               SPKEN120J14FSTICBMT
NAUT8005098626201602080821LEAD00000100000043143740CUS-20698385               SPKEN120J14FSTICBMT
NAUT8005098626201602080821LEAD00000100000054177715CUS-20698386               SPKEN120J14FSTICBMT
NAUT8005098626201602080849LEAD00000100000044057440CUS-20698478               SPKEN120J14FSTICBMT
NAUT8005098626201602080849LEAD00000100000075104214CUS-20698481               SPKEN120J14FSTICBMT
NAUT8005098626201602080849LEAD00000100000086004928CUS-20698480               SPKEN120J14FSTICBMT
NAUT8005098626201602080850LEAD00000100000039483601CUS-20698483               SPKEN120J14FSTICBMT
NAUT8005098626201602080917LEAD00000100000004105207CUS-20698530               SPKEN120J14FSTICBMT
