US Short Form Leads
NAUT8002427406201601121503LEAD00000100000060639773CUS-20584673               WNATN120J14FSTICBST
NAUT8002433902201601121423LEAD00000100000024440540CUS-20634883               DESTN5MNHAMFSTICBMT
NAUT8002437081201601121205LEAD00000100000038477931CUS-20634568               RELZN120J14FSTICBMT
NAUT8002437081201601121353LEAD00000100000086503928CUS-20634794               RELZN120J14FSTICBMT
NAUT8002437081201601121449LEAD00000100000029483864CUS-20634958               RELZN120J14FSTICBMT
NAUT8002437081201601121940LEAD00000100000010128212CUS-20635677               RELZN120J14FSTICBMT
NAUT8002437081201601121940LEAD00000100000031404912CUS-20635678               RELZN120J14FSTICBMT
NAUT8002665079201601121013LEAD00000100000029201803CUS-20625801               JUSTN120J14FSTICBMT
NAUT8002700904201601121859LEAD00000100000017603717CUS-20635597               GRITN120J14FSTICBMT
NAUT8002700904201601121859LEAD00000100000054130920CUS-20551878               GRITN120J14FSTICBMT
NAUT8002700904201601121859LEAD00000100000085711520CUS-20635596               GRITN120J14FSTICBMT
NAUT8002794627201601121550LEAD00000100000030315404CUS-20635110               LAFFN120J14FSTICBMT
NAUT8002870145201601121218LEAD00000100000001564978CUS-20634584               ARTSN60*J14FSTICBMT
NAUT8002917847201601120707LEAD00000100000060608312CUS-19267956               USA*N60*J14FSTICBMT
NAUT8002917847201601120709LEAD00000100000031705229CUS-20633615               USA*N60*J14FSTICBMT
NAUT8002949672201601120901LEAD00000100000075249972CUS-20633948               DTVSN60*HAMF*TICBMT
NAUT8002949672201601120903LEAD00000100000073120405CUS-20633955               DTVSN60*HAMF*TICBMT
NAUT8002959083201601121347LEAD00000100000062896618CUS-20634781               HISTN60*JACKDTICBMT
NAUT8002959083201601121456LEAD00000100000029108803CUS-20634965               HISTN60*JACKDTICBMT
NAUT8002971376201601121641LEAD00000100000093701559CUS-20635273               GRITN120HAMBYTICBMT
NAUT8002990515201601121232LEAD00000100000011559516CUS-12946727               CMT*N120J14FSTICBMT
NAUT8003047264201601121539LEAD00000100000047601812CUS-5194783               MX5*P60*J14FSTICBMT
NAUT8003518887201601121248LEAD00000100000097078503CUS-20634643               PIVTN180JACFSTICBMT
NAUT8003518887201601121351LEAD00000100000018017610CUS-20634790               PIVTN180JACFSTICBMT
NAUT8003518887201601121352LEAD00000100000018017610CUS-20634790               PIVTN180JACFSTICTRC
