US Short Form Leads
NAUT8002035443201505150909LEAD00000100000084302801CUS-20219702               BRNGN120TCMOMTICTRC
NAUT8002175036201505150624LEAD00000100000013326607CUS-19872148               FYI*N180HAMF*TICBMT
NAUT8002175036201505150630LEAD00000100000021133410CUS-20219420               FYI*N180HAMF*TICBMT
NAUT8002405261201505151653LEAD00000100000022304703CUS-20220445               FOX*NVODALOHATICTRC
NAUT8002542818201505150836LEAD00000100000043026614CUS-20219634               INSPN120ALOBYTICTRC
NAUT8002542818201505150838LEAD00000100000075287310CUS-20219643               INSPN120ALOBYTICTRC
NAUT8002542818201505150838LEAD00000100000075501903CUS-20219640               INSPN120ALOBYTICTRC
NAUT8002542818201505150839LEAD00000100000029074803CUS-20219646               INSPN120ALOBYTICTRC
NAUT8002542818201505150839LEAD00000100000033917410CUS-20219638               INSPN120ALOBYTICTRC
NAUT8002542818201505150840LEAD00000100000043713740CUS-20219647               INSPN120ALOBYTICTRC
NAUT8002580343201505151118LEAD00000100000023188757CUS-20219984               UPTVN120ALOBYTICTRC
NAUT8002580343201505151257LEAD00000100000048726989CUS-20220161               UPTVN120ALOBYTICTRC
NAUT8002580343201505151328LEAD00000100000060458708CUS-20220202               UPTVN120ALOBYTICTRC
NAUT8002580343201505151451LEAD00000100000002725401CUS-20220299               UPTVN120ALOBYTICTRC
NAUT8002591694201505150636LEAD00000100000032225904CUS-20219433               METVN120ALOBYTICTRC
NAUT8002937164201505151838LEAD00000100000025901304CUS-20220540               INSPN120TCMOMTICTRC
NAUT8002937164201505151839LEAD00000100000039095662CUS-20220541               INSPN120TCMOMTICTRC
NAUT8002937164201505152338LEAD00000100000030507678CUS-20220800               INSPN120TCMOMTICTRC
NAUT8002949672201505150829LEAD00000100000038114901CUS-20219624               DTVSN60*HAMF*TICBMT
NAUT8002949672201505150905LEAD00000100000047715812CUS-3543215               DTVSN60*HAMF*TICBMT
NAUT8002949672201505151000LEAD00000100000037409423CUS-20219804               DTVSN60*HAMF*TICBMT
NAUT8002949672201505152238LEAD00000100000075702903CUS-20220771               DTVSN60*HAMF*TICBMT
NAUT8002972680201505151539LEAD00000100000049348269CUS-20220357               ARTSN60*WALKATICTRC
NAUT8003582499201505150954LEAD00000100000085714520CUS-4542072               HIS2N180BFMAXTICBMT
NAUT8003582499201505150958LEAD00000100000038834662CUS-20219800               HIS2N180BFMAXTICBMT
NAUT8003582499201505151000LEAD00000100000077057281CUS-20219795               HIS2N180BFMAXTICBMT
NAUT8003690257201505150942LEAD00000100000035555205CUS-20219767               MAV*N120BFMAXTICBMT
NAUT8003976219201505151457LEAD00000100000035215205CUS-8526948               CORTN60*NOTSTTICBMT
NAUT8003976219201505151500LEAD00000100000029212706CUS-20220306               CORTN60*NOTSTTICBMT
NAUT8004365669201505151350LEAD00000100000074865580CUS-20220235               WNATN120HAMBYTICBMT
NAUT8004368299201505151451LEAD00000100000049442231CUS-20220300               DFAMN120TCMOMTICTRC
NAUT8004368299201505151451LEAD00000100000077076832CUS-20220301               DFAMN120TCMOMTICTRC
NAUT8004768135201505152242LEAD00000100000075833936CUS-20220776               AMC*L60*ALOHATICTRC
NAUT8004922811201505151007LEAD00000100000090712562CUS-20219820               TNT*P60*GRT2HWSTTRC
