US Short Form Leads
NAUT8002035443201506271112LEAD00000100000059105406CUS-20273408               BRNGN120TCMOMTICTRC
NAUT8002580646201506270848LEAD00000100000027524919CUS-20273302               ION*N120ALOBYTICTRC
NAUT8003010502201506271748LEAD00000100000048843517CUS-20273724               FOX*NVODHAMF*TICBMT
NAUT8003010502201506272136LEAD00000100000048336248CUS-20273878               FOX*NVODHAMF*TICBMT
NAUT8003302710201506270636LEAD00000100000045650937CUS-20273208               BRNGN120TCDADTICTRC
NAUT8004367530201506270858LEAD00000100000029720803CUS-11596975               JUSTN120HAMBYTICBMT
NAUT8004367530201506270900LEAD00000100000070434985CUS-20273308               JUSTN120HAMBYTICBMT
NAUT8004367530201506271455LEAD00000100000030236404CUS-20184149               JUSTN120HAMBYTICBMT
NAUT8004367530201506271458LEAD00000100000095831916CUS-20273576               JUSTN120HAMBYTICBMT
NAUT8004367530201506271712LEAD00000100000078753512CUS-20273695               JUSTN120HAMBYTICBMT
NAUT8004367530201506271713LEAD00000100000076016817CUS-20273696               JUSTN120HAMBYTICBMT
NAUT8004367530201506271714LEAD00000100000020017202CUS-20273702               JUSTN120HAMBYTICBMT
NAUT8004367530201506271714LEAD00000100000099207509CUS-20000183               JUSTN120HAMBYTICBMT
NAUT8004768135201506270953LEAD00000100000024588434CUS-20273346               AMC*L60*ALOHATICTRC
NAUT8006491651201506270036LEAD00000100000079935915CUS-20273131               SUNDN120HAMBYTICBMT
NAUT8006491651201506271225LEAD00000100000034465352CUS-20273468               SUNDN120HAMBYTICBMT
NAUT8006491651201506272202LEAD00000100000076273903CUS-20273901               SUNDN120HAMBYTICBMT
NAUT8006508911201506271518LEAD00000100000036027334CUS-17871975               SPKEN120HAMBYTICBMT
NAUT8006514043201506271343LEAD00000100000017536717CUS-20273526               DISEN60*WALKATICTRC
NAUT8006520108201506270803LEAD00000100000070127504CUS-20273272               INSPN180ALOHATICTRC
NAUT8006546989201506271648LEAD00000100000031701229CUS-20273666               TNT*L60*ALOHATICTRC
NAUT8007110152201506270636LEAD00000100000018071570CUS-20273207               PUREN180HAMF*TICBMT
NAUT8007110152201506271022LEAD00000100000072758479CUS-19153754               PUREN180HAMF*TICBMT
NAUT8007110152201506272138LEAD00000100000088312575CUS-20273881               PUREN180HAMF*TICBMT
NAUT8007576514201506271158LEAD00000100000010025212CUS-20273446               ZLIVN120ALOBYTICTRC
NAUT8007632060201506270646LEAD00000100000078758512CUS-20273219               HMM*N120ALOBYTICTRC
NAUT8007632060201506270647LEAD00000100000011204347CUS-20273220               HMM*N120ALOBYTICTRC
NAUT8007632060201506270654LEAD00000100000072703479CUS-20273229               HMM*N120ALOBYTICTRC
NAUT8007632060201506272102LEAD00000100000011953631CUS-20273851               HMM*N120ALOBYTICTRC
NAUT8007632060201506272139LEAD00000100000063362314CUS-20273884               HMM*N120ALOBYTICTRC
NAUT8007632060201506272343LEAD00000100000052632319CUS-20273932               HMM*N120ALOBYTICTRC
NAUT8007734090201506270849LEAD00000100000080501720CUS-20273303               DISEN60*CHANDTICTRC
NAUT8008204560201506270038LEAD00000100000093625559CUS-20273132               FOXNN120ALOBYTICTRC
NAUT8008204560201506270039LEAD00000100000007731732CUS-20273133               FOXNN120ALOBYTICTRC
NAUT8008204560201506270039LEAD00000100000061469309CUS-20273134               FOXNN120ALOBYTICTRC
NAUT8008869436201506270936LEAD00000100000036268256CUS-20273335               PALLN120HAMBYTICBMT
NAUT8008869436201506271018LEAD00000100000015220412CUS-20273358               PALLN120HAMBYTICBMT
NAUT8008912803201506271726LEAD00000100000027891252CUS-20273707               ODORN120HAMBYTICBMT
NAUT8008912803201506271837LEAD00000100000046112317CUS-20273753               ODORN120HAMBYTICBMT
NAUT8009213024201506271136LEAD00000100000077088832CUS-20273424               M616P60*NOTSTTICBMT
NAUT8009213024201506272342LEAD00000100000060617708CUS-20273931               M616P60*NOTSTTICBMT
NAUT8009213028201506270536LEAD00000100000077520662CUS-20273179               M617P60*NOTSTTICBMT
NAUT8009213028201506271536LEAD00000100000092584951CUS-20273606               M617P60*NOTSTTICBMT
NAUT8009213028201506271538LEAD00000100000072347870CUS-20273611               M617P60*NOTSTTICBMT
NAUT8009213028201506271539LEAD00000100000048762989CUS-20273612               M617P60*NOTSTTICBMT
NAUT8009213028201506272336LEAD00000100000044704330CUS-20273926               M617P60*NOTSTTICBMT
NAUT8009213028201506272337LEAD00000100000003060603CUS-20273927               M617P60*NOTSTTICBMT
NAUT8009213028201506272338LEAD00000100000039063662CUS-20273928               M617P60*NOTSTTICBMT
NAUT8009213028201506272340LEAD00000100000028056704CUS-20273930               M617P60*NOTSTTICBMT
NAUT8009260864201506271301LEAD00000100000046219317CUS-20273497               IONLN180ALOHATICTRC
NAUT8009260864201506271657LEAD00000100000033881787CUS-20273677               IONLN180ALOHATICTRC
NAUT8009260864201506271657LEAD00000100000095618530CUS-20273676               IONLN180ALOHATICTRC
NAUT8009526851201506270919LEAD00000100000026508304CUS-20273324               PIVTN180HAMF*TICBMT
NAUT8009531059201506271016LEAD00000100000017015 (7CUS-20273357               LIFEL60*ALOHATICTRC
NAUT8009531059201506271653LEAD00000100000078504956CUS-20273674               LIFEL60*ALOHATICTRC
NAUT8009531983201506270815LEAD00000100000080401303CUS-20273276               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271045LEAD00000100000076063817CUS-20273379               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271045LEAD00000100000080920719CUS-17686035               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271046LEAD00000100000083202208CUS-20273381               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271047LEAD00000100000033009954CUS-20273383               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271047LEAD00000100000081005719CUS-20273385               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271051LEAD00000100000002703508CUS-20273384               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271147LEAD00000100000002124857CUS-20015225               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271147LEAD00000100000011249347CUS-12490668               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271147LEAD00000100000033484561CUS-20273431               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271147LEAD00000100000078217210CUS-20060058               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271150LEAD00000100000044146216CUS-20273433               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271409LEAD00000100000023109804CUS-20273543               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271412LEAD00000100000035214205CUS-20273548               RELZ*N120HAMBYTICBMT
NAUT8009531983201506271627LEAD00000100000043605419CUS-20273646               RELZ*N120HAMBYTICBMT
NAUT8009531983201506272139LEAD00000100000090242714CUS-20273883               RELZ*N120HAMBYTICBMT
NAUT8009531983201506272236LEAD00000100000033145786CUS-20273913               RELZ*N120HAMBYTICBMT
NAUT8009531983201506272344LEAD00000100000075149469CUS-20273933               RELZ*N120HAMBYTICBMT
