US Short Form Leads
NAUT8002423261201409051116LEAD00000100000007663201CUS-19705623               FOODN60*LETTXTICTRC
NAUT8002433902201409051144LEAD00000100000078521956CUS-19705664               ARTLL60*NOTSTTICBMT
NAUT8002437079201409050747LEAD00000100000026060304CUS-19705320               ESQ*N120GRT2HTICTRC
NAUT8002437079201409051012LEAD00000100000022407540CUS-19705504               ESQ*N120GRT2HTICTRC
NAUT8002700904201409050907LEAD00000100000012582845CUS-16073498               TNTLL60*MITCHTICBMT
NAUT8002917847201409050926LEAD00000100000027501919CUS-19674897               ION*N120BFMAXTICBMT
NAUT8002917847201409050928LEAD00000100000066106913CUS-19705430               ION*N120BFMAXTICBMT
NAUT8002917847201409050929LEAD00000100000052802563CUS-19705431               ION*N120BFMAXTICBMT
NAUT8002917847201409050930LEAD00000100000019610570CUS-19705434               ION*N120BFMAXTICBMT
NAUT8002917847201409050930LEAD00000100000038125901CUS-19705435               ION*N120BFMAXTICBMT
NAUT8002917847201409050932LEAD00000100000028360910CUS-19705438               ION*N120BFMAXTICBMT
NAUT8002917847201409051227LEAD00000100000090706562CUS-19705745               ION*N120BFMAXTICBMT
NAUT8002917847201409051229LEAD00000100000099119509CUS-19705747               ION*N120BFMAXTICBMT
NAUT8002917847201409051231LEAD00000100000092369909CUS-19705749               ION*N120BFMAXTICBMT
NAUT8002917847201409051544LEAD00000100000024012540CUS-19706060               ION*N120BFMAXTICBMT
NAUT8002917847201409051544LEAD00000100000078251210CUS-19706059               ION*N120BFMAXTICBMT
NAUT8002917847201409051545LEAD00000100000060804708CUS-19706062               ION*N120BFMAXTICBMT
NAUT8002917847201409051545LEAD00000100000068111402CUS-19706061               ION*N120BFMAXTICBMT
NAUT8002917847201409051547LEAD00000100000046259317CUS-19706063               ION*N120BFMAXTICBMT
NAUT8002917847201409051550LEAD00000100000010473347CUS-19706065               ION*N120BFMAXTICBMT
NAUT8002917847201409051550LEAD00000100000044305330CUS-19706064               ION*N120BFMAXTICBMT
