US Short Form Leads
NAUT8002481408201510021445LEAD00000100000035217205CUS-20408930               ION*N120WMNS*TICTRC
NAUT8002580646201510020633LEAD00000100000033455772CUS-20408559               ION*N120ALOBYTICTRC
NAUT8002987359201510020742LEAD00000100000014210716CUS-20408611               TESCN120ALOBYTICTRC
NAUT8002987359201510020748LEAD00000100000029640864CUS-20408613               TESCN120ALOBYTICTRC
NAUT8003010502201510020336LEAD00000100000020912443CUS-20408524               FOX*NVODHAMF*TICBMT
NAUT8003419994201510021605LEAD00000100000075032469CUS-20408979               CZNYN120ALOBYTICTRC
NAUT8003419994201510021619LEAD00000100000008054856CUS-20408987               CZNYN120ALOBYTICTRC
NAUT8003419994201510021902LEAD00000100000091208CUS-20409086               CZNYN120ALOBYTICTRC
NAUT8004201780201510021603LEAD00000100000093727559CUS-20408976               CZNYN120WMNS*TICTRC
NAUT8004201780201510022139LEAD00000100000046563574CUS-20409174               CZNYN120WMNS*TICTRC
NAUT8004367530201510021612LEAD00000100000075116972CUS-4940913               JUSTN120HAMBYTICBMT
NAUT8004367530201510021614LEAD00000100000062034314CUS-20408988               JUSTN120HAMBYTICBMT
NAUT8004697757201510021536LEAD00000100000046517674CUS-20408960               NT05P60*ALOHATICTRC
NAUT8005383381201510020620LEAD00000100000039870229CUS-11450769               INSPN120WMNS*TICTRC
NAUT8005383381201510020622LEAD00000100000077642409CUS-20408550               INSPN120WMNS*TICTRC
NAUT8005489735201510020855LEAD00000100000025560304CUS-12239821               RS**L120HAMBYTICBMT
NAUT8006491651201510021016LEAD00000100000077801979CUS-20408743               SUNDN120HAMBYTICBMT
NAUT8006491651201510021311LEAD00000100000087123505CUS-20408858               SUNDN120HAMBYTICBMT
NAUT8006491651201510021317LEAD00000100000091709909CUS-20408864               SUNDN120HAMBYTICBMT
NAUT8006491651201510021605LEAD00000100000089031702CUS-20408978               SUNDN120HAMBYTICBMT
NAUT8006508911201510020814LEAD00000100000031061478CUS-20408641               SPKEN120HAMBYTICBMT
NAUT8006508911201510020815LEAD00000100000063112314CUS-20408642               SPKEN120HAMBYTICBMT
NAUT8006508911201510021047LEAD00000100000064085816CUS-20408764               SPKEN120HAMBYTICBMT
NAUT8006508911201510021047LEAD00000100000064085816CUS-20408764               SPKEN120HAMBYTICTRC
NAUT8006508911201510021113LEAD00000100000092154CUS-20408784               SPKEN120HAMBYTICBMT
NAUT8006508911201510021939LEAD00000100000090703562CUS-20409104               SPKEN120HAMBYTICBFX
NAUT8006508911201510021939LEAD00000100000090703562CUS-20409104               SPKEN120HAMBYTICBMT
NAUT8006508911201510021951LEAD00000100000090703562CUS-20409104               SPKEN120HAMBYTICBTQ
NAUT8006520108201510021348LEAD00000100000085534970CUS-20408893               INSPN180ALOHATICTRC
NAUT8006520108201510021923LEAD00000100000077021713CUS-20409096               INSPN180ALOHATICTRC
NAUT8006520108201510021925LEAD00000100000077339281CUS-20409099               INSPN180ALOHATICTRC
NAUT8006520108201510021933LEAD00000100000098367360CUS-20409109               INSPN180ALOHATICTRC
NAUT8007171553201510021037LEAD00000100000002332781CUS-6023114               IFC*N120HAMBYTICBMT
NAUT8007171553201510021133LEAD00000100000007024201CUS-10275657               IFC*N120HAMBYTICBMT
NAUT8007638070201510020955LEAD00000100000015632412CUS-20408726               DISNN60*HAMF*TICBMT
NAUT8007638070201510020956LEAD00000100000051012712CUS-20408728               DISNN60*HAMF*TICBMT
NAUT8007638070201510020956LEAD00000100000087124505CUS-20408727               DISNN60*HAMF*TICBMT
NAUT8007638070201510021949LEAD00000100000075902936CUS-6380760               DISNN60*HAMF*TICBMT
NAUT8008597382201510021021LEAD00000100000091762909CUS-20408748               ION*N120HAMBYTICBMT
NAUT8008731614201510020701LEAD00000100000029640864CUS-20408581               VEL*N180HAMF*TICBMT
NAUT8008731614201510021302LEAD00000100000010940845CUS-20408847               VEL*N180HAMF*TICBMT
NAUT8008731614201510021302LEAD00000100000022553540CUS-20408852               VEL*N180HAMF*TICBMT
NAUT8008731614201510022132LEAD00000100000044135216CUS-20409170               VEL*N180HAMF*TICBMT
NAUT8008731614201510030132LEAD00000100000044131216CUS-20409232               VEL*N180HAMF*TICBMT
NAUT8009213024201510021136LEAD00000100000060653224CUS-11099750               M616P60*NOTSTTICBMT
NAUT8009315148201510021340LEAD00000100000058047218CUS-20408885               TVGDN120HAMBYTICBMT
NAUT8009315148201510021935LEAD00000100000016343814CUS-20409110               TVGDN120HAMBYTICBMT
NAUT8009315148201510021937LEAD00000100000077511979CUS-20409111               TVGDN120HAMBYTICBMT
NAUT8009526846201510020637LEAD00000100000030281770CUS-20408562               DWOMN60*WALKATICTRC
NAUT8009526851201510020236LEAD00000100000029349864CUS-20408519               PIVTN180HAMF*TICBMT
NAUT8009526851201510021434LEAD00000100000042406270CUS-11087956               PIVTN180HAMF*TICBMT
NAUT8009531983201510021106LEAD00000100000095662307CUS-20408779               RELZ*N120HAMBYTICBMT
