CA Electronic Short Form Leads
NAUT8002439827201509291205ELED000001000000T3H 0403CUS-20365090               SAWDSEESF14ATRC
NAUT8006149233201509291048ELED000001000000S6V 6306CUS-20405697               icastsf12bTRC
NAUT8006516382201509290820ELED000001000000R0E 1204CUS-20405532               ICASESF14ABMT
NAUT8006516382201509291015ELED000001000000L4R 2905CUS-20405646               ICASESF14ABMT
NAUT8006516382201509291231ELED000001000000N0P 2519CUS-20405900               ICASESF14ABMT
NAUT8006516382201509291823ELED000001000000K1V 2CUS-20406352               ICASESF14ABMT
NAUT8006516382201509291851ELED000001000000S0K 2306CUS-20406372               ICASESF14ABMT
NAUT8006516382201509291908ELED000001000000S9H 2306CUS-20377774               ICASESF14ABMT
NAUT8007781519201509290940ELED000001000000E4C 3506CUS-20405607               ICASTSF15BTRC
NAUT8007781519201509291011ELED000001000000S0G 3306CUS-20405635               ICASTSF15BTRC
NAUT8007781519201509291147ELED000001000000T2M 0403CUS-20405821               ICASTSF15BTRC
NAUT8007781519201509291252ELED000001000000A1V 2709CUS-20405932               ICASTSF15BTRC
NAUT8007781519201509291418ELED000001000000V2V 4604CUS-20406044               ICASTSF15BTRC
NAUT8007781519201509291420ELED000001000000T5Z 0780CUS-20406049               ICASTSF15BTRC
NAUT8007781519201509291533ELED000001000000K7H 2613CUS-20406149               ICASTSF15BTRC
NAUT8007781519201509291629ELED000001000000T5A 1780CUS-20406222               ICASTSF15BTRC
NAUT8007781519201509291840ELED000001000000K6J 2613CUS-20406363               ICASTSF15BTRC
NAUT8007781519201509292008ELED000001000000T1X 1403CUS-20406430               ICASTSF15BTRC
NAUT8007781519201509292012ELED000001000000T4P 2403CUS-20406436               ICASTSF15BTRC
NAUT8008521307201509290746ELED000001000000K4A 0514CUS-20405489               ICASESF14BBMT
NAUT8008521307201509290816ELED000001000000N7V 3519CUS-20405526               ICASESF14BBMT
NAUT8008521307201509291012ELED000001000000R3K 0204CUS-20405637               ICASESF14BBMT
NAUT8008521307201509291359ELED000001000000V6Z 2604CUS-20406024               ICASESF14BBMT
NAUT8008521307201509291545ELED000001000000H4L 3514CUS-20406165               ICASESF14BBMT
