CA Electronic Short Form Leads
NAUT8006149233201507191138ELED000001000000T3M 1403CUS-20306181               icastsf12bTRC
NAUT8006516382201507192302ELED000001000000V6J 1778CUS-20307190               ICASESF14ABMT
NAUT8007781519201507190117ELED000001000000V7E 2604CUS-20305631               ICASTSF15BTRC
NAUT8007781519201507190119ELED000001000000T5W 4780CUS-20305632               ICASTSF15BTRC
NAUT8007781519201507190753ELED000001000000R2C 5204CUS-20305803               ICASTSF15BTRC
NAUT8007781519201507190753ELED000001000000T2T 2403CUS-20305802               ICASTSF15BTRC
NAUT8007781519201507190754ELED000001000000L6T 3905CUS-20305805               ICASTSF15BTRC
NAUT8007781519201507190754ELED000001000000N5P 3519CUS-20305807               ICASTSF15BTRC
NAUT8007781519201507190754ELED000001000000V9K 1250CUS-20305804               ICASTSF15BTRC
NAUT8007781519201507190755ELED000001000000T4V 0780CUS-20305808               ICASTSF15BTRC
NAUT8007781519201507190757ELED000001000000L6R 1905CUS-20305815               ICASTSF15BTRC
NAUT8007781519201507190757ELED000001000000V0E 1250CUS-20305816               ICASTSF15BTRC
NAUT8007781519201507190758ELED000001000000S4R 8306CUS-20305818               ICASTSF15BTRC
NAUT8007781519201507190758ELED000001000000T6P 0780CUS-20305817               ICASTSF15BTRC
NAUT8007781519201507190802ELED000001000000P7E 2807CUS-20305828               ICASTSF15BTRC
NAUT8007781519201507190817ELED000001000000L1K 1289CUS-20305851               ICASTSF15BTRC
NAUT8007781519201507190833ELED000001000000N2N 3519CUS-20305878               ICASTSF15BTRC
NAUT8007781519201507190937ELED000001000000N3H 4519CUS-20305968               ICASTSF15BTRC
NAUT8007781519201507191012ELED000001000000L1J 1905CUS-20306005               ICASTSF15BTRC
NAUT8007781519201507191014ELED000001000000E3A 1506CUS-20306009               ICASTSF15BTRC
NAUT8007781519201507191016ELED000001000000N9G 3519CUS-20306010               ICASTSF15BTRC
NAUT8007781519201507191018ELED000001000000B3L 2902CUS-20306018               ICASTSF15BTRC
NAUT8007781519201507191020ELED000001000000N4B 2519CUS-20306023               ICASTSF15BTRC
NAUT8007781519201507191022ELED000001000000N4S 2519CUS-20306026               ICASTSF15BTRC
