CA Electronic Short Form Leads
NAUT8006149233201509171808ELED000001000000B3Z 4902CUS-20394065               icastsf12bTRC
NAUT8006516382201509170522ELED000001000000T8N 6780CUS-20393239               ICASESF14ABMT
NAUT8006516382201509170827ELED000001000000S9H 4306CUS-20393352               ICASESF14ABMT
NAUT8006516382201509170904ELED000001000000T5X 4780CUS-20393413               ICASESF14ABMT
NAUT8006516382201509170938ELED000001000000N1E 1519CUS-20393461               ICASESF14ABMT
NAUT8006516382201509171042ELED000001000000L2H 3905CUS-20393561               ICASESF14ABMT
NAUT8006516382201509171344ELED000001000000L2H 0905CUS-20393789               ICASESF14ABMT
NAUT8006516382201509171439ELED000001000000T2C 4403CUS-20393842               ICASESF14ABMT
NAUT8007781519201509170418ELED000001000000R0E 0CUS-20393229               ICASTSF15BTRC
NAUT8007781519201509170606ELED000001000000B3E 1902CUS-20393250               ICASTSF15BTRC
NAUT8007781519201509170721ELED000001000000K1Z 6613CUS-20393305               ICASTSF15BTRC
NAUT8007781519201509170814ELED000001000000M1K 4416CUS-20393340               ICASTSF15BTRC
NAUT8007781519201509170908ELED000001000000T9K 0780CUS-20393421               ICASTSF15BTRC
NAUT8007781519201509171253ELED000001000000L9K 1905CUS-20393732               ICASTSF15BTRC
NAUT8007781519201509171430ELED000001000000V2G 3250CUS-20393832               ICASTSF15BTRC
NAUT8007781519201509171915ELED000001000000L3V 6705CUS-20394142               ICASTSF15BTRC
NAUT8007781519201509171941ELED000001000000V5R 1778CUS-20394164               ICASTSF15BTRC
NAUT8007781519201509171943ELED000001000000P9N 1807CUS-20394166               ICASTSF15BTRC
NAUT8007781519201509171946ELED000001000000V0T 1778CUS-20394169               ICASTSF15BTRC
NAUT8007781519201509171950ELED000001000000V1J 4250CUS-20394172               ICASTSF15BTRC
NAUT8007781519201509172001ELED000001000000V9L 5250CUS-20394186               ICASTSF15BTRC
NAUT8007781519201509172007ELED000001000000T1S 1403CUS-20394190               ICASTSF15BTRC
NAUT8007781519201509172018ELED000001000000T3G 0587CUS-20394202               ICASTSF15BTRC
NAUT8007781519201509172200ELED000001000000T0J 2403CUS-20394288               ICASTSF15BTRC
NAUT8007781519201509172348ELED000001000000T5P 3587CUS-20394332               ICASTSF15BTRC
NAUT8008521307201509170157ELED000001000000V8Z 6250CUS-20393201               ICASESF14BBMT
NAUT8008521307201509170357ELED000001000000T0M 1403CUS-20393227               ICASESF14BBMT
NAUT8008521307201509170553ELED000001000000B0J 3902CUS-20393246               ICASESF14BBMT
NAUT8008521307201509170702ELED000001000000J4P 2450CUS-20393283               ICASESF14BBMT
NAUT8008521307201509170910ELED000001000000R0C 1204CUS-20393423               ICASESF14BBMT
NAUT8008521307201509170913ELED000001000000V9L 6778CUS-20393431               ICASESF14BBMT
NAUT8008521307201509171225ELED000001000000R2G 2204CUS-20393686               ICASESF14BBMT
NAUT8008521307201509171311ELED000001000000V2J 5250CUS-20393756               ICASESF14BBMT
NAUT8008521307201509171340ELED000001000000S0J 0587CUS-20393784               ICASESF14BBMT
NAUT8008521307201509171713ELED000001000000N8P 1519CUS-20394002               ICASESF14BBMT
NAUT8008521307201509171721ELED000001000000S0K 0306CUS-20394011               ICASESF14BBMT
NAUT8008521307201509171914ELED000001000000H7W 0514CUS-20394140               ICASESF14BBMT
