CA Electronic Short Form Leads
NAUT8006149233201510121016ELED000001000000L2N 6905CUS-20418275               icastsf12bTRC
NAUT8006516382201510120532ELED000001000000L0E 1905CUS-20417966               ICASESF14ABMT
NAUT8006516382201510121016ELED000001000000L2G 3905CUS-20418274               ICASESF14ABMT
NAUT8006516382201510121021ELED000001000000L2A 2995CUS-20418285               ICASESF14ABMT
NAUT8006516382201510121148ELED000001000000T4X 0780CUS-20418398               ICASESF14ABMT
NAUT8006516382201510121151ELED000001000000H2W 2514CUS-20418405               ICASESF14ABMT
NAUT8006516382201510121155ELED000001000000T4N 3403CUS-20418414               ICASESF14ABMT
NAUT8006516382201510121157ELED000001000000V3M 2604CUS-20418420               ICASESF14ABMT
NAUT8006516382201510121158ELED000001000000T8A 1587CUS-20418421               ICASESF14ABMT
NAUT8006516382201510121238ELED000001000000S6V 7306CUS-20418472               ICASESF14ABMT
NAUT8006516382201510121557ELED000001000000T1K 3403CUS-20418711               ICASESF14ABMT
NAUT8007781519201510120838ELED000001000000V0J 2250CUS-20418126               ICASTSF15BTRC
NAUT8007781519201510121101ELED000001000000J8A 0514CUS-20418338               ICASTSF15BTRC
NAUT8007781519201510121137ELED000001000000V3T 3604CUS-20418383               ICASTSF15BTRC
NAUT8007781519201510121155ELED000001000000R2M 0204CUS-20418417               ICASTSF15BTRC
NAUT8007781519201510121202ELED000001000000V3B 6604CUS-20418430               ICASTSF15BTRC
NAUT8007781519201510121259ELED000001000000L6S 2416CUS-20418508               ICASTSF15BTRC
NAUT8007781519201510121431ELED000001000000R3Y 1204CUS-20418634               ICASTSF15BTRC
NAUT8007781519201510121702ELED000001000000S7K 4306CUS-20418779               ICASTSF15BTRC
NAUT8007781519201510121716ELED000001000000K0B 1613CUS-20418796               ICASTSF15BTRC
NAUT8007781519201510121720ELED000001000000B0W 1902CUS-20418799               ICASTSF15BTRC
NAUT8007781519201510121722ELED000001000000P3E 6705CUS-20418800               ICASTSF15BTRC
NAUT8007781519201510121747ELED000001000000K4A 3613CUS-20418814               ICASTSF15BTRC
NAUT8007781519201510121809ELED000001000000M3M 2416CUS-20418829               ICASTSF15BTRC
NAUT8007781519201510121831ELED000001000000T8X 0780CUS-20418854               ICASTSF15BTRC
NAUT8007781519201510121931ELED000001000000V7W 2604CUS-20418912               ICASTSF15BTRC
NAUT8007781519201510121934ELED000001000000V3Z 2604CUS-20418918               ICASTSF15BTRC
NAUT8007781519201510121935ELED000001000000R2P 1204CUS-20418920               ICASTSF15BTRC
NAUT8007781519201510121941ELED000001000000V3A 9604CUS-20418924               ICASTSF15BTRC
NAUT8007781519201510122016ELED000001000000V9K 2778CUS-20418979               ICASTSF15BTRC
NAUT8008521307201510120606ELED000001000000L0L 1705CUS-20417987               ICASESF14BBMT
NAUT8008521307201510120753ELED000001000000L4R 4705CUS-20418068               ICASESF14BBMT
NAUT8008521307201510120902ELED000001000000P3P 0705CUS-20418160               ICASESF14BBMT
NAUT8008521307201510121009ELED000001000000J0M 1819CUS-20418261               ICASESF14BBMT
NAUT8008521307201510121207ELED000001000000N9V 3519CUS-20004023               ICASESF14BBMT
NAUT8008521307201510121251ELED000001000000R0G 0204CUS-20418494               ICASESF14BBMT
NAUT8008521307201510121256ELED000001000000V5A 2CUS-20418503               ICASESF14BBMT
NAUT8008521307201510121344ELED000001000000M4Y 2416CUS-20418577               ICASESF14BBMT
NAUT8008521307201510121359ELED000001000000T0M 0403CUS-20418593               ICASESF14BBMT
NAUT8008521307201510121410ELED000001000000N7G 3519CUS-20210744               ICASESF14BBMT
NAUT8008521307201510121607ELED000001000000N0A 1905CUS-20418723               ICASESF14BBMT
NAUT8008521307201510121850ELED000001000000E3B 0250CUS-20418868               ICASESF14BBMT
NAUT8008521307201510121850ELED000001000000V3M 6604CUS-20418870               ICASESF14BBMT
NAUT8008521307201510121949ELED000001000000T2Z 4403CUS-20418935               ICASESF14BBMT
NAUT8008521307201510122016ELED000001000000S4T 6306CUS-20418978               ICASESF14BBMT
NAUT8008521307201510122021ELED000001000000V2T 3604CUS-20418985               ICASESF14BBMT
