CA Electronic Short Form Leads
NAUT8006149233201411271444ELED000001000000K2G 3613CUS-19831846               icastsf12bTRC
NAUT8006516382201411270816ELED000001000000T9S 2780CUS-19831281               ICASESF14ABMT
NAUT8006516382201411271018ELED000001000000V2Y 0604CUS-19831502               ICASESF14ABMT
NAUT8006516382201411271032ELED000001000000L6X 5905CUS-19831521               ICASESF14ABMT
NAUT8006516382201411271202ELED000001000000T0A 1780CUS-19831650               ICASESF14ABMT
NAUT8006516382201411271302ELED000001000000R0A 2204CUS-19831705               ICASESF14ABMT
NAUT8006516382201411271318ELED000001000000V1N 4250CUS-19831733               ICASESF14ABMT
NAUT8006516382201411271546ELED000001000000L3P 4647CUS-19831921               ICASESF14ABMT
NAUT8006516382201411271845ELED000001000000L6Z 4905CUS-19832277               ICASESF14ABMT
NAUT8006516382201411271846ELED000001000000L6Z 4905CUS-19832277               ICASESF14ATRC
NAUT8006516382201411271851ELED000001000000M1G 3647CUS-19832304               ICASESF14ABMT
NAUT8006516382201411271932ELED000001000000L8P 1289CUS-19832405               ICASESF14ABMT
NAUT8006516382201411272016ELED000001000000T2V 3403CUS-19832511               ICASESF14ABMT
NAUT8006516382201411272017ELED000001000000M1E 5416CUS-19832514               ICASESF14ABMT
NAUT8006516382201411272030ELED000001000000M9M 2416CUS-19832548               ICASESF14ABMT
NAUT8006516382201411272047ELED000001000000T4R 2403CUS-19832588               ICASESF14ABMT
NAUT8006516382201411272102ELED000001000000T5H 0587CUS-19832626               ICASESF14ABMT
NAUT8006516382201411272229ELED000001000000X0B 0867CUS-19832751               ICASESF14ABMT
NAUT8006516382201411272329ELED000001000000R3N 0204CUS-19832792               ICASESF14ABMT
NAUT8006566629201411271033ELED000001000000L6S 2416CUS-19831524               icastsf12aTRC
NAUT8006566629201411271033ELED000001000000N8H 1519CUS-19831525               icastsf12aTRC
NAUT8006566629201411271034ELED000001000000R2G 0204CUS-19831529               icastsf12aTRC
NAUT8006566629201411271034ELED000001000000V8C 1250CUS-19831528               icastsf12aTRC
NAUT8006566629201411271717ELED000001000000J4H 2514CUS-19832084               icastsf12aTRC
NAUT8009526812201411270529ELED000001000000T0J 0403CUS-19831058               icastsf09buytcTRC
NAUT8009526812201411270751ELED000001000000N3T 6519CUS-19831195               icastsf09buytcTRC
NAUT8009526812201411270907ELED000001000000C0A 1902CUS-19831382               icastsf09buytcTRC
NAUT8009526812201411270920ELED000001000000T1R 0403CUS-19831419               icastsf09buytcTRC
NAUT8009526812201411271018ELED000001000000P2B 3705CUS-19831501               icastsf09buytcTRC
NAUT8009526812201411271047ELED000001000000P0T 1807CUS-19831546               icastsf09buytcTRC
NAUT8009526812201411271229ELED000001000000V0R 1250CUS-19831672               icastsf09buytcTRC
NAUT8009526812201411271247ELED000001000000T0A 1780CUS-19831686               icastsf09buytcTRC
NAUT8009526812201411271414ELED000001000000T9E 0587CUS-19831821               icastsf09buytcTRC
NAUT8009526812201411271429ELED000001000000K8H 2613CUS-19831836               icastsf09buytcTRC
NAUT8009526812201411271519ELED000001000000R0G 1204CUS-19831895               icastsf09buytcTRC
NAUT8009526812201411271543ELED000001000000T6T 1780CUS-19831918               icastsf09buytcTRC
NAUT8009526812201411271602ELED000001000000P5A 2705CUS-19831945               icastsf09buytcTRC
NAUT8009526812201411271714ELED000001000000E2S 1506CUS-19832074               icastsf09buytcTRC
NAUT8009526812201411271714ELED000001000000N0H 2226CUS-19832073               icastsf09buytcTRC
NAUT8009526812201411271717ELED000001000000K1B 3613CUS-19832082               icastsf09buytcTRC
NAUT8009526812201411271717ELED000001000000V3H 1778CUS-19832083               icastsf09buytcTRC
NAUT8009526812201411271732ELED000001000000V1T 7250CUS-19832104               icastsf09buytcTRC
NAUT8009526812201411271747ELED000001000000L5M 4647CUS-19832145               icastsf09buytcTRC
NAUT8009526812201411271914ELED000001000000N4L 1226CUS-19832360               icastsf09buytcTRC
NAUT8009526812201411271917ELED000001000000T3H 5403CUS-19832372               icastsf09buytcTRC
NAUT8009526812201411271918ELED000001000000L1E 0905CUS-19832375               icastsf09buytcTRC
NAUT8009526812201411271918ELED000001000000T7X 0780CUS-19832373               icastsf09buytcTRC
NAUT8009526812201411271932ELED000001000000A1E 5709CUS-19832402               icastsf09buytcTRC
NAUT8009526812201411271932ELED000001000000V1W 5778CUS-19832403               icastsf09buytcTRC
NAUT8009526812201411272329ELED000001000000T9N 0780CUS-19832791               icastsf09buytcTRC
