CA Electronic Short Form Leads
NAUT8006148597201601270602ELED000001000000L1C 5905CUS-20672418               ICASTSF15CTRC
NAUT8006149233201601270812ELED000001000000K0K 3613CUS-20672633               icastsf12bTRC
NAUT8006149233201601270812ELED000001000000L3B 5289CUS-20672631               icastsf12bTRC
NAUT8006149233201601270812ELED000001000000P0J 1705CUS-20672629               icastsf12bTRC
NAUT8006149233201601270924ELED000001000000P7B 6807CUS-20672915               icastsf12bTRC
NAUT8006149233201601271218ELED000001000000R2K 0204CUS-20673429               icastsf12bTRC
NAUT8006149233201601271526ELED000001000000M2R 1416CUS-20673889               icastsf12bTRC
NAUT8006149233201601271534ELED000001000000L8L 8905CUS-20673907               icastsf12bTRC
NAUT8006149233201601271650ELED000001000000V6G 1604CUS-20674078               icastsf12bTRC
NAUT8006149233201601271708ELED000001000000R0E 1204CUS-20674158               icastsf12bTRC
NAUT8006149233201601271845ELED000001000000K6V 5613CUS-20674363               icastsf12bTRC
NAUT8006149233201601271937ELED000001000000L1B 1905CUS-20475290               icastsf12bTRC
NAUT8006149233201601272140ELED000001000000V2T 5604CUS-20674664               icastsf12bTRC
NAUT8006149233201601272141ELED000001000000V1V 2778CUS-20674665               icastsf12bTRC
NAUT8006149233201601272148ELED000001000000V3T 3778CUS-20674677               icastsf12bTRC
NAUT8006149233201601272319ELED000001000000N0R 1519CUS-20674718               icastsf12bTRC
NAUT8006516382201601270411ELED000001000000S0J 2306CUS-20672353               ICASESF14ABMT
NAUT8006516382201601270828ELED000001000000L8G 1905CUS-20672711               ICASESF14ABMT
NAUT8006516382201601271004ELED000001000000L6M 0905CUS-20673048               ICASESF14ABMT
NAUT8006516382201601271028ELED000001000000R0M 0204CUS-20673126               ICASESF14ABMT
NAUT8006516382201601271217ELED000001000000T9K 0780CUS-20673425               ICASESF14ABMT
NAUT8006516382201601271243ELED000001000000H1M 3514CUS-20673490               ICASESF14ABMT
NAUT8006516382201601271243ELED000001000000H4P 1514CUS-20673492               ICASESF14ABMT
NAUT8006516382201601271244ELED000001000000N6K 1519CUS-20673495               ICASESF14ABMT
NAUT8006516382201601271244ELED000001000000T4R 0403CUS-20673494               ICASESF14ABMT
NAUT8006516382201601271252ELED000001000000T8V 2587CUS-20673514               ICASESF14ABMT
NAUT8006516382201601271441ELED000001000000T0H 1780CUS-20673794               ICASESF14ABMT
NAUT8006516382201601271722ELED000001000000T6R 0587CUS-20674185               ICASESF14ABMT
NAUT8006516382201601271805ELED000001000000L9T 2905CUS-20674284               ICASESF14ABMT
NAUT8006516382201601271918ELED000001000000S0H 4306CUS-20674441               ICASESF14ABMT
NAUT8006516382201601272152ELED000001000000L7A 1905CUS-20674680               ICASESF14ABMT
NAUT8006516382201601272240ELED000001000000V2N 5250CUS-20674703               ICASESF14ABMT
NAUT8006671981201601271102ELED000001000000L7M 4289CUS-20673219               ICASESF14DBMT
NAUT8008521307201601270817ELED000001000000L4H 1905CUS-20672660               ICASESF14BBMT
NAUT8008521307201601270836ELED000001000000R5G 0204CUS-20672742               ICASESF14BBMT
NAUT8008521307201601270853ELED000001000000T8A 5780CUS-20672816               ICASESF14BBMT
NAUT8008521307201601270919ELED000001000000R2G 1204CUS-20672906               ICASESF14BBMT
NAUT8008521307201601270919ELED000001000000V2S 3604CUS-20672905               ICASESF14BBMT
NAUT8008521307201601271119ELED000001000000J3V 4450CUS-20673262               ICASESF14BBMT
NAUT8008521307201601271138ELED000001000000S7H 4306CUS-20267472               ICASESF14BBMT
NAUT8008521307201601271205ELED000001000000R2Y 2204CUS-20673389               ICASESF14BBMT
NAUT8008521307201601271206ELED000001000000L6E 1416CUS-20673396               ICASESF14BBMT
NAUT8008521307201601271206ELED000001000000L9Y 3705CUS-20673391               ICASESF14BBMT
NAUT8008521307201601271207ELED000001000000X0C 0867CUS-20673399               ICASESF14BBMT
NAUT8008521307201601271217ELED000001000000P7A 4807CUS-20673426               ICASESF14BBMT
NAUT8008521307201601271303ELED000001000000L6X 3905CUS-20673547               ICASESF14BBMT
NAUT8008521307201601271309ELED000001000000N6G 3519CUS-20199033               ICASESF14BBMT
NAUT8008521307201601271310ELED000001000000T5T 6780CUS-20673558               ICASESF14BBMT
NAUT8008521307201601271328ELED000001000000V5L 2604CUS-20673610               ICASESF14BBMT
NAUT8008521307201601271400ELED000001000000L5W 1647CUS-20673711               ICASESF14BBMT
NAUT8008521307201601271401ELED000001000000K7R 2613CUS-20673712               ICASESF14BBMT
NAUT8008521307201601271500ELED000001000000R3Y 1204CUS-20673842               ICASESF14BBMT
NAUT8008521307201601271509ELED000001000000L7L 7647CUS-20673859               ICASESF14BBMT
NAUT8008521307201601271534ELED000001000000E6E 1506CUS-20673908               ICASESF14BBMT
NAUT8008521307201601271650ELED000001000000L4A 1416CUS-20674079               ICASESF14BBMT
NAUT8008521307201601271651ELED000001000000E2A 4506CUS-20674081               ICASESF14BBMT
NAUT8008521307201601271652ELED000001000000P3A 4705CUS-20674085               ICASESF14BBMT
NAUT8008521307201601271652ELED000001000000V3R 5778CUS-20674086               ICASESF14BBMT
NAUT8008521307201601271659ELED000001000000K1G 2613CUS-20674121               ICASESF14BBMT
NAUT8008521307201601271703ELED000001000000L4R 4705CUS-20674141               ICASESF14BBMT
NAUT8008521307201601271723ELED000001000000E1A 0506CUS-20674192               ICASESF14BBMT
