CA Electronic Short Form Leads
NAUT8002439827201602291510ELED000001000000V9B0L250CUS-19577872               SAWDSEESF14ABMT
NAUT8006149233201602290806ELED000001000000M5A 4416CUS-20730711               icastsf12bTRC
NAUT8006149233201602290826ELED000001000000T4S 0403CUS-20730762               icastsf12bTRC
NAUT8006149233201602291249ELED000001000000L6T 1905CUS-20731177               icastsf12bTRC
NAUT8006149233201602291748ELED000001000000L1G 4905CUS-20731560               icastsf12bTRC
NAUT8006149233201602291833ELED000001000000K0K 3613CUS-20731598               icastsf12bTRC
NAUT8006149233201602291833ELED000001000000V3T 1778CUS-20731595               icastsf12bTRC
NAUT8006149233201602291834ELED000001000000H2N 1512CUS-20731605               icastsf12bTRC
NAUT8006149233201602291834ELED000001000000N8M 3519CUS-20731602               icastsf12bTRC
NAUT8006149233201602291925ELED000001000000B4P 2902CUS-20731661               icastsf12bTRC
NAUT8006149233201602291925ELED000001000000S4A 2306CUS-20731659               icastsf12bTRC
NAUT8006149233201602291926ELED000001000000V9L 5250CUS-20731663               icastsf12bTRC
NAUT8006149233201602292012ELED000001000000S0C 2306CUS-20731700               icastsf12bTRC
NAUT8006149233201602292012ELED000001000000V0C 1250CUS-20731703               icastsf12bTRC
NAUT8006149233201602292037ELED000001000000T6X 0780CUS-20731733               icastsf12bTRC
NAUT8006516382201602291352ELED000001000000X0E 1867CUS-20731266               ICASESF14ABMT
NAUT8008521307201602290458ELED000001000000E4N 2506CUS-20730568               ICASESF14BBMT
NAUT8008521307201602291009ELED000001000000V3W 0604CUS-20730917               ICASESF14BBMT
NAUT8008521307201602291351ELED000001000000L7J 2416CUS-20731263               ICASESF14BBMT
NAUT8008521307201602291618ELED000001000000A0E 2709CUS-20731467               ICASESF14BBMT
NAUT8008521307201602291618ELED000001000000L3B 5905CUS-20731465               ICASESF14BBMT
NAUT8008521307201602292120ELED000001000000V3R 5778CUS-20731790               ICASESF14BBMT
NAUT8008536318201602291749ELED000001000000X0A 1867CUS-20731561               ICASESF15ABMT
