CA Electronic Short Form Leads
NAUT8006148597201601191218ELED000001000000T0H 0780CUS-20652866               ICASTSF15CTRC
NAUT8006149233201601190817ELED000001000000A0H 1709CUS-20651952               icastsf12bTRC
NAUT8006149233201601190944ELED000001000000L9S 1705CUS-20652347               icastsf12bTRC
NAUT8006149233201601190948ELED000001000000T6X 0780CUS-20652362               icastsf12bTRC
NAUT8006149233201601191001ELED000001000000T0C 1780CUS-20652420               icastsf12bTRC
NAUT8006149233201601191234ELED000001000000A2V 1709CUS-20652907               icastsf12bTRC
NAUT8006149233201601191600ELED000001000000V6K 4604CUS-20653400               icastsf12bTRC
NAUT8006149233201601191702ELED000001000000T9G 1587CUS-20653549               icastsf12bTRC
NAUT8006149233201601191719ELED000001000000T4N 2403CUS-20653582               icastsf12bTRC
NAUT8006149233201601191907ELED000001000000C0A 1902CUS-20653788               icastsf12bTRC
NAUT8006149233201601191943ELED000001000000K6J 5514CUS-20653866               icastsf12bTRC
NAUT8006149233201601191951ELED000001000000T9M 1780CUS-20653884               icastsf12bTRC
NAUT8006149233201601192019ELED000001000000T6T 0780CUS-20653941               icastsf12bTRC
NAUT8006149233201601192029ELED000001000000T5X 3780CUS-20653958               icastsf12bTRC
NAUT8006149233201601192029ELED000001000000T5Z 3780CUS-20653956               icastsf12bTRC
NAUT8006149233201601192257ELED000001000000V9Y 7250CUS-20654120               icastsf12bTRC
NAUT8006516382201601190526ELED000001000000R0K 1204CUS-20651689               ICASESF14ABMT
NAUT8006516382201601190806ELED000001000000K9V 3705CUS-20651900               ICASESF14ABMT
NAUT8006516382201601190815ELED000001000000L3B 5289CUS-20651942               ICASESF14ABMT
NAUT8006516382201601190824ELED000001000000L3R 4905CUS-20651989               ICASESF14ABMT
NAUT8006516382201601190843ELED000001000000E8C 2506CUS-20652078               ICASESF14ABMT
NAUT8006516382201601191551ELED000001000000G0R 4418CUS-20653381               ICASESF14ABMT
NAUT8006516382201601191743ELED000001000000N0L 2519CUS-20653625               ICASESF14ABMT
NAUT8006516382201601191743ELED000001000000T1K 5403CUS-20653628               ICASESF14ABMT
NAUT8006516382201601191759ELED000001000000N0J 1519CUS-20653660               ICASESF14ABMT
NAUT8006516382201601191812ELED000001000000R0A 1204CUS-20653678               ICASESF14ABMT
NAUT8006516382201601191845ELED000001000000T0G 2780CUS-20653742               ICASESF14ABMT
NAUT8006516382201601191925ELED000001000000T5E 4780CUS-20653816               ICASESF14ABMT
NAUT8006516382201601192005ELED000001000000A0M 1709CUS-20653909               ICASESF14ABMT
NAUT8006516382201601192019ELED000001000000P6A 4705CUS-20653939               ICASESF14ABMT
NAUT8006516382201601192102ELED000001000000T3A 5403CUS-20654023               ICASESF14ABMT
NAUT8008521307201601190423ELED000001000000J4L 1514CUS-20633744               ICASESF14BBMT
NAUT8008521307201601190610ELED000001000000L9V 2647CUS-20651727               ICASESF14BBMT
NAUT8008521307201601190806ELED000001000000B2G 2902CUS-20651896               ICASESF14BBMT
NAUT8008521307201601190814ELED000001000000L0L 1905CUS-20651940               ICASESF14BBMT
NAUT8008521307201601191011ELED000001000000L4L 2905CUS-20652437               ICASESF14BBMT
NAUT8008521307201601191035ELED000001000000T8V 0587CUS-20652521               ICASESF14BBMT
NAUT8008521307201601191210ELED000001000000E4Y 1506CUS-20652827               ICASESF14BBMT
NAUT8008521307201601191230ELED000001000000N0L 2CUS-20652896               ICASESF14BBMT
NAUT8008521307201601191357ELED000001000000H3G 1347CUS-20653152               ICASESF14BBMT
NAUT8008521307201601191357ELED000001000000H3G 1347CUS-20653152               ICASESF14BTRC
NAUT8008521307201601191543ELED000001000000L5L 5905CUS-20653362               ICASESF14BBMT
NAUT8008521307201601192044ELED000001000000H2A 2514CUS-20653977               ICASESF14BBMT
NAUT8008521307201601192120ELED000001000000T0L 0CUS-20654052               ICASESF14BBMT
NAUT8008536318201601191503ELED000001000000R2H 3204CUS-20653288               ICASESF15ABMT
NAUT8008717837201601191502ELED000001000000B2W 6902CUS-20653286               ICASESF14CBMT
NAUT8009526812201601191426ELED000001000000K0H 1613CUS-20653201               icastsf09buytcTRC
