CA Electronic Short Form Leads
NAUT8006148597201511201535ELED000001000000A0C 1709CUS-20477749               ICASTSF15CTRC
NAUT8006149233201511200930ELED000001000000K1L 8226CUS-20477330               icastsf12bTRC
NAUT8006149233201511200937ELED000001000000T0C 2403CUS-20477337               icastsf12bTRC
NAUT8006149233201511200948ELED000001000000L9T 8647CUS-20477359               icastsf12bTRC
NAUT8006149233201511201253ELED000001000000K1M 1819CUS-20477581               icastsf12bTRC
NAUT8006149233201511201400ELED000001000000V0K 2250CUS-20477646               icastsf12bTRC
NAUT8006149233201511201405ELED000001000000V5S 1778CUS-20477653               icastsf12bTRC
NAUT8006149233201511201453ELED000001000000J7V 9514CUS-20477700               icastsf12bTRC
NAUT8006516382201511200516ELED000001000000B0W 3902CUS-20477101               ICASESF14ABMT
NAUT8006516382201511200547ELED000001000000N2B 1226CUS-20477113               ICASESF14ABMT
NAUT8006516382201511200554ELED000001000000B0W 3902CUS-20477118               ICASESF14ABMT
NAUT8006516382201511200752ELED000001000000N5Z 4519CUS-20477231               ICASESF14ABMT
NAUT8006516382201511201027ELED000001000000T9H 4780CUS-20477400               ICASESF14ABMT
NAUT8006516382201511201139ELED000001000000L2M 4905CUS-20477489               ICASESF14ABMT
NAUT8006516382201511201144ELED000001000000N7M 1519CUS-20477496               ICASESF14ABMT
NAUT8006516382201511201149ELED000001000000S7L 4306CUS-20477501               ICASESF14ABMT
NAUT8006516382201511201254ELED000001000000V3R 1778CUS-20477582               ICASESF14ABMT
NAUT8006516382201511201307ELED000001000000E4H 3506CUS-20239329               ICASESF14ABMT
NAUT8006516382201511201337ELED000001000000P6B 3705CUS-20477623               ICASESF14ABMT
NAUT8006516382201511201344ELED000001000000N8S 3519CUS-20477634               ICASESF14ABMT
NAUT8006516382201511201348ELED000001000000V0V 1250CUS-20477638               ICASESF14ABMT
NAUT8006516382201511201453ELED000001000000K8A 8613CUS-20477701               ICASESF14ABMT
NAUT8006516382201511201652ELED000001000000M3H 6416CUS-20477819               ICASESF14ABMT
NAUT8006516382201511201807ELED000001000000T2X 3403CUS-20477889               ICASESF14ABMT
NAUT8006516382201511201849ELED000001000000S0J 2306CUS-20477928               ICASESF14ABMT
NAUT8008521307201511201130ELED000001000000G6S 1819CUS-20477476               ICASESF14BBMT
NAUT8008521307201511201137ELED000001000000N5C 3519CUS-20477487               ICASESF14BBMT
NAUT8008521307201511201207ELED000001000000N5C 3519CUS-20477528               ICASESF14BBMT
NAUT8008521307201511201312ELED000001000000S4S 5306CUS-20477602               ICASESF14BBMT
NAUT8008521307201511201612ELED000001000000J1K 1819CUS-20477781               ICASESF14BBMT
NAUT8008521307201511201747ELED000001000000K0C 1613CUS-20477872               ICASESF14BBMT
NAUT8008521307201511202028ELED000001000000T0B 4780CUS-20478010               ICASESF14BBMT
NAUT8008521307201511202033ELED000001000000P6C 5807CUS-20478013               ICASESF14BBMT
NAUT8009526971201511200730ELED000001000000L9H 2289CUS-20477207               ICASTSF15BTRC
NAUT8009526971201511200757ELED000001000000T4B 2403CUS-20477235               ICASTSF15BTRC
NAUT8009526971201511200824ELED000001000000N1E 6519CUS-20477269               ICASTSF15BTRC
NAUT8009526971201511200953ELED000001000000V2M 6250CUS-20477369               ICASTSF15BTRC
NAUT8009526971201511201143ELED000001000000K2B 8613CUS-20477495               ICASTSF15BTRC
NAUT8009526971201511201505ELED000001000000T2J 4403CUS-20477715               ICASTSF15BTRC
NAUT8009526971201511201513ELED000001000000T0J 2403CUS-20477721               ICASTSF15BTRC
NAUT8009526971201511201524ELED000001000000E1B 0506CUS-20477736               ICASTSF15BTRC
NAUT8009526971201511201548ELED000001000000M6G 3647CUS-20477764               ICASTSF15BTRC
NAUT8009526971201511201641ELED000001000000N2H 4519CUS-20477810               ICASTSF15BTRC
NAUT8009526971201511201645ELED000001000000B0W 2902CUS-20477813               ICASTSF15BTRC
NAUT8009526971201511201908ELED000001000000P6A 4705CUS-20477947               ICASTSF15BTRC
NAUT8009526971201511201913ELED000001000000P0M 1705CUS-20477951               ICASTSF15BTRC
NAUT8009526971201511201920ELED000001000000L1W 1905CUS-20477956               ICASTSF15BTRC
NAUT8009526971201511202039ELED000001000000T3E 3403CUS-20478017               ICASTSF15BTRC
NAUT8009526971201511202246ELED000001000000V2V 5604CUS-20478090               ICASTSF15BTRC
