CA Electronic Short Form Leads
NAUT8006148597201601261534ELED000001000000L7J 2519CUS-20671444               ICASTSF15CTRC
NAUT8006149233201601260227ELED000001000000L7G 5416CUS-20669939               icastsf12bTRC
NAUT8006149233201601260602ELED000001000000N0M 2519CUS-20670036               icastsf12bTRC
NAUT8006149233201601260935ELED000001000000N4G 3519CUS-20670528               icastsf12bTRC
NAUT8006149233201601261026ELED000001000000T0L 0403CUS-20543292               icastsf12bTRC
NAUT8006149233201601261144ELED000001000000L5K 1905CUS-20670900               icastsf12bTRC
NAUT8006149233201601261241ELED000001000000K1L 5613CUS-20671053               icastsf12bTRC
NAUT8006149233201601261344ELED000001000000N2L 4519CUS-20671212               icastsf12bTRC
NAUT8006149233201601261443ELED000001000000S9H 3306CUS-20671328               icastsf12bTRC
NAUT8006149233201601261501ELED000001000000N5W 2226CUS-20671370               icastsf12bTRC
NAUT8006149233201601261515ELED000001000000N5V 1519CUS-20671402               icastsf12bTRC
NAUT8006149233201601261601ELED000001000000V0E 2250CUS-20671497               icastsf12bTRC
NAUT8006149233201601261644ELED000001000000E8P 1506CUS-20671619               icastsf12bTRC
NAUT8006149233201601261829ELED000001000000T2Z 5403CUS-20671890               icastsf12bTRC
NAUT8006149233201601261943ELED000001000000T2W 3403CUS-20672040               icastsf12bTRC
NAUT8006149233201601261944ELED000001000000R0G 1204CUS-20672042               icastsf12bTRC
NAUT8006149233201601262122ELED000001000000V0L 1250CUS-20672207               icastsf12bTRC
NAUT8006149233201601262122ELED000001000000V2A 5250CUS-20672206               icastsf12bTRC
NAUT8006516382201601260805ELED000001000000X1A 2867CUS-20670211               ICASESF14ABMT
NAUT8006516382201601260806ELED000001000000T5A 4780CUS-20670218               ICASESF14ABMT
NAUT8006516382201601260927ELED000001000000L9W 1519CUS-20670511               ICASESF14ABMT
NAUT8006516382201601261309ELED000001000000M6M 2416CUS-19533632               ICASESF14ABMT
NAUT8006516382201601261513ELED000001000000L8E 1289CUS-20671398               ICASESF14ABMT
NAUT8006516382201601261513ELED000001000000M9V 3647CUS-20671397               ICASESF14ABMT
NAUT8006516382201601261651ELED000001000000L0L 1705CUS-20671637               ICASESF14ABMT
NAUT8006516382201601261652ELED000001000000C1A 6902CUS-20671641               ICASESF14ABMT
NAUT8006516382201601261652ELED000001000000L4L 8905CUS-19598991               ICASESF14ABMT
NAUT8006516382201601261653ELED000001000000L4N 9705CUS-20671643               ICASESF14ABMT
NAUT8006516382201601261700ELED000001000000N0E 1519CUS-20671657               ICASESF14ABMT
NAUT8006516382201601261820ELED000001000000N0L 1519CUS-20671869               ICASESF14ABMT
NAUT8006516382201601261830ELED000001000000K1Z 7613CUS-20671893               ICASESF14ABMT
NAUT8006516382201601261831ELED000001000000T0B 2780CUS-20671896               ICASESF14ABMT
NAUT8006516382201601261912ELED000001000000M9R 3647CUS-20671979               ICASESF14ABMT
NAUT8006516382201601261959ELED000001000000V4N 5778CUS-20672073               ICASESF14ABMT
NAUT8006516382201601262000ELED000001000000H8P 1514CUS-20672075               ICASESF14ABMT
NAUT8006516382201601262000ELED000001000000T3J 2403CUS-20672078               ICASESF14ABMT
NAUT8008521307201601260111ELED000001000000L9B 2905CUS-20669924               ICASESF14BBMT
NAUT8008521307201601260803ELED000001000000T9M 0705CUS-20670202               ICASESF14BBMT
NAUT8008521307201601260847ELED000001000000T1J 2493CUS-20670405               ICASESF14BBMT
NAUT8008521307201601260853ELED000001000000S4A 0306CUS-20670427               ICASESF14BBMT
NAUT8008521307201601260855ELED000001000000A0G 3902CUS-20670431               ICASESF14BBMT
NAUT8008521307201601260910ELED000001000000E1N 5506CUS-20670465               ICASESF14BBMT
NAUT8008521307201601261051ELED000001000000V1R 4250CUS-20670743               ICASESF14BBMT
NAUT8008521307201601261119ELED000001000000T0C 1780CUS-20670834               ICASESF14BBMT
NAUT8008521307201601261136ELED000001000000V1V 1778CUS-20670881               ICASESF14BBMT
NAUT8008521307201601261254ELED000001000000A2V 1709CUS-20671084               ICASESF14BBMT
NAUT8008521307201601261335ELED000001000000L7G 4905CUS-20671178               ICASESF14BBMT
NAUT8008521307201601261352ELED000001000000V1Z 2250CUS-20671228               ICASESF14BBMT
NAUT8008521307201601261548ELED000001000000L9W 3519CUS-20671470               ICASESF14BBMT
NAUT8008521307201601261804ELED000001000000L4N 8705CUS-20671839               ICASESF14BBMT
NAUT8008521307201601261934ELED000001000000T5J 0780CUS-20672023               ICASESF14BBMT
NAUT8008521307201601262029ELED000001000000A1H 1709CUS-20672120               ICASESF14BBMT
NAUT8008521307201601262033ELED000001000000T6C 4CUS-20672130               ICASESF14BBMT
NAUT8008521307201601262117ELED000001000000T8E 2587CUS-20672200               ICASESF14BBMT
NAUT8009526812201601260802ELED000001000000S7H 3306CUS-20670197               icastsf09buytcTRC
NAUT8009526812201601260910ELED000001000000N4S 1519CUS-20670466               icastsf09buytcTRC
NAUT8009526812201601260911ELED000001000000R0B 0204CUS-20670470               icastsf09buytcTRC
NAUT8009526812201601262040ELED000001000000K2T O613CUS-20672146               icastsf09buytcTRC
NAUT8009526971201601261241ELED000001000000V2G 1250CUS-20671057               ICASTSF15BTRC
