CA Electronic Short Form Leads
NAUT8006148597201601141310ELED000001000000L8T 3905CUS-20639467               ICASTSF15CTRC
NAUT8006149233201601140845ELED000001000000L5H 2905CUS-20564224               icastsf12bTRC
NAUT8006149233201601141000ELED000001000000V9H 0250CUS-20638921               icastsf12bTRC
NAUT8006149233201601141335ELED000001000000N0A 1905CUS-20639526               icastsf12bTRC
NAUT8006149233201601141335ELED000001000000P0H 1705CUS-20639530               icastsf12bTRC
NAUT8006149233201601141335ELED000001000000T4L 1403CUS-20639527               icastsf12bTRC
NAUT8006149233201601141402ELED000001000000H9G 1514CUS-20639603               icastsf12bTRC
NAUT8006149233201601141402ELED000001000000V2S 1604CUS-20639602               icastsf12bTRC
NAUT8006149233201601141426ELED000001000000H8T 1514CUS-20639654               icastsf12bTRC
NAUT8006149233201601141502ELED000001000000R2M 2204CUS-20639726               icastsf12bTRC
NAUT8006149233201601141711ELED000001000000K8A 6613CUS-20640014               icastsf12bTRC
NAUT8006149233201601141758ELED000001000000R3L 1204CUS-20640120               icastsf12bTRC
NAUT8006149233201601141801ELED000001000000M9P 2226CUS-20640129               icastsf12bTRC
NAUT8006149233201601141939ELED000001000000M4V 2416CUS-20640305               icastsf12bTRC
NAUT8006149233201601142000ELED000001000000R2Y 1204CUS-20640337               icastsf12bTRC
NAUT8006149233201601142001ELED000001000000T1J 0403CUS-20640338               icastsf12bTRC
NAUT8006149233201601142011ELED000001000000P0A 1705CUS-20640344               icastsf12bTRC
NAUT8006149233201601142011ELED000001000000V2B 0778CUS-20640346               icastsf12bTRC
NAUT8006149233201601142058ELED000001000000V3V 7604CUS-20640398               icastsf12bTRC
NAUT8006149233201601142343ELED000001000000T0C 2780CUS-20640526               icastsf12bTRC
NAUT8006516382201601140846ELED000001000000A1K 1709CUS-20638685               ICASESF14ABMT
NAUT8006516382201601140940ELED000001000000R0E 1204CUS-20638855               ICASESF14ABMT
NAUT8006516382201601141058ELED000001000000N6K 4519CUS-20639119               ICASESF14ABMT
NAUT8006516382201601141145ELED000001000000V8X 2250CUS-20639263               ICASESF14ABMT
NAUT8006516382201601141211ELED000001000000V7C 1604CUS-20639333               ICASESF14ABMT
NAUT8006516382201601141252ELED000001000000P0T 2705CUS-20639425               ICASESF14ABMT
NAUT8006516382201601141259ELED000001000000P0T 2807CUS-20639443               ICASESF14ABMT
NAUT8006516382201601141314ELED000001000000L6Y 2647CUS-20639476               ICASESF14ABMT
NAUT8006516382201601141314ELED000001000000T5P 0780CUS-20639475               ICASESF14ABMT
NAUT8006516382201601141357ELED000001000000T0H 0780CUS-20639582               ICASESF14ABMT
NAUT8006516382201601141638ELED000001000000C0B 1902CUS-20639929               ICASESF14ABMT
NAUT8006516382201601141703ELED000001000000H4L 4514CUS-20639995               ICASESF14ABMT
NAUT8006516382201601141703ELED000001000000T2K 1587CUS-20639993               ICASESF14ABMT
NAUT8006516382201601141704ELED000001000000A0B 3709CUS-20639997               ICASESF14ABMT
NAUT8006516382201601141735ELED000001000000V3W 1604CUS-20640070               ICASESF14ABMT
NAUT8006516382201601141736ELED000001000000L5N 0647CUS-20640074               ICASESF14ABMT
NAUT8006516382201601141819ELED000001000000L0M 1705CUS-20640165               ICASESF14ABMT
NAUT8006516382201601141845ELED000001000000N4L 1519CUS-20640202               ICASESF14ABMT
NAUT8006516382201601141919ELED000001000000L8V 1289CUS-20640258               ICASESF14ABMT
NAUT8006516382201601142153ELED000001000000V8G 3403CUS-20640459               ICASESF14ABMT
NAUT8006671981201601141359ELED000001000000G0C 3418CUS-20639587               ICASESF14DBMT
NAUT8006671981201601141359ELED000001000000T2X 3403CUS-20639591               ICASESF14DBMT
NAUT8006671981201601141934ELED000001000000E4J 2506CUS-20640286               ICASESF14DBMT
NAUT8008521307201601140804ELED000001000000H1G 3438CUS-20638491               ICASESF14BBMT
NAUT8008521307201601140831ELED000001000000N1E 2519CUS-20638609               ICASESF14BBMT
NAUT8008521307201601140831ELED000001000000P3Y 1705CUS-20638612               ICASESF14BBMT
NAUT8008521307201601140845ELED000001000000S0K 4306CUS-20638683               ICASESF14BBMT
NAUT8008521307201601141129ELED000001000000T4S 0403CUS-20639213               ICASESF14BBMT
NAUT8008521307201601141137ELED000001000000A2V 1709CUS-20639233               ICASESF14BBMT
NAUT8008521307201601141137ELED000001000000L2S 3905CUS-20639234               ICASESF14BBMT
NAUT8008521307201601141400ELED000001000000K9H 7705CUS-20639592               ICASESF14BBMT
NAUT8008521307201601141503ELED000001000000A0A 2709CUS-20639728               ICASESF14BBMT
NAUT8008521307201601141613ELED000001000000T4B 3403CUS-20639878               ICASESF14BBMT
NAUT8008521307201601141704ELED000001000000T8V 1780CUS-20639996               ICASESF14BBMT
NAUT8008521307201601141704ELED000001000000T8V 1780CUS-20639996               ICASESF14BTRC
NAUT8008521307201601141858ELED000001000000L5N 7905CUS-20640220               ICASESF14BBMT
NAUT8008521307201601141858ELED000001000000T3K 0403CUS-20640218               ICASESF14BBMT
NAUT8008521307201601141919ELED000001000000N0A 1519CUS-20640257               ICASESF14BBMT
NAUT8008521307201601142118ELED000001000000T1J 2403CUS-20640435               ICASESF14BBMT
NAUT8008536318201601141833ELED000001000000G1R 1CUS-20640187               ICASESF15ABMT
NAUT8008536318201601141845ELED000001000000M1N 1416CUS-20640203               ICASESF15ABMT
NAUT8008536318201601142030ELED000001000000M1N 1416CUS-20640367               ICASESF15ABMT
NAUT8008717837201601140805ELED000001000000H1H 3514CUS-20638493               ICASESF14CBMT
NAUT8009526812201601141227ELED000001000000N0A 1519CUS-20639364               icastsf09buytcTRC
