CA Electronic Short Form Leads
NAUT8002439827201511191142ELED000001000000V2J 6250CUS-20476256               SAWDSEESF14ABMT
NAUT8006148597201511190822ELED000001000000E1V 5506CUS-20476032               ICASTSF15CTRC
NAUT8006148597201511191417ELED000001000000S7W 0306CUS-20476493               ICASTSF15CTRC
NAUT8006149233201511190853ELED000001000000T4G 1403CUS-20476067               icastsf12bTRC
NAUT8006149233201511190945ELED000001000000M3J 1647CUS-20476124               icastsf12bTRC
NAUT8006149233201511191031ELED000001000000B3Z 1902CUS-19911186               icastsf12bTRC
NAUT8006149233201511191036ELED000001000000N2T 1519CUS-20476177               icastsf12bTRC
NAUT8006516382201511190800ELED000001000000N9Y 4519CUS-20476010               ICASESF14ABMT
NAUT8006516382201511190944ELED000001000000V3Y 2778CUS-20476122               ICASESF14ABMT
NAUT8006516382201511191134ELED000001000000V5X 1778CUS-20476252               ICASESF14ABMT
NAUT8006516382201511191223ELED000001000000V2M 2250CUS-20476330               ICASESF14ABMT
NAUT8006516382201511191345ELED000001000000S4V 2306CUS-20476446               ICASESF14ABMT
NAUT8006516382201511191354ELED000001000000M4H 1416CUS-20476462               ICASESF14ABMT
NAUT8006516382201511191412ELED000001000000T7V 1780CUS-20476483               ICASESF14ABMT
NAUT8006516382201511191502ELED000001000000P1H 2416CUS-20476539               ICASESF14ABMT
NAUT8006516382201511191508ELED000001000000T2A 5587CUS-20476546               ICASESF14ABMT
NAUT8006516382201511191857ELED000001000000N0A 1905CUS-20476778               ICASESF14ABMT
NAUT8006516382201511192016ELED000001000000M3H 5416CUS-20476855               ICASESF14ABMT
NAUT8006516382201511192022ELED000001000000L3Y 8905CUS-20476862               ICASESF14ABMT
NAUT8006516382201511192042ELED000001000000H7N 5514CUS-20476876               ICASESF14ABMT
NAUT8006516382201511192055ELED000001000000P4N 6705CUS-20476885               ICASESF14ABMT
NAUT8006516382201511192305ELED000001000000M3A 2416CUS-20476962               ICASESF14ABMT
NAUT8008521307201511190430ELED000001000000V2B 6250CUS-20475775               ICASESF14BBMT
NAUT8008521307201511190616ELED000001000000E4P 1506CUS-20475889               ICASESF14BBMT
NAUT8008521307201511190815ELED000001000000L1N 8289CUS-20476025               ICASESF14BBMT
NAUT8008521307201511190913ELED000001000000T5Z 0780CUS-20476087               ICASESF14BBMT
NAUT8008521307201511191057ELED000001000000J0X 1613CUS-20476196               ICASESF14BBMT
NAUT8008521307201511191132ELED000001000000T3Z3N403CUS-6919164               ICASESF14BBMT
NAUT8008521307201511191205ELED000001000000V2K 2250CUS-20476301               ICASESF14BBMT
NAUT8008521307201511191436ELED000001000000J9J 1613CUS-20476509               ICASESF14BBMT
NAUT8008521307201511191456ELED000001000000K0H 1613CUS-20476532               ICASESF14BBMT
NAUT8008521307201511191641ELED000001000000K0H 2613CUS-20476646               ICASESF14BBMT
NAUT8008521307201511191647ELED000001000000N0B 2905CUS-20476656               ICASESF14BBMT
NAUT8008521307201511191650ELED000001000000S6V 5306CUS-20476659               ICASESF14BBMT
NAUT8008521307201511191659ELED000001000000V3B 0604CUS-20476674               ICASESF14BBMT
NAUT8008521307201511191712ELED000001000000B4H 1902CUS-20476689               ICASESF14BBMT
NAUT8008521307201511191904ELED000001000000L6B 0416CUS-20476783               ICASESF14BBMT
NAUT8008521307201511191942ELED000001000000V3B 0604CUS-20476827               ICASESF14BBMT
NAUT8008521307201511191946ELED000001000000L0K 1705CUS-20476834               ICASESF14BBMT
NAUT8009526971201511190937ELED000001000000V0R 2250CUS-20476117               ICASTSF15BTRC
NAUT8009526971201511191251ELED000001000000T6H 0780CUS-20476379               ICASTSF15BTRC
NAUT8009526971201511191410ELED000001000000V2G 2778CUS-20476480               ICASTSF15BTRC
NAUT8009526971201511191621ELED000001000000T5S 1780CUS-20476623               ICASTSF15BTRC
NAUT8009526971201511191646ELED000001000000T1H 4587CUS-20476654               ICASTSF15BTRC
NAUT8009526971201511191654ELED000001000000S4R 4306CUS-20476665               ICASTSF15BTRC
NAUT8009526971201511191718ELED000001000000A1B 3905CUS-20476696               ICASTSF15BTRC
NAUT8009526971201511191856ELED000001000000L5L 4416CUS-20476777               ICASTSF15BTRC
NAUT8009526971201511191903ELED000001000000R3Y 0204CUS-20476782               ICASTSF15BTRC
NAUT8009526971201511191935ELED000001000000N1E 0519CUS-20476814               ICASTSF15BTRC
NAUT8009526971201511191942ELED000001000000S7J 4306CUS-20476826               ICASTSF15BTRC
NAUT8009526971201511192028ELED000001000000V1E 1250CUS-20476868               ICASTSF15BTRC
NAUT8009526971201511192311ELED000001000000V0M 1604CUS-20476967               ICASTSF15BTRC
