US Electronic Short Form Leads
NAUT8002439827201701270611ELED00000100000018020973CUS-170124547               SAWDSEESF14ATRC
NAUT8002439827201701270611ELED00000100000030814706CUS-17933130               SAWDSEESF14ABMT
NAUT8002439827201701270806ELED00000100000043223614CUS-170135554               dseesf14aBMT
NAUT8002439827201701270829ELED00000100000002863CUS-170135527               dseesf14aBMT
NAUT8002439827201701270913ELED00000100000063028CUS-170135672               dseesf14aBMT
NAUT8002439827201701271007ELED00000100000077627409CUS-170118668               dseesf14aTRC
NAUT8002439827201701271036ELED00000100000077968CUS-170135769               dseesf14aBMT
NAUT8002439827201701271038ELED00000100000076244214CUS-12060128               dseesf14aTRC
NAUT8002439827201701271400ELED00000100000093536661CUS-6842854               dseesf14aBMT
NAUT8002439827201701271449ELED00000100000048173734CUS-170136162               dseesf14aBMT
NAUT8002439827201701271449ELED00000100000048173734CUS-170136162               dseesf14aBST
NAUT8002439827201701271450ELED00000100000049837580CUS-170136170               dseesf14aBMT
NAUT8002439827201701271725ELED00000100000037615CUS-170136339               dseesf14aBMT
NAUT8002439827201701271928ELED00000100000014141505CUS-170136448               dseesf14aBMT
NAUT8002439827201701271928ELED00000100000014141505CUS-170136448               dseesf14aTRC
NAUT8002439827201701271949ELED00000100000015301724CUS-170136473               dseesf14aBMT
NAUT8002439827201701272006ELED00000100000055420952CUS-170136486               dseesf14aBMT
NAUT8002439827201701272007ELED00000100000055420952CUS-170136486               dseesf14aTRC
NAUT8002615850201701270009ELED00000100000018229570CUS-170135330               DSEESF14FBMT
NAUT8002615850201701271751ELED00000100000085021CUS-170136343               DSEESF14FBMT
NAUT8004368368201701270818ELED00000100000070092504CUS-170135587               DSETDIRTRC
NAUT8004368368201701271113ELED00000100000018360CUS-170135869               DSETDIRTRC
NAUT8004368368201701271432ELED00000100000089122702CUS-170136140               DSETDIRTRC
NAUT8004368368201701271539ELED00000100000017070717CUS-13149391               DSETDIRTRC
NAUT8004368368201701271815ELED00000100000048170CUS-170136379               DSETDIRTRC
NAUT8005258332201701272141ELED00000100000011793516CUS-170136526               DSEESF14EBMT
NAUT8006566904201701270005ELED00000100000007083CUS-170135329               DSEESF14HBMT
NAUT8006566904201701270907ELED00000100000084043801CUS-170135659               DSEESF14HBMT
NAUT8006566904201701270907ELED00000100000084043801CUS-170135659               DSEESF14HTRC
NAUT8006566904201701270921ELED00000100000097217310CUS-366602               DSEESF14HBMT
NAUT8006566904201701271027ELED00000100000064489CUS-170135790               DSEESF14HBMT
NAUT8006566904201701271202ELED00000100000089143702CUS-8376691               DSEESF14HBMT
NAUT8006566904201701271217ELED00000100000039046601CUS-170135957               DSEESF14HBMT
NAUT8006566904201701271227ELED00000100000097204310CUS-170135971               DSEESF14HBMT
NAUT8006566904201701271228ELED00000100000097204310CUS-170135971               DSEESF14HTRC
NAUT8006566904201701271239ELED00000100000076035603CUS-2181065               DSEESF14HBMT
NAUT8006566904201701271239ELED00000100000076035603CUS-2181065               DSEESF14HTRC
NAUT8006566904201701271241ELED00000100000028306910CUS-170135993               DSEESF14HBMT
NAUT8006566904201701271314ELED00000100000060632CUS-170136035               DSEESF14HBMT
NAUT8006566904201701271935ELED00000100000044143CUS-170136455               DSEESF14HBMT
NAUT8006793698201701270449ELED00000100000010453CUS-170135381               DSEESF16BBMT
NAUT8007075879201701270820ELED00000100000077084713CUS-9192628               SAWSF11ETRC
NAUT8008483965201701270554ELED00000100000032216904CUS-170135406               DSEESF14GBMT
NAUT8008483965201701270813ELED00000100000045036CUS-170135485               DSEESF14GBMT
NAUT8008483965201701271030ELED00000100000038301CUS-170135794               DSEESF14GBMT
NAUT8008483965201701271146ELED00000100000008902848CUS-170135918               DSEESF14GBFC
NAUT8008483965201701271220ELED00000100000077093CUS-170135961               DSEESF14GBMT
NAUT8008483965201701271226ELED00000100000008690609CUS-170135967               DSEESF14GBMT
NAUT8008483965201701271244ELED00000100000080528970CUS-565954               DSEESF14GBMT
NAUT8008483965201701271250ELED00000100000012180CUS-170136010               DSEESF14GBMT
NAUT8008483965201701271744ELED00000100000068134CUS-170136357               DSEESF14GBMT
NAUT8009526818201701270635ELED00000100000060633312CUS-170135447               DEFAULTADIDBFX
NAUT8009526818201701270636ELED00000100000060633312CUS-170135447               DEFAULTADIDBMT
NAUT8009526818201701270636ELED00000100000060633312CUS-170135447               DEFAULTADIDTRC
NAUT8009526818201701270957ELED00000100000021849410CUS-170135663               DEFAULTADIDBFX
NAUT8009528621201701270650ELED00000100000076082817CUS-170135463               dsetsf12aTRC
NAUT8009528621201701270803ELED00000100000063362636CUS-170135543               dsetsf12aTRC
NAUT8009528621201701270823ELED00000100000015122619CUS-170135598               dsetsf12aTRC
NAUT8009528621201701271039ELED00000100000096002CUS-170135810               dsetsf12aTRC
NAUT8009528621201701271209ELED00000100000096007530CUS-170135947               SAWSF12ATRC
NAUT8009528621201701271333ELED00000100000090255714CUS-170136062               dsetsf12aTRC
NAUT8009528621201701271515ELED00000100000029615CUS-170136206               dsetsf12aTRC
NAUT8009528621201701271715ELED00000100000017046CUS-170136328               dsetsf12aBMT
NAUT8009528621201701272105ELED00000100000037312CUS-170136513               dsetsf12aTRC
