US Short Form Leads
NAUT8002640660201511271054LEAD00000100000020850301CUS-20486702               CMACN60*JACKDTICBMT
NAUT8002949672201511270848LEAD00000100000027587919CUS-20486433               DTVSN60*HAMF*TICBMT
NAUT8002971376201511271727LEAD00000100000035401205CUS-11278263               GRITN120HAMBYTICBMT
NAUT8002971376201511271728LEAD00000100000031820931CUS-20487456               GRITN120HAMBYTICBMT
NAUT8002971376201511271728LEAD00000100000040162270CUS-20487458               GRITN120HAMBYTICBMT
NAUT8002971376201511271730LEAD00000100000079930915CUS-20487462               GRITN120HAMBYTICBMT
NAUT8002971376201511271734LEAD00000100000038127901CUS-20487457               GRITN120HAMBYTICBMT
NAUT8002971376201511271737LEAD00000100000036028334CUS-20487478               GRITN120HAMBYTICBMT
NAUT8003394172201511271445LEAD00000100000048607989CUS-20487184               GET*N120KMV**TICTRC
NAUT8004200250201511270656LEAD00000100000010473646CUS-6774370               LAFFN120HAMBYTICBMT
NAUT8004200250201511271230LEAD00000100000021061443CUS-20486907               LAFFN120HAMBYTICBMT
NAUT8004201890201511270702LEAD00000100000010456347CUS-20486238               CZNYN120HKINGTICTRC
NAUT8004201890201511271611LEAD00000100000085020CUS-20487338               CZNYN120HKINGTICTRC
NAUT8004201890201511272001LEAD00000100000039120601CUS-4367780               CZNYN120HKINGTICTRC
NAUT8004201890201511272002LEAD00000100000048746989CUS-20487706               CZNYN120HKINGTICTRC
NAUT8004203140201511271502LEAD00000100000007302201CUS-20487215               THISN120HKINGTICTRC
NAUT8004203140201511271506LEAD00000100000010459518CUS-20487221               THISN120HKINGTICTRC
NAUT8004203140201511272057LEAD00000100000095614530CUS-20487802               THISN120HKINGTICTRC
NAUT8004203140201511272058LEAD00000100000084119385CUS-20487803               THISN120HKINGTICTRC
NAUT8004203140201511272305LEAD00000100000084014801CUS-20487976               THISN120HKINGTICTRC
NAUT8004415270201511271342LEAD00000100000017401717CUS-20487072               DISEN60*HKINGTICTRC
NAUT8004415270201511271346LEAD00000100000044905419CUS-20487083               DISEN60*HKINGTICTRC
NAUT8004415270201511271626LEAD00000100000076078CUS-20487364               DISEN60*HKINGTICTRC
NAUT8004416210201511271204LEAD00000100000076501254CUS-20486834               DWOMN60*HKINGTICTRC
NAUT8004416210201511271222LEAD00000100000039440601CUS-20486873               DWOMN60*HKINGTICTRC
NAUT8004416210201511271327LEAD00000100000087420505CUS-20487036               DWOMN60*HKINGTICTRC
NAUT8004416790201511271052LEAD00000100000039335601CUS-20486693               LMN*N60*HKINGTICTRC
NAUT8004416790201511271053LEAD00000100000048230313CUS-20486692               LMN*N60*HKINGTICTRC
NAUT8004416790201511271054LEAD00000100000030605706CUS-20486697               LMN*N60*HKINGTICTRC
NAUT8004416790201511271545LEAD00000100000032169386CUS-20487294               LMN*N60*HKINGTICTRC
NAUT8004416790201511271550LEAD00000100000010459646CUS-20487295               LMN*N60*HKINGTICTRC
