US Short Form Leads
NAUT8002441703201512142236LEAD00000100000079701432CUS-20531417               FOX*NVODJACKDTICBMT
NAUT8002597091201512140002LEAD00000100000063130314CUS-19785590               CENTN120JACKDTICBMT
NAUT8002597091201512140723LEAD00000100000021244410CUS-20529689               CENTN120JACKDTICBMT
NAUT8002597091201512141234LEAD00000100000070072504CUS-20487052               CENTN120JACKDTICBMT
NAUT8002949672201512140819LEAD00000100000070150504CUS-20529792               DTVSN60*HAMF*TICBMT
NAUT8002949672201512140838LEAD00000100000023220804CUS-20529839               DTVSN60*HAMF*TICBMT
NAUT8003010502201512142333LEAD00000100000010462347CUS-20531437               FOX*NVODHAMF*TICBMT
NAUT8003501270201512140849LEAD00000100000060633708CUS-20183807               CMWHN60*JACKDTICBMT
NAUT8004201890201512140633LEAD00000100000003461603CUS-20529616               CZNYN120HKINGTICTRC
NAUT8004202630201512141448LEAD00000100000030038770CUS-20530681               DCADN120HKINGTICTRC
NAUT8004202690201512140641LEAD00000100000001104413CUS-20529622               TESCN120HKINGTICTRC
NAUT8004202690201512140828LEAD00000100000077015713CUS-20529819               TESCN120HKINGTICTRC
NAUT8004202690201512141330LEAD00000100000037924865CUS-20530556               TESCN120HKINGTICTRC
NAUT8004202690201512141330LEAD00000100000095341209CUS-20530554               TESCN120HKINGTICTRC
NAUT8004202690201512141331LEAD00000100000046227317CUS-20530558               TESCN120HKINGTICTRC
NAUT8004202690201512141943LEAD00000100000046151765CUS-20531209               TESCN120HKINGTICTRC
NAUT8004368213201512141238LEAD00000100000030311404CUS-20530419               GMASN60*HKINGTICTRC
NAUT8004416210201512140033LEAD00000100000044108205CUS-20529482               DWOMN60*HKINGTICTRC
NAUT8004416790201512140637LEAD00000100000075935936CUS-20529621               LMN*N60*HKINGTICTRC
NAUT8004416790201512141624LEAD00000100000011575516CUS-20530866               LMN*N60*HKINGTICTRC
NAUT8004416790201512141626LEAD00000100000060477708CUS-20530869               LMN*N60*HKINGTICTRC
NAUT8004418320201512141500LEAD00000100000099171509CUS-20530712               ATVLL60*HKINGTICTRC
NAUT8004661542201512140834LEAD00000100000080226303CUS-20529829               IFC*N120JACKDTICBMT
NAUT8004661542201512141003LEAD00000100000001516508CUS-20530024               IFC*N120JACKDTICBMT
NAUT8004673156201512140033LEAD00000100000024148276CUS-20529481               ION*N120JACKDTICBMT
NAUT8004673156201512140733LEAD00000100000005033802CUS-20529700               ION*N120JACKDTICBMT
NAUT8004673156201512140733LEAD00000100000028546712CUS-20529702               ION*N120JACKDTICBMT
NAUT8004673156201512140734LEAD00000100000027889252CUS-20529704               ION*N120JACKDTICBMT
NAUT8004673156201512140735LEAD00000100000070131504CUS-20529710               ION*N120JACKDTICBMT
NAUT8004673156201512141133LEAD00000100000081601970CUS-20530218               ION*N120JACKDTICBMT
NAUT8004673156201512141134LEAD00000100000060626773CUS-19896830               ION*N120JACKDTICBMT
NAUT8004673156201512141333LEAD00000100000098012425CUS-11347936               ION*N120JACKDTICBMT
NAUT8004673156201512141534LEAD00000100000077220832CUS-20530766               ION*N120JACKDTICBMT
NAUT8004673156201512142334LEAD00000100000011213917CUS-20531439               ION*N120JACKDTICBMT
NAUT8004691572201512141634LEAD00000100000092831707CUS-20530889               WNATN120JACKDTICBMT
NAUT8004695614201512140833LEAD00000100000044203330CUS-13168169               JUSTN120JACKDTICBMT
