US Short Form Leads
NAUT8002431011201410201410LEAD00000100000026218681CUS-19763902               INSPN180WALKATICTRC
NAUT8002917847201410201039LEAD00000100000037086615CUS-19763526               ION*N120BFMAXTICBMT
NAUT8002917847201410201039LEAD00000100000053215414CUS-19763532               ION*N120BFMAXTICBMT
NAUT8002917847201410201039LEAD00000100000060411773CUS-19763529               ION*N120BFMAXTICBMT
NAUT8002917847201410201041LEAD00000100000013322315CUS-19763535               ION*N120BFMAXTICBMT
NAUT8002917847201410201042LEAD00000100000033018786CUS-19763536               ION*N120BFMAXTICBMT
NAUT8002917847201410201048LEAD00000100000048214313CUS-19763543               ION*N120BFMAXTICBMT
NAUT8002917847201410201053LEAD00000100000011694718CUS-19763544               ION*N120BFMAXTICBMT
NAUT8002917847201410201239LEAD00000100000085014480CUS-19763777               ION*N120BFMAXTICBMT
NAUT8002917847201410201240LEAD00000100000085201623CUS-920663               ION*N120BFMAXTICBMT
NAUT8002917847201410201339LEAD00000100000085307623CUS-19763854               ION*N120BFMAXTICBMT
NAUT8002917847201410201340LEAD00000100000090222310CUS-19763856               ION*N120BFMAXTICBMT
NAUT8002984976201410200749LEAD00000100000048093313CUS-19763262               FOX*NVODGRT2HTICTRC
NAUT8003046549201410200554LEAD00000100000019138215CUS-19763157               ADCOP60*JRNEYWSTTRC
NAUT8003318973201410201244LEAD00000100000014624585CUS-19763780               SAWTCIM0003TRC
NAUT8003359240201410201954LEAD00000100000032922321CUS-19764356               NBA*P60*GRT2HWSTTRC
NAUT8003518887201410200906LEAD00000100000045801419CUS-19763361               IFC*N120BFMAXTICBMT
NAUT8003518887201410201000LEAD00000100000032578850CUS-19763465               IFC*N120BFMAXTICBMT
NAUT8003640478201410201438LEAD00000100000006374860CUS-1459693               SPKEN120JNYNYTICBST
NAUT8003661911201410201024LEAD00000100000033154305CUS-19763492               SUNDN180BFMAXTICBMT
NAUT8003661911201410201030LEAD00000100000080917719CUS-11032705               SUNDN180BFMAXTICBMT
NAUT8003667015201410200943LEAD00000100000092082760CUS-19763434               VEL*N180BFMAXTICBMT
NAUT8004272727201410201229LEAD00000100000095501707CUS-19763761               METVN120GRT2HTICTRC
NAUT8004366634201410201649LEAD00000100000063630573CUS-19764142               IONLN180WALKATICTRC
NAUT8004366634201410201654LEAD00000100000020746301CUS-19764148               IONLN180WALKATICTRC
NAUT8004375781201410201156LEAD00000100000003281603CUS-19763697               HALMN120GRT2HTICTRC
NAUT8004400559201410200929LEAD00000100000085205480CUS-19763412               FOXNN120GRT2HTICTRC
NAUT8004669741201410201051LEAD00000100000090740714CUS-19763547               SUNDN120GENTSTICTRC
NAUT8004669741201410201052LEAD00000100000034736352CUS-19763546               SUNDN120GENTSTICTRC
NAUT8004669741201410201056LEAD00000100000095687530CUS-19763559               SUNDN120GENTSTICTRC
NAUT8004669741201410201258LEAD00000100000045871419CUS-4813190               SUNDN120GENTSTICTRC
NAUT8004669741201410201259LEAD00000100000038643662CUS-19763809               SUNDN120GENTSTICTRC
NAUT8004669741201410202353LEAD00000100000046221317CUS-19764479               SUNDN120GENTSTICTRC
NAUT8004760480201410200835LEAD00000100000040013502CUS-19763323               INSPN180GRT2HTICTRC
NAUT8004768135201410200311LEAD00000100000048174734CUS-19763125               AMC*L60*WALKATICTRC
NAUT8004809199201410200925LEAD00000100000085041602CUS-19763406               SUNDN120BFMAXTICBMT
NAUT8004809199201410200926LEAD00000100000027948239CUS-19763408               SUNDN120BFMAXTICBMT
NAUT8004809199201410201002LEAD00000100000048227313CUS-19763471               SUNDN120BFMAXTICBMT
NAUT8004809199201410201311LEAD00000100000022655540CUS-5720967               SUNDN120BFMAXTICBMT
NAUT8004809199201410201430LEAD00000100000031055229CUS-19763939               SUNDN120BFMAXTICBMT
NAUT8004809199201410201437LEAD00000100000070665337CUS-19763943               SUNDN120BFMAXTICBMT
NAUT8004969798201410200755LEAD00000100000070392985CUS-19763275               SPKEN120BFMAXTICBMT
