US Short Form Leads
NAUT8002433902201410251602LEAD00000100000092835714CUS-19771029               ARTLL60*NOTSTTICBMT
NAUT8002917847201410250956LEAD00000100000004864207CUS-19770276               ION*N120BFMAXTICBMT
NAUT8003518887201410251603LEAD00000100000029936843CUS-19771033               IFC*N120BFMAXTICBMT
NAUT8003661911201410252255LEAD00000100000038834662CUS-19771507               SUNDN180BFMAXTICBMT
NAUT8003667015201410251101LEAD00000100000002121617CUS-19770395               VEL*N180BFMAXTICBMT
NAUT8003667015201410251101LEAD00000100000039272601CUS-19770397               VEL*N180BFMAXTICBMT
NAUT8003667015201410251101LEAD00000100000089118702CUS-19770396               VEL*N180BFMAXTICBMT
NAUT8003667015201410251212LEAD00000100000078744512CUS-19770511               VEL*N180BFMAXTICBMT
NAUT8004272727201410251023LEAD00000100000017304724CUS-19770309               METVN120GRT2HTICTRC
NAUT8004272727201410251530LEAD00000100000036701334CUS-19770935               METVN120GRT2HTICTRC
NAUT8004272727201410251530LEAD00000100000040212502CUS-19770937               METVN120GRT2HTICTRC
NAUT8004272727201410251531LEAD00000100000095832619CUS-19770938               METVN120GRT2HTICTRC
NAUT8004272727201410251533LEAD00000100000066604875CUS-19770940               METVN120GRT2HTICTRC
NAUT8004272727201410251534LEAD00000100000029851803CUS-19770941               METVN120GRT2HTICTRC
NAUT8004272727201410251535LEAD00000100000033852863CUS-19770942               METVN120GRT2HTICTRC
NAUT8004272727201410251540LEAD00000100000064030816CUS-19770946               METVN120GRT2HTICTRC
NAUT8004272727201410251652LEAD00000100000037917312CUS-19771100               METVN120GRT2HTICTRC
NAUT8004272727201410251656LEAD00000100000015010724CUS-19771113               METVN120GRT2HTICTRC
NAUT8004272727201410251656LEAD00000100000020002202CUS-19771115               METVN120GRT2HTICTRC
NAUT8004272727201410251657LEAD00000100000028139828CUS-19771116               METVN120GRT2HTICTRC
NAUT8004272727201410251657LEAD00000100000061341815CUS-19771117               METVN120GRT2HTICTRC
NAUT8004272727201410251731LEAD00000100000085021602CUS-19771140               METVN120GRT2HTICTRC
NAUT8004272727201410251757LEAD00000100000060067847CUS-19771175               METVN120GRT2HTICTRC
NAUT8004272727201410251758LEAD00000100000031032478CUS-19771179               METVN120GRT2HTICTRC
