US Short Form Leads
NAUT8002433902201411091214LEAD00000100000011507516CUS-19794100               ARTLL60*MRYMXTICBMT
NAUT8002917847201411091339LEAD00000100000030815706CUS-19794260               ION*N120MRYMXTICBMT
NAUT8002917847201411091340LEAD00000100000025571304CUS-2892611               ION*N120MRYMXTICBMT
NAUT8002917847201411091341LEAD00000100000033704727CUS-19794264               ION*N120MRYMXTICBMT
NAUT8002917847201411091342LEAD00000100000043946740CUS-19794267               ION*N120MRYMXTICBMT
NAUT8002917847201411091343LEAD00000100000002169617CUS-19794271               ION*N120MRYMXTICBMT
NAUT8002917847201411091343LEAD00000100000048209313CUS-19794270               ION*N120MRYMXTICBMT
NAUT8002917847201411091343LEAD00000100000049009269CUS-19794265               ION*N120MRYMXTICBMT
NAUT8002917847201411091343LEAD00000100000078801830CUS-19794268               ION*N120MRYMXTICBMT
NAUT8002917847201411091344LEAD00000100000076013817CUS-19794277               ION*N120MRYMXTICBMT
NAUT8002917847201411091347LEAD00000100000030318678CUS-19200381               ION*N120MRYMXTICBMT
NAUT8002917847201411091347LEAD00000100000032746407CUS-19794288               ION*N120MRYMXTICBMT
NAUT8002917847201411091405LEAD00000100000011366917CUS-19794355               ION*N120MRYMXTICBMT
NAUT8002917847201411091406LEAD00000100000032425334CUS-19794345               ION*N120MRYMXTICBMT
NAUT8002917847201411091459LEAD00000100000007106973CUS-19794506               ION*N120MRYMXTICBMT
NAUT8002917847201411091459LEAD00000100000010977984CUS-19794504               ION*N120MRYMXTICBMT
NAUT8002917847201411091459LEAD00000100000020910301CUS-19794505               ION*N120MRYMXTICBMT
NAUT8002917847201411091500LEAD00000100000006110860CUS-19794511               ION*N120MRYMXTICBMT
NAUT8002917847201411091500LEAD00000100000006249860CUS-19794507               ION*N120MRYMXTICBMT
NAUT8002917847201411091500LEAD00000100000011772631CUS-19794508               ION*N120MRYMXTICBMT
NAUT8002917847201411091518LEAD00000100000019131215CUS-19794544               ION*N120MRYMXTICBMT
NAUT8002917847201411091603LEAD00000100000012309518CUS-19794646               ION*N120MRYMXTICBMT
NAUT8002917847201411091603LEAD00000100000036856CUS-19794648               ION*N120MRYMXTICBMT
NAUT8002917847201411091603LEAD00000100000046406219CUS-19794647               ION*N120MRYMXTICBMT
NAUT8002917847201411091604LEAD00000100000030251404CUS-19794649               ION*N120MRYMXTICBMT
NAUT8002959083201411091025LEAD00000100000011434718CUS-19793880               FXLOL60*MRYMXTICBMT
NAUT8002959083201411092356LEAD00000100000059102406CUS-19795371               FXLOL60*MRYMXTICBMT
NAUT8003582499201411090932LEAD00000100000001101413CUS-19793727               HIS2N180MRYMXTICBMT
NAUT8003582499201411090934LEAD00000100000010805914CUS-1417214               HIS2N180MRYMXTICBMT
NAUT8003582499201411090934LEAD00000100000075020903CUS-19793735               HIS2N180MRYMXTICBMT
NAUT8003582499201411090934LEAD00000100000078833830CUS-19793739               HIS2N180MRYMXTICBMT
NAUT8003582499201411090935LEAD00000100000017011717CUS-19793726               HIS2N180MRYMXTICBMT
NAUT8003582499201411091057LEAD00000100000001337413CUS-19793975               HIS2N180MRYMXTICBMT
NAUT8003582499201411091058LEAD00000100000008088609CUS-19793976               HIS2N180MRYMXTICBMT
NAUT8003582499201411091143LEAD00000100000088310575CUS-19794040               HIS2N180MRYMXTICBMT
NAUT8003582499201411091435LEAD00000100000017314717CUS-19794456               HIS2N180MRYMXTICBMT
NAUT8003667015201411091144LEAD00000100000032570850CUS-19794043               VEL*N180MRYMXTICBMT
NAUT8003667015201411091539LEAD00000100000093901831CUS-17853665               VEL*N180MRYMXTICBMT
NAUT8003667015201411091540LEAD00000100000033914239CUS-19794588               VEL*N180MRYMXTICBMT
NAUT8003667015201411091540LEAD00000100000092374909CUS-19794590               VEL*N180MRYMXTICBMT
NAUT8004272727201411091304LEAD00000100000032207904CUS-19794193               METVN120GRT2HTICTRC
