US Short Form Leads
NAUT8002433902201412041010LEAD00000100000008901848CUS-1017109               ARTLL60*MRYMXTICBMT
NAUT8002917847201412040701LEAD00000100000053402262CUS-19855307               ION*N120MRYMXTICBMT
NAUT8002917847201412041110LEAD00000100000002139617CUS-5209611               ION*N120MRYMXTICBMT
NAUT8002917847201412041110LEAD00000100000006854203CUS-19855926               ION*N120MRYMXTICBMT
NAUT8002917847201412041111LEAD00000100000002184781CUS-19855934               ION*N120MRYMXTICBMT
NAUT8002917847201412041111LEAD00000100000033426561CUS-19855927               ION*N120MRYMXTICBMT
NAUT8002917847201412041111LEAD00000100000053226414CUS-19855931               ION*N120MRYMXTICBMT
NAUT8002917847201412041112LEAD00000100000027312919CUS-19855933               ION*N120MRYMXTICBMT
NAUT8002917847201412041112LEAD00000100000055362320CUS-19855937               ION*N120MRYMXTICBMT
NAUT8002917847201412041141LEAD00000100000001473978CUS-19856019               ION*N120MRYMXTICBMT
NAUT8002917847201412041147LEAD00000100000033467305CUS-19856028               ION*N120MRYMXTICBMT
NAUT8002917847201412041147LEAD00000100000033467305CUS-19856028               ION*N120MRYMXTICTRC
NAUT8002917847201412041411LEAD00000100000089120702CUS-19856424               ION*N120MRYMXTICBMT
NAUT8002917847201412041411LEAD00000100000090045310CUS-19856427               ION*N120MRYMXTICBMT
NAUT8002917847201412041411LEAD00000100000097220CUS-19856426               ION*N120MRYMXTICBMT
NAUT8002917847201412041553LEAD00000100000090815562CUS-19856612               ION*N120MRYMXTICBMT
NAUT8002917847201412041627LEAD00000100000020722301CUS-19856718               ION*N120MRYMXTICBMT
NAUT8002917847201412041704LEAD00000100000010462718CUS-19856794               ION*N120MRYMXTICBMT
NAUT8002972680201412040636LEAD00000100000019078484CUS-19855264               ARTSN60*WLKMFTICTRC
NAUT8002972680201412040636LEAD00000100000075765903CUS-19855265               ARTSN60*WLKMFTICTRC
NAUT8002972680201412040638LEAD00000100000060076847CUS-19855266               ARTSN60*WLKMFTICTRC
NAUT8002972680201412040646LEAD00000100000012845518CUS-19855281               ARTSN60*WLKMFTICTRC
NAUT8002972680201412040702LEAD00000100000071763870CUS-19855310               ARTSN60*WLKMFTICTRC
NAUT8003518887201412040939LEAD00000100000089508775CUS-19855619               IFC*N120MRYMXTICBMT
NAUT8003518887201412041015LEAD00000100000093306661CUS-19855704               IFC*N120MRYMXTICBMT
NAUT8003540108201412041222LEAD00000100000084041801CUS-19856140               TNT*N60*WLKMFTICTRC
NAUT8003667015201412041142LEAD00000100000019362610CUS-19856021               VEL*N180MRYMXTICBMT
NAUT8003667015201412041144LEAD00000100000046203317CUS-19856026               VEL*N180MRYMXTICBMT
NAUT8003667015201412041241LEAD00000100000060513708CUS-19856192               VEL*N180MRYMXTICBMT
NAUT8003667015201412041522LEAD00000100000032431850CUS-19856573               VEL*N180MRYMXTICBMT
NAUT8003667015201412041522LEAD00000100000033024954CUS-6131857               VEL*N180MRYMXTICBMT
NAUT8003667015201412041522LEAD00000100000077586713CUS-12923799               VEL*N180MRYMXTICBMT
NAUT8003667015201412041523LEAD00000100000041101606CUS-19856574               VEL*N180MRYMXTICBMT
NAUT8003667015201412041527LEAD00000100000081521970CUS-19856580               VEL*N180MRYMXTICBMT
NAUT8003976219201412041118LEAD00000100000048131734CUS-19855948               CORTN60*MRYMXTICBMT
NAUT8003976219201412041121LEAD00000100000052732563CUS-19855959               CORTN60*MRYMXTICBMT
NAUT8004366634201412040604LEAD00000100000032225904CUS-19855228               IONLN180WLKMFTICTRC
