US Short Form Leads
NAUT8002481408201510111435LEAD00000100000034684727CUS-20417414               ION*N120WMNS*TICTRC
NAUT8002542818201510111204LEAD00000100000010916845CUS-20417269               INSPN120ALOBYTICTRC
NAUT8002542818201510111204LEAD00000100000063740573CUS-20417271               INSPN120ALOBYTICTRC
NAUT8002542818201510111205LEAD00000100000034113239CUS-20417273               INSPN120ALOBYTICTRC
NAUT8002542818201510111218LEAD00000100000017316717CUS-20417292               INSPN120ALOBYTICTRC
NAUT8002591694201510110930LEAD00000100000060636773CUS-20417070               METVN120ALOBYTICTRC
NAUT8002591694201510110931LEAD00000100000061270815CUS-20417072               METVN120ALOBYTICTRC
NAUT8002591694201510110933LEAD00000100000073044405CUS-20417074               METVN120ALOBYTICTRC
NAUT8002591694201510110933LEAD00000100000077868979CUS-7154395               METVN120ALOBYTICTRC
NAUT8002591694201510110940LEAD00000100000068930308CUS-20417071               METVN120ALOBYTICTRC
NAUT8002949672201510111039LEAD00000100000048416810CUS-20417160               DTVSN60*HAMF*TICBMT
NAUT8002949672201510111100LEAD00000100000067337620CUS-20417182               DTVSN60*HAMF*TICBMT
NAUT8002949672201510111149LEAD00000100000092394951CUS-20417242               DTVSN60*HAMF*TICBMT
NAUT8002949672201510111207LEAD00000100000092672949CUS-20417276               DTVSN60*HAMF*TICBMT
NAUT8002949672201510112138LEAD00000100000028318910CUS-20417860               DTVSN60*HAMF*TICBMT
NAUT8003419994201510110643LEAD00000100000019121215CUS-19705775               CZNYN120ALOBYTICBMT
NAUT8003419994201510111734LEAD00000100000046254317CUS-20417636               CZNYN120ALOBYTICTRC
NAUT8003419994201510111735LEAD00000100000006231CUS-20417638               CZNYN120ALOBYTICTRC
NAUT8003419994201510111736LEAD00000100000098626360CUS-20417640               CZNYN120ALOBYTICTRC
NAUT8004262803201510110925LEAD00000100000007111973CUS-680771               SUNDN180HAMF*TICBMT
NAUT8004262803201510111135LEAD00000100000094708510CUS-20417231               SUNDN180HAMF*TICBMT
NAUT8004366760201510111601LEAD00000100000022407540CUS-20417505               ION*N120KMV**TICTRC
NAUT8004366760201510111601LEAD00000100000065721CUS-20417504               ION*N120KMV**TICTRC
NAUT8004366760201510111603LEAD00000100000002135857CUS-20417511               ION*N120KMV**TICTRC
NAUT8004367530201510111545LEAD00000100000095823916CUS-20417483               JUSTN120HAMBYTICBMT
NAUT8006148513201510110703LEAD00000100000019020267CUS-20416913               FOXNN120KMV**TICTRC
NAUT8006148513201510120038LEAD00000100000098953509CUS-20417920               FOXNN120KMV**TICTRC
NAUT8006586984201510111020LEAD00000100000095391707CUS-20417136               DTVLN60*WALKATICTRC
NAUT8006586984201510111022LEAD00000100000029860803CUS-20417140               DTVLN60*WALKATICTRC
NAUT8006586984201510111023LEAD00000100000033065954CUS-20417143               DTVLN60*WALKATICTRC
NAUT8006586984201510111026LEAD00000100000060651312CUS-20417144               DTVLN60*WALKATICTRC
NAUT8007179060201510111503LEAD00000100000078411361CUS-20417442               CZNYN120KMV**TICTRC
NAUT8007632060201510110928LEAD00000100000032712407CUS-20417067               HMM*N120ALOBYTICTRC
NAUT8007632060201510111305LEAD00000100000089509775CUS-20417336               HMM*N120ALOBYTICTRC
NAUT8007632060201510111847LEAD00000100000043206614CUS-9712980               HMM*N120ALOBYTICTRC
NAUT8007632060201510111850LEAD00000100000066223913CUS-20417713               HMM*N120ALOBYTICTRC
NAUT8007632060201510111851LEAD00000100000044128440CUS-20417716               HMM*N120ALOBYTICTRC
NAUT8007632060201510111852LEAD00000100000018510570CUS-20417717               HMM*N120ALOBYTICTRC
NAUT8007632060201510111939LEAD00000100000095207209CUS-3152491               HMM*N120ALOBYTICTRC
NAUT8007632060201510112338LEAD00000100000031032478CUS-20417905               HMM*N120ALOBYTICTRC
NAUT8007632060201510112339LEAD00000100000095206209CUS-20417906               HMM*N120ALOBYTICTRC
NAUT8007681045201510110752LEAD00000100000017038717CUS-20416954               HMM*N120KMV**TICTRC
NAUT8007681045201510110752LEAD00000100000031406912CUS-20416951               HMM*N120KMV**TICTRC
NAUT8007681045201510110753LEAD00000100000029303864CUS-20416956               HMM*N120KMV**TICTRC
NAUT8007681045201510110801LEAD00000100000072732479CUS-20416971               HMM*N120KMV**TICTRC
NAUT8007681045201510110831LEAD00000100000017104717CUS-20417003               HMM*N120KMV**TICTRC
NAUT8007719250201510111054LEAD00000100000094541510CUS-20417173               CMT*N120TCMOMTICTRC
NAUT8008204560201510110237LEAD00000100000092263760CUS-20416829               FOXNN120ALOBYTICTRC
NAUT8009213024201510110542LEAD00000100000007304201CUS-20416874               M616P60*NOTSTTICBMT
NAUT8009257794201510111535LEAD00000100000029642864CUS-20417475               METVN120KMV**TICTRC
NAUT8009257794201510111535LEAD00000100000060102847CUS-20417476               METVN120KMV**TICTRC
NAUT8009257794201510111536LEAD00000100000047304765CUS-20417474               METVN120KMV**TICTRC
NAUT8009257794201510111539LEAD00000100000044035440CUS-20417482               METVN120KMV**TICTRC
NAUT8009257794201510111547LEAD00000100000008081856CUS-20388926               METVN120KMV**TICTRC
NAUT8009257794201510111836LEAD00000100000093094805CUS-20417701               METVN120KMV**TICTRC
NAUT8009260864201510110638LEAD00000100000066109816CUS-20416902               IONLN180ALOHATICTRC
NAUT8009260864201510110755LEAD00000100000039206769CUS-20416960               IONLN180ALOHATICTRC
