US Short Form Leads
NAUT8002035443201508281138LEAD00000100000070403985CUS-20365706               BRNGN120TCMOMTICTRC
NAUT8002405261201508280007LEAD00000100000078216210CUS-20365173               FOX*NVODALOHATICTRC
NAUT8002479645201508280643LEAD00000100000030096770CUS-20164851               QUBON120TCMOMTICTRC
NAUT8002528750201508281234LEAD00000100000039354601CUS-19773342               OWN*N180HAMF*TICBMT
NAUT8002528750201508281235LEAD00000100000085143480CUS-20365794               OWN*N180HAMF*TICBMT
NAUT8002528750201508281236LEAD00000100000046219317CUS-20365791               OWN*N180HAMF*TICBMT
NAUT8002528750201508281236LEAD00000100000070737225CUS-20365796               OWN*N180HAMF*TICBMT
NAUT8002528750201508281240LEAD00000100000049230517CUS-20365802               OWN*N180HAMF*TICBMT
NAUT8002528750201508281323LEAD00000100000035405205CUS-8790689               OWN*N180HAMF*TICBMT
NAUT8002580343201508281037LEAD00000100000021750301CUS-20365623               UPTVN120ALOBYTICTRC
NAUT8002580343201508281038LEAD00000100000071307318CUS-20365627               UPTVN120ALOBYTICTRC
NAUT8002591694201508281321LEAD00000100000063106314CUS-20365868               METVN120ALOBYTICTRC
NAUT8002591694201508281322LEAD00000100000047135812CUS-20365872               METVN120ALOBYTICTRC
NAUT8002591694201508281324LEAD00000100000014769716CUS-20365875               METVN120ALOBYTICTRC
NAUT8002591694201508281325LEAD00000100000039443601CUS-20365876               METVN120ALOBYTICTRC
NAUT8002591694201508281524LEAD00000100000085260480CUS-20366051               METVN120ALOBYTICTRC
NAUT8002591694201508281622LEAD00000100000091344818CUS-20366115               METVN120ALOBYTICTRC
NAUT8002594151201508281631LEAD00000100000086401805CUS-20366126               UPTVN120WMNS*TICTRC
NAUT8002594151201508281922LEAD00000100000067211316CUS-20366258               UPTVN120WMNS*TICTRC
NAUT8002988412201508281944LEAD00000100000020707301CUS-20366277               ZLIVN120WMNS*TICTRC
NAUT8003302710201508280821LEAD00000100000039531228CUS-20365427               BRNGN120TCDADTICTRC
NAUT8003302710201508280855LEAD00000100000075216469CUS-20365471               BRNGN120TCDADTICTRC
NAUT8003419994201508281142LEAD00000100000091104626CUS-20365713               CZNYN120ALOBYTICTRC
NAUT8003701032201508281227LEAD00000100000008753732CUS-20365777               DCADN120ALOBYTICTRC
NAUT8003701032201508281228LEAD00000100000094103415CUS-20365778               DCADN120ALOBYTICTRC
NAUT8003701032201508281229LEAD00000100000011207718CUS-20365783               DCADN120ALOBYTICTRC
NAUT8003701032201508281230LEAD00000100000090806562CUS-20365785               DCADN120ALOBYTICTRC
NAUT8003923197201508281618LEAD00000100000032828407CUS-20366113               CMFXL60*HAMF*TICBMT
NAUT8004262803201508281143LEAD00000100000078247210CUS-20365716               SUNDN180HAMF*TICBMT
NAUT8004365669201508281611LEAD00000100000070757225CUS-20366107               WNATN120HAMBYTICBMT
NAUT8004367530201508282142LEAD00000100000077521281CUS-3534414               JUSTN120HAMBYTICBMT
NAUT8004367530201508282205LEAD00000100000027258336CUS-20366382               JUSTN120HAMBYTICBMT
NAUT8004698619201508282351LEAD00000100000014489315CUS-20366414               NT06P60*ALOHATICTRC
NAUT8004698708201508280938LEAD00000100000055987507CUS-20365539               NT07P60*ALOHATICTRC
NAUT8004724034201508280544LEAD00000100000031206478CUS-20365264               NT09P60*ALOHATICTRC
NAUT8004724034201508282349LEAD00000100000061021815CUS-20366411               NT09P60*ALOHATICTRC
NAUT8005276842201508280001LEAD00000100000090290310CUS-20365170               HMM*N5MINFIVE*TICTRC
NAUT8005276842201508280004LEAD00000100000030680678CUS-20365172               HMM*N5MINFIVE*TICTRC
NAUT8005276842201508280036LEAD00000100000092345760CUS-20365177               HMM*N5MINFIVE*TICTRC
NAUT8005276842201508280810LEAD00000100000027530919CUS-9152484               HMM*N5MINFIVE*TICTRC
NAUT8005383381201508281948LEAD00000100000095953530CUS-20366282               INSPN120WMNS*TICTRC
NAUT8005383381201508282000LEAD00000100000067846620CUS-20366294               INSPN120WMNS*TICTRC
NAUT8006148755201508281450LEAD00000100000023692757CUS-20365996               HGTVL60*ALOHATICTRC
NAUT8006325419201508280725LEAD00000100000074114918CUS-20365346               SPKEN120ALOBYTICTRC
NAUT8006325419201508280726LEAD00000100000010550914CUS-20365348               SPKEN120ALOBYTICTRC
NAUT8006325419201508280726LEAD00000100000010589914CUS-20365350               SPKEN120ALOBYTICTRC
