US Short Form Leads
NAUT8002035443201509040839LEAD00000100000023875804CUS-20374531               BRNGN120TCMOMTICTRC
NAUT8002175036201509040756LEAD00000100000033990239CUS-20374493               FYI*N180HAMF*TICBMT
NAUT8002479645201509041318LEAD00000100000090650562CUS-20374923               QUBON120TCMOMTICTRC
NAUT8002528750201509041138LEAD00000100000028205704CUS-20374819               OWN*N180HAMF*TICBMT
NAUT8002528750201509041138LEAD00000100000039150601CUS-20374816               OWN*N180HAMF*TICBMT
NAUT8002528750201509041139LEAD00000100000036116334CUS-20374821               OWN*N180HAMF*TICBMT
NAUT8002528750201509041140LEAD00000100000073055580CUS-20374823               OWN*N180HAMF*TICBMT
NAUT8002528750201509041140LEAD00000100000080222303CUS-20374826               OWN*N180HAMF*TICBMT
NAUT8002528750201509041143LEAD00000100000007055973CUS-20374827               OWN*N180HAMF*TICBMT
NAUT8002528750201509041230LEAD00000100000011420347CUS-8499102               OWN*N180HAMF*TICBMT
NAUT8002542818201509040700LEAD00000100000028204704CUS-20374431               INSPN120ALOBYTICTRC
NAUT8002580343201509041448LEAD00000100000078660512CUS-20375021               UPTVN120ALOBYTICTRC
NAUT8002591694201509040712LEAD00000100000048866989CUS-20374447               METVN120ALOBYTICTRC
NAUT8002594151201509040943LEAD00000100000019121267CUS-20374610               UPTVN120WMNS*TICTRC
NAUT8002961913201509041509LEAD00000100000030417912CUS-20375043               UPTVN120JNYNYTICTRC
NAUT8003010502201509041355LEAD00000100000094025650CUS-20374963               FOX*NVODHAMF*TICBMT
NAUT8003701032201509041438LEAD00000100000019150215CUS-5698984               DCADN120ALOBYTICTRC
NAUT8003701032201509050137LEAD00000100000076116806CUS-20375472               DCADN120ALOBYTICTRC
NAUT8003759526201509040943LEAD00000100000043451419CUS-20374611               SPKEN120WMNS*TICTRC
NAUT8003759526201509040944LEAD00000100000078840830CUS-20374613               SPKEN120WMNS*TICTRC
NAUT8003759526201509040947LEAD00000100000078753512CUS-20374619               SPKEN120WMNS*TICTRC
NAUT8003773625201509041328LEAD00000100000076476307CUS-20374934               METVN120WMNS*TICTRC
NAUT8003773625201509041510LEAD00000100000037322423CUS-20375044               METVN120WMNS*TICTRC
NAUT8003773625201509041658LEAD00000100000012972518CUS-20375150               METVN120WMNS*TICTRC
NAUT8003779071201509041120LEAD00000100000006515203CUS-20374791               OWN*N5MNFIVE*TICTRC
NAUT8003920524201509041212LEAD00000100000058316701CUS-20374867               CMCYL60*HAMF*TICBMT
NAUT8004163787201509042137LEAD00000100000011433516CUS-19145699               CMSYL60*HAMF*TICBMT
NAUT8004200250201509041123LEAD00000100000044109216CUS-20374795               LAFFN120HAMBYTICBMT
NAUT8004262113201509041209LEAD00000100000085015307CUS-20374863               DCADN120WMNS*TICTRC
NAUT8004262803201509040652LEAD00000100000019151267CUS-20374422               SUNDN180HAMF*TICBMT
NAUT8004262803201509040735LEAD00000100000038873662CUS-20374470               SUNDN180HAMF*TICBMT
NAUT8004262803201509040735LEAD00000100000044120216CUS-1801153               SUNDN180HAMF*TICBMT
NAUT8004262803201509041037LEAD00000100000067401785CUS-10814298               SUNDN180HAMF*TICBMT
NAUT8004367530201509041053LEAD00000100000093612559CUS-5307359               JUSTN120HAMBYTICBMT
NAUT8004367530201509041525LEAD00000100000085307623CUS-20375070               JUSTN120HAMBYTICBMT
NAUT8005276842201509041730LEAD00000100000087937575CUS-20375190               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509041910LEAD00000100000028704828CUS-20375261               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509041910LEAD00000100000099654907CUS-20375260               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509041911LEAD00000100000087114505CUS-20375262               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509041919LEAD00000100000031523912CUS-20375273               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509042036LEAD00000100000036108334CUS-20375355               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509042036LEAD00000100000059105406CUS-20375354               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509042037LEAD00000100000033437561CUS-20375358               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509042336LEAD00000100000060827312CUS-20375453               HMM*N5MINFIVE*TICTRC
NAUT8005383381201509041644LEAD00000100000092544951CUS-20375122               INSPN120WMNS*TICTRC
NAUT8005383381201509041645LEAD00000100000063077817CUS-20375123               INSPN120WMNS*TICTRC
NAUT8005383381201509041646LEAD00000100000001501774CUS-20375125               INSPN120WMNS*TICTRC
NAUT8005383381201509041646LEAD00000100000024502434CUS-20375124               INSPN120WMNS*TICTRC
NAUT8005489735201509040635LEAD00000100000008757732CUS-20374399               RS**L120HAMBYTICBMT
NAUT8005489735201509040847LEAD00000100000018240609CUS-10226326               RS**L120HAMBYTICBMT
NAUT8005489735201509041102LEAD00000100000001906617CUS-20374764               RS**L120HAMBYTICBMT
NAUT8006325419201509040624LEAD00000100000038637901CUS-20374384               SPKEN120ALOBYTICTRC
NAUT8006325419201509040923LEAD00000100000080918719CUS-20374577               SPKEN120ALOBYTICTRC
NAUT8006325419201509040925LEAD00000100000019146267CUS-20374581               SPKEN120ALOBYTICTRC
NAUT8006325419201509041223LEAD00000100000091745323CUS-20374878               SPKEN120ALOBYTICTRC
NAUT8006325419201509041223LEAD00000100000092202213CUS-20374882               SPKEN120ALOBYTICTRC
NAUT8006491651201509040714LEAD00000100000006708203CUS-20374452               SUNDN120HAMBYTICBMT
NAUT8006493521201509041552LEAD00000100000035405205CUS-20375089               H2**N180HAMF*TICBMT
NAUT8006508911201509040722LEAD00000100000074868405CUS-20374456               SPKEN120HAMBYTICBMT
NAUT8006508911201509040723LEAD00000100000075115214CUS-20374459               SPKEN120HAMBYTICBMT
NAUT8006508911201509040728LEAD00000100000080909719CUS-20374462               SPKEN120HAMBYTICBMT
NAUT8006508911201509040729LEAD00000100000040380606CUS-20374458               SPKEN120HAMBYTICBMT
NAUT8006508911201509040803LEAD00000100000091411818CUS-20374498               SPKEN120HAMBYTICBMT
NAUT8006508911201509041014LEAD00000100000036767917CUS-20045034               SPKEN120HAMBYTICBMT
NAUT8006508911201509041016LEAD00000100000078550956CUS-20374677               SPKEN120HAMBYTICBMT
NAUT8006508911201509041118LEAD00000100000044112216CUS-20374785               SPKEN120HAMBYTICBMT
NAUT8006508911201509041119LEAD00000100000048917517CUS-20374788               SPKEN120HAMBYTICBMT
NAUT8006508911201509041119LEAD00000100000075169214CUS-12619172               SPKEN120HAMBYTICBMT
NAUT8006508911201509041120LEAD00000100000046324219CUS-20374792               SPKEN120HAMBYTICBMT
NAUT8006508911201509041121LEAD00000100000028540910CUS-20374790               SPKEN120HAMBYTICBMT
NAUT8006508911201509041121LEAD00000100000044310234CUS-20374789               SPKEN120HAMBYTICBMT
NAUT8006508911201509041127LEAD00000100000087105505CUS-20374802               SPKEN120HAMBYTICBMT
NAUT8006508911201509041141LEAD00000100000008232609CUS-6684860               SPKEN120HAMBYTICBMT
NAUT8006508911201509041141LEAD00000100000032309850CUS-13243527               SPKEN120HAMBYTICBMT
NAUT8006508911201509041141LEAD00000100000036854706CUS-4173127               SPKEN120HAMBYTICBMT
NAUT8006508911201509041143LEAD00000100000032225912CUS-20374831               SPKEN120HAMBYTICBMT
NAUT8006508911201509041144LEAD00000100000010901845CUS-20374836               SPKEN120HAMBYTICBMT
NAUT8006508911201509041144LEAD00000100000056301320CUS-20374834               SPKEN120HAMBYTICBMT
NAUT8006508911201509041148LEAD00000100000045742740CUS-20374835               SPKEN120HAMBYTICBMT
NAUT8006508911201509041202LEAD00000100000010562347CUS-5820317               SPKEN120HAMBYTICBMT
NAUT8006508911201509041314LEAD00000100000090605562CUS-20374920               SPKEN120HAMBYTICBMT
NAUT8006508911201509041422LEAD00000100000094803510CUS-20374990               SPKEN120HAMBYTICBMT
NAUT8006508911201509041728LEAD00000100000089406775CUS-20375184               SPKEN120HAMBYTICBMT
NAUT8006514043201509041757LEAD00000100000049057269CUS-20375206               DISEN60*WALKATICTRC
NAUT8007075269201509041449LEAD00000100000079316806CUS-20375023               DISMN60*HAMF*TICBMT
NAUT8007171553201509040855LEAD00000100000079424806CUS-20374547               IFC*N120HAMBYTICBMT
NAUT8007171553201509041006LEAD00000100000015469724CUS-20374650               IFC*N120HAMBYTICBMT
NAUT8007609690201509041026LEAD00000100000023237804CUS-20374692               GAMEN120ALOBYTICTRC
NAUT8007609690201509041759LEAD00000100000006762212CUS-20375208               GAMEN120ALOBYTICTRC
NAUT8008204560201509040737LEAD00000100000075847936CUS-20374476               FOXNN120ALOBYTICTRC
NAUT8008731614201509040912LEAD00000100000090605562CUS-20374566               VEL*N180HAMF*TICBMT
NAUT8008731614201509040957LEAD00000100000060181630CUS-10862440               VEL*N180HAMF*TICBMT
NAUT8008731614201509040959LEAD00000100000097838541CUS-20374636               VEL*N180HAMF*TICBMT
NAUT8008731614201509041035LEAD00000100000060432773CUS-20374714               VEL*N180HAMF*TICBMT
NAUT8008731614201509041035LEAD00000100000090670562CUS-20374712               VEL*N180HAMF*TICBMT
NAUT8008731614201509041036LEAD00000100000035613256CUS-20374716               VEL*N180HAMF*TICBMT
NAUT8008731614201509041046LEAD00000100000005051802CUS-1456650               VEL*N180HAMF*TICBMT
NAUT8009211618201509040539LEAD00000100000010463718CUS-20374353               M610P60*NOTSTTICBMT
NAUT8009213028201509040937LEAD00000100000093313661CUS-20374602               M617P60*NOTSTTICBMT
NAUT8009213028201509041125LEAD00000100000047302765CUS-20374797               M617P60*NOTSTTICBMT
NAUT8009213028201509041129LEAD00000100000047303765CUS-20374806               M617P60*NOTSTTICBMT
NAUT8009315139201509040540LEAD00000100000048340248CUS-20374354               HGTVN5MINFIVE*TICTRC
NAUT8009315139201509040636LEAD00000100000039063662CUS-20374402               HGTVN5MINFIVE*TICTRC
NAUT8009315139201509040637LEAD00000100000007424972CUS-20374404               HGTVN5MINFIVE*TICTRC
NAUT8009315139201509041308LEAD00000100000066609785CUS-20374915               HGTVN5MINFIVE*TICTRC
NAUT8009526846201509040823LEAD00000100000095823916CUS-20374512               DWOMN60*WALKATICTRC
NAUT8009526846201509041408LEAD00000100000077086832CUS-20374972               DWOMN60*WALKATICTRC
NAUT8009526851201509040846LEAD00000100000007108973CUS-20374537               PIVTN180HAMF*TICBMT
NAUT8009526851201509050036LEAD00000100000099669907CUS-20375463               PIVTN180HAMF*TICBMT
NAUT8009531983201509041718LEAD00000100000019701347CUS-20375178               RELZ*N120HAMBYTICBMT
NAUT8009531983201509041719LEAD00000100000033813863CUS-20375179               RELZ*N120HAMBYTICBMT
NAUT8009532173201509041202LEAD00000100000036526203CUS-20374854               CMESL60*HAMF*TICBMT
NAUT8009532173201509041210LEAD00000100000073103405CUS-20374865               CMESL60*HAMF*TICBMT
NAUT8009532173201509041213LEAD00000100000073135405CUS-20374869               CMESL60*HAMF*TICBMT
NAUT8009579671201509040833LEAD00000100000008045856CUS-4797489               VEL*N120HAMBYTICBMT
NAUT8009579671201509040833LEAD00000100000024112276CUS-20374523               VEL*N120HAMBYTICBMT
NAUT8009579671201509040834LEAD00000100000048116810CUS-20374524               VEL*N120HAMBYTICBMT
NAUT8009579671201509050039LEAD00000100000095060831CUS-20375464               VEL*N120HAMBYTICBMT
