CA Electronic Short Form Leads
NAUT8006149233201509231326ELED000001000000V1J 4250CUS-20399806               SAWICASTSF12BTRC
NAUT8006516382201509230622ELED000001000000B3K 3902CUS-20399298               ICASESF14ABMT
NAUT8006516382201509231204ELED000001000000H9W 6514CUS-20399733               ICASESF14ABMT
NAUT8007781519201509230512ELED000001000000A0B 1709CUS-20399281               ICASTSF15BTRC
NAUT8007781519201509230622ELED000001000000N6E 2519CUS-20399299               ICASTSF15BTRC
NAUT8007781519201509230716ELED000001000000T3H 5403CUS-20399352               ICASTSF15BTRC
NAUT8007781519201509230847ELED000001000000S0K 2306CUS-20399481               ICASTSF15BTRC
NAUT8007781519201509230848ELED000001000000L1N 6905CUS-20399485               ICASTSF15BTRC
NAUT8007781519201509230954ELED000001000000E3G 9506CUS-20399587               ICASTSF15BTRC
NAUT8007781519201509231003ELED000001000000S6H 1306CUS-20399599               ICASTSF15BTRC
NAUT8007781519201509231027ELED000001000000T1A 5403CUS-20399633               ICASTSF15BTRC
NAUT8007781519201509231047ELED000001000000R0K 1204CUS-20399662               ICASTSF15BTRC
NAUT8007781519201509231057ELED000001000000T2J 5403CUS-20399677               ICASTSF15BTRC
NAUT8007781519201509231059ELED000001000000T2A 1403CUS-20399679               ICASTSF15BTRC
NAUT8007781519201509231452ELED000001000000V2A 1259CUS-20399883               ICASTSF15BTRC
NAUT8007781519201509231454ELED000001000000S0K 0306CUS-20399885               ICASTSF15BTRC
NAUT8007781519201509231533ELED000001000000T1P 1403CUS-20399915               ICASTSF15BTRC
NAUT8007781519201509231708ELED000001000000V2J 6250CUS-20399993               ICASTSF15BTRC
NAUT8007781519201509231829ELED000001000000H4V 2514CUS-20400069               ICASTSF15BTRC
NAUT8007781519201509231938ELED000001000000T2V 4403CUS-20400135               ICASTSF15BTRC
NAUT8007781519201509231939ELED000001000000K7M 6613CUS-20400137               ICASTSF15BTRC
NAUT8007781519201509231939ELED000001000000L6Y 0647CUS-20400136               ICASTSF15BTRC
NAUT8007781519201509232137ELED000001000000T7S 1780CUS-20400210               ICASTSF15BTRC
NAUT8008521307201509230712ELED000001000000T1K 6587CUS-20399349               ICASESF14BBMT
NAUT8008521307201509230728ELED000001000000T2Y 4403CUS-20399367               ICASESF14BBMT
NAUT8008521307201509230837ELED000001000000S0K 2306CUS-20399468               ICASESF14BBMT
NAUT8008521307201509231107ELED000001000000K4A 1613CUS-20399685               ICASESF14BBMT
NAUT8008521307201509231543ELED000001000000V8G 2778CUS-20399922               ICASESF14BBMT
NAUT8008521307201509231837ELED000001000000V9B 5250CUS-20400073               ICASESF14BBMT
NAUT8008521307201509231937ELED000001000000V2S 2604CUS-20400134               ICASESF14BBMT
NAUT8008521307201509232038ELED000001000000K7M 8613CUS-20400178               ICASESF14BBMT
NAUT8008521307201509232054ELED000001000000R3N 1204CUS-20400184               ICASESF14BBMT
NAUT8008521307201509232112ELED000001000000V1E 2250CUS-20400198               ICASESF14BBMT
NAUT8008717837201509231118ELED000001000000E3A 0506CUS-20399695               ICASESF14CBMT
