CA Electronic Short Form Leads
NAUT8006149233201510221513ELED000001000000V2V 2604CUS-20428609               icastsf12bTRC
NAUT8006516382201510220841ELED000001000000R3R 2204CUS-20428179               ICASESF14ABMT
NAUT8006516382201510220845ELED000001000000V0A 1250CUS-20428183               ICASESF14ABMT
NAUT8006516382201510220850ELED000001000000N0R 1519CUS-20428189               ICASESF14ABMT
NAUT8006516382201510220924ELED000001000000K0K 1289CUS-20428233               ICASESF14ABMT
NAUT8006516382201510220937ELED000001000000T8W 0780CUS-20428250               ICASESF14ABMT
NAUT8006516382201510220946ELED000001000000K0C 1613CUS-20428265               ICASESF14ABMT
NAUT8006516382201510220953ELED000001000000M4N 1647CUS-20428277               ICASESF14ABMT
NAUT8006516382201510221645ELED000001000000L0R 1905CUS-19950091               ICASESF14ABMT
NAUT8007781519201510220613ELED000001000000L0L 1705CUS-20428055               ICASTSF15BTRC
NAUT8007781519201510220727ELED000001000000N0A 1226CUS-20428121               ICASTSF15BTRC
NAUT8007781519201510221251ELED000001000000V0B 1250CUS-20428472               ICASTSF15BTRC
NAUT8007781519201510221324ELED000001000000K2C 1613CUS-20428503               ICASTSF15BTRC
NAUT8007781519201510221759ELED000001000000N7W 1519CUS-20428748               ICASTSF15BTRC
NAUT8007781519201510221803ELED000001000000L7G 6416CUS-20428751               ICASTSF15BTRC
NAUT8007781519201510222017ELED000001000000L7S 2905CUS-20428844               ICASTSF15BTRC
NAUT8007781519201510222022ELED000001000000V8M 2250CUS-20428849               ICASTSF15BTRC
NAUT8007781519201510222025ELED000001000000L0J 1905CUS-20428852               ICASTSF15BTRC
NAUT8007781519201510222031ELED000001000000T0B 2780CUS-20428856               ICASTSF15BTRC
NAUT8007781519201510222054ELED000001000000L0K 2705CUS-20428875               ICASTSF15BTRC
NAUT8007781519201510222058ELED000001000000V3H 5604CUS-20428878               ICASTSF15BTRC
NAUT8007781519201510222109ELED000001000000V7E 1604CUS-20428890               ICASTSF15BTRC
NAUT8007781519201510222219ELED000001000000T5W 4780CUS-20428940               ICASTSF15BTRC
NAUT8007781519201510222256ELED000001000000T0C 0780CUS-20428961               ICASTSF15BTRC
NAUT8008521307201510220030ELED000001000000V0E 2780CUS-20427989               ICASESF14BBMT
NAUT8008521307201510220645ELED000001000000L7P 4905CUS-20428075               ICASESF14BBMT
NAUT8008521307201510220659ELED000001000000S7K 2306CUS-20428092               ICASESF14BBMT
NAUT8008521307201510221527ELED000001000000T0K 0403CUS-20428625               ICASESF14BBMT
NAUT8008521307201510221707ELED000001000000L9M 1705CUS-20428699               ICASESF14BBMT
NAUT8008521307201510221742ELED000001000000S0C 0306CUS-20428730               ICASESF14BBMT
NAUT8008521307201510221746ELED000001000000K0K 2613CUS-20428734               ICASESF14BBMT
NAUT8008521307201510221923ELED000001000000G3E 1418CUS-20428805               ICASESF14BBMT
NAUT8008521307201510222021ELED000001000000T5T 4780CUS-20428848               ICASESF14BBMT
NAUT8008521307201510222040ELED000001000000L9S 0705CUS-20428861               ICASESF14BBMT
NAUT8008521307201510222054ELED000001000000J0M 1819CUS-20428874               ICASESF14BBMT
NAUT8008521307201510222128ELED000001000000X1A 3867CUS-20428907               ICASESF14BBMT
NAUT8008521307201510222133ELED000001000000T0K 1403CUS-20428912               ICASESF14BBMT
NAUT8008521307201510222228ELED000001000000V4M 2778CUS-20428945               ICASESF14BBMT
