CA Electronic Short Form Leads
NAUT8006149233201510210941ELED000001000000R0B 1204CUS-20427283               icastsf12bTRC
NAUT8006516382201510210858ELED000001000000S4S 6306CUS-20427228               ICASESF14ABMT
NAUT8006516382201510210923ELED000001000000S6J 0306CUS-20427263               ICASESF14ABMT
NAUT8006516382201510211039ELED000001000000T2V 1403CUS-20427345               ICASESF14ABMT
NAUT8006516382201510211121ELED000001000000V0J 2250CUS-20427396               ICASESF14ABMT
NAUT8006516382201510211140ELED000001000000V0J 2CUS-20427418               ICASESF14ABMT
NAUT8006516382201510211154ELED000001000000M4W 3416CUS-20427430               ICASESF14ABMT
NAUT8006516382201510211508ELED000001000000T8N 3780CUS-20427604               ICASESF14ABMT
NAUT8006516382201510212059ELED000001000000T3J 2403CUS-20427893               ICASESF14ABMT
NAUT8007781519201510210615ELED000001000000M6P 3647CUS-20427083               ICASTSF15BTRC
NAUT8007781519201510210706ELED000001000000N1T 0519CUS-20427114               ICASTSF15BTRC
NAUT8007781519201510210736ELED000001000000B0M 1902CUS-20427133               ICASTSF15BTRC
NAUT8007781519201510210931ELED000001000000V2G 4250CUS-20427275               ICASTSF15BTRC
NAUT8007781519201510210942ELED000001000000N4K 2CUS-20427284               ICASTSF15BTRC
NAUT8007781519201510211153ELED000001000000C0A 1780CUS-20427428               ICASTSF15BTRC
NAUT8007781519201510211429ELED000001000000P0L 2705CUS-20427567               ICASTSF15BTRC
NAUT8007781519201510211546ELED000001000000L0M 1905CUS-20427643               ICASTSF15BTRC
NAUT8007781519201510211635ELED000001000000L6R 1647CUS-20427694               ICASTSF15BTRC
NAUT8007781519201510211758ELED000001000000N5X 4519CUS-20427752               ICASTSF15BTRC
NAUT8007781519201510211803ELED000001000000N5P 2226CUS-20427755               ICASTSF15BTRC
NAUT8007781519201510211809ELED000001000000L9G 1289CUS-20427763               ICASTSF15BTRC
NAUT8007781519201510212045ELED000001000000K7C 3613CUS-20427879               ICASTSF15BTRC
NAUT8007781519201510212156ELED000001000000M3A 3647CUS-20427929               ICASTSF15BTRC
NAUT8008521307201510211013ELED000001000000V1H 2250CUS-20427320               ICASESF14BBMT
NAUT8008521307201510211029ELED000001000000V8A 4604CUS-20427337               ICASESF14BBMT
NAUT8008521307201510211139ELED000001000000T8X 0587CUS-20427417               ICASESF14BBMT
NAUT8008521307201510211710ELED000001000000L4R 4705CUS-20427715               ICASESF14BBMT
NAUT8008521307201510211745ELED000001000000R3K 0204CUS-20427741               ICASESF14BBMT
NAUT8008521307201510211749ELED000001000000E3C 1506CUS-20427747               ICASESF14BBMT
NAUT8008521307201510211753ELED000001000000G0S 2418CUS-20427749               ICASESF14BBMT
NAUT8008521307201510211805ELED000001000000V6M 1604CUS-20427757               ICASESF14BBMT
NAUT8008521307201510211911ELED000001000000T2W 3587CUS-20427814               ICASESF14BBMT
NAUT8008521307201510212115ELED000001000000T0J 1403CUS-20427902               ICASESF14BBMT
