CA Electronic Short Form Leads
NAUT8006516382201507130751ELED000001000000K0A 2613CUS-20295885               ICASESF14ABMT
NAUT8007781519201507130241ELED000001000000V0E 2250CUS-20295660               ICASTSF15BTRC
NAUT8007781519201507132059ELED000001000000L9M 1705CUS-20297297               ICASTSF15BTRC
NAUT8007781519201507132059ELED000001000000T0J 1403CUS-20297296               ICASTSF15BTRC
NAUT8007781519201507132100ELED000001000000K6V 2613CUS-20297300               ICASTSF15BTRC
NAUT8007781519201507132100ELED000001000000L8K 6905CUS-20297299               ICASTSF15BTRC
NAUT8007781519201507132101ELED000001000000K9V 4705CUS-20297302               ICASTSF15BTRC
NAUT8007781519201507132101ELED000001000000M3H 4416CUS-20297301               ICASTSF15BTRC
NAUT8007781519201507132102ELED000001000000K0A 2613CUS-20297304               ICASTSF15BTRC
NAUT8007781519201507132102ELED000001000000M4L 2416CUS-20297303               ICASTSF15BTRC
NAUT8007781519201507132102ELED000001000000N9E 3519CUS-20297305               ICASTSF15BTRC
NAUT8007781519201507132104ELED000001000000T0B 1403CUS-20297310               ICASTSF15BTRC
NAUT8007781519201507132104ELED000001000000T1H 1403CUS-20297308               ICASTSF15BTRC
NAUT8007781519201507132105ELED000001000000R0C 1204CUS-20297312               ICASTSF15BTRC
NAUT8007781519201507132106ELED000001000000M4P 2416CUS-20297313               ICASTSF15BTRC
NAUT8007781519201507132106ELED000001000000V5B 4604CUS-20297314               ICASTSF15BTRC
NAUT8007781519201507132107ELED000001000000L6X 5647CUS-20297317               ICASTSF15BTRC
NAUT8007781519201507132107ELED000001000000N2M 5519CUS-20297316               ICASTSF15BTRC
NAUT8007781519201507132108ELED000001000000N4G 0519CUS-20297321               ICASTSF15BTRC
NAUT8007781519201507132108ELED000001000000T6K 2780CUS-20297320               ICASTSF15BTRC
NAUT8007781519201507132109ELED000001000000J1L 2819CUS-20297322               ICASTSF15BTRC
NAUT8007781519201507132110ELED000001000000A0G 2709CUS-20297326               ICASTSF15BTRC
NAUT8007781519201507132110ELED000001000000P3Y 1705CUS-20297324               ICASTSF15BTRC
NAUT8007781519201507132111ELED000001000000A0C 2709CUS-20297327               ICASTSF15BTRC
NAUT8007781519201507132112ELED000001000000L4Y 3416CUS-20297328               ICASTSF15BTRC
NAUT8007781519201507132113ELED000001000000K1C 3613CUS-20297330               ICASTSF15BTRC
NAUT8007781519201507132113ELED000001000000M2L 2647CUS-20297329               ICASTSF15BTRC
NAUT8007781519201507132113ELED000001000000V0H 1403CUS-20297331               ICASTSF15BTRC
NAUT8007781519201507132115ELED000001000000A0L 1709CUS-20297334               ICASTSF15BTRC
NAUT8007781519201507132116ELED000001000000L3C 6905CUS-20297337               ICASTSF15BTRC
NAUT8007781519201507132116ELED000001000000L6S 1647CUS-20297336               ICASTSF15BTRC
NAUT8007781519201507132116ELED000001000000N1H 3519CUS-20297335               ICASTSF15BTRC
NAUT8007781519201507132117ELED000001000000M5V 3647CUS-20297338               ICASTSF15BTRC
NAUT8007781519201507132118ELED000001000000L5K 2905CUS-20297340               ICASTSF15BTRC
NAUT8007781519201507132118ELED000001000000N5Z 2226CUS-20297339               ICASTSF15BTRC
NAUT8007781519201507132119ELED000001000000K7K 2613CUS-20297342               ICASTSF15BTRC
NAUT8007781519201507132119ELED000001000000L8R 3289CUS-20297343               ICASTSF15BTRC
NAUT8007781519201507132119ELED000001000000V6G 1604CUS-20297341               ICASTSF15BTRC
NAUT8007781519201507132120ELED000001000000L4A 1416CUS-20297344               ICASTSF15BTRC
NAUT8007781519201507132120ELED000001000000N3W 2905CUS-20297345               ICASTSF15BTRC
NAUT8007781519201507132120ELED000001000000P0M 1705CUS-20297346               ICASTSF15BTRC
NAUT8007781519201507132121ELED000001000000L4K 4905CUS-20297347               ICASTSF15BTRC
NAUT8007781519201507132121ELED000001000000N0E 1519CUS-20297348               ICASTSF15BTRC
NAUT8007781519201507132122ELED000001000000A8A 2709CUS-20297349               ICASTSF15BTRC
NAUT8007781519201507132122ELED000001000000L0S 1416CUS-20297350               ICASTSF15BTRC
NAUT8007781519201507132124ELED000001000000N2E 3519CUS-20297352               ICASTSF15BTRC
NAUT8007781519201507132124ELED000001000000T1H 1403CUS-20297353               ICASTSF15BTRC
NAUT8007781519201507132125ELED000001000000N0P 1519CUS-20297354               ICASTSF15BTRC
NAUT8007781519201507132126ELED000001000000L2S 2905CUS-20297356               ICASTSF15BTRC
NAUT8007781519201507132126ELED000001000000M1T 3416CUS-20297357               ICASTSF15BTRC
NAUT8007781519201507132129ELED000001000000T5X 2780CUS-20297364               ICASTSF15BTRC
NAUT8007781519201507132129ELED000001000000V8Z 5250CUS-20297363               ICASTSF15BTRC
NAUT8007781519201507132130ELED000001000000T2Z 1403CUS-20297366               ICASTSF15BTRC
NAUT8007781519201507132131ELED000001000000V2B 2778CUS-20297367               ICASTSF15BTRC
NAUT8007781519201507132131ELED000001000000V2K 4250CUS-20297368               ICASTSF15BTRC
NAUT8007781519201507132131ELED000001000000V9Y 3CUS-20297369               ICASTSF15BTRC
NAUT8007781519201507132132ELED000001000000T3J 2403CUS-20297370               ICASTSF15BTRC
NAUT8007781519201507132133ELED000001000000L1X 2416CUS-20297372               ICASTSF15BTRC
NAUT8007781519201507132134ELED000001000000N9B 3519CUS-20297373               ICASTSF15BTRC
NAUT8007781519201507132134ELED000001000000T2Z 2587CUS-20297374               ICASTSF15BTRC
NAUT8007781519201507132136ELED000001000000L1J 5289CUS-20297378               ICASTSF15BTRC
NAUT8007781519201507132136ELED000001000000L4A 0647CUS-20297376               ICASTSF15BTRC
NAUT8007781519201507132136ELED000001000000T7X 2587CUS-20297377               ICASTSF15BTRC
NAUT8007781519201507132137ELED000001000000L4N 8705CUS-20297379               ICASTSF15BTRC
NAUT8007781519201507132137ELED000001000000T4B 2403CUS-20297380               ICASTSF15BTRC
NAUT8007781519201507132139ELED000001000000R3V 1204CUS-20297385               ICASTSF15BTRC
NAUT8007781519201507132140ELED000001000000T4A 1403CUS-20297387               ICASTSF15BTRC
NAUT8007781519201507132141ELED000001000000S6H 4306CUS-20297388               ICASTSF15BTRC
NAUT8007781519201507132141ELED000001000000V5L 5604CUS-20297389               ICASTSF15BTRC
NAUT8007781519201507132142ELED000001000000T1W 1403CUS-20297391               ICASTSF15BTRC
NAUT8007781519201507132142ELED000001000000V1J 1250CUS-20297392               ICASTSF15BTRC
NAUT8007781519201507132143ELED000001000000R0M 2204CUS-20297393               ICASTSF15BTRC
NAUT8007781519201507132144ELED000001000000P3L 1705CUS-20297395               ICASTSF15BTRC
NAUT8007781519201507132145ELED000001000000T0K 0403CUS-20297396               ICASTSF15BTRC
NAUT8007781519201507132146ELED000001000000T2B 3403CUS-20297398               ICASTSF15BTRC
NAUT8007781519201507132146ELED000001000000V1Z 1250CUS-20297399               ICASTSF15BTRC
NAUT8007781519201507132147ELED000001000000R2C 3204CUS-20297402               ICASTSF15BTRC
NAUT8007781519201507132147ELED000001000000T2W 4403CUS-20297400               ICASTSF15BTRC
NAUT8007781519201507132148ELED000001000000M1V 3416CUS-20297404               ICASTSF15BTRC
NAUT8007781519201507132148ELED000001000000T0B 0780CUS-20297403               ICASTSF15BTRC
NAUT8007781519201507132148ELED000001000000V0E 3250CUS-20297405               ICASTSF15BTRC
NAUT8007781519201507132149ELED000001000000X0E 0867CUS-20297406               ICASTSF15BTRC
NAUT8008521307201507131647ELED000001000000T8H 0780CUS-20296655               ICASESF14BBMT
NAUT8008521307201507131948ELED000001000000T5E 5780CUS-20297159               ICASESF14BBMT
NAUT8008521307201507131949ELED000001000000A1A 3709CUS-20297161               ICASESF14BBMT
NAUT8008521307201507131949ELED000001000000V1W 3250CUS-20297160               ICASESF14BBMT
NAUT8008521307201507131951ELED000001000000K0A 1613CUS-20297164               ICASESF14BBMT
NAUT8008521307201507131952ELED000001000000L9K 1905CUS-20297168               ICASESF14BBMT
NAUT8008521307201507131952ELED000001000000V2J 6250CUS-20297167               ICASESF14BBMT
NAUT8008521307201507131953ELED000001000000H4M 1514CUS-20297169               ICASESF14BBMT
NAUT8008521307201507131953ELED000001000000V9A 6250CUS-20297170               ICASESF14BBMT
NAUT8008521307201507131954ELED000001000000T3G 5403CUS-20297171               ICASESF14BBMT
NAUT8008521307201507131955ELED000001000000L6Y 0647CUS-20297173               ICASESF14BBMT
NAUT8008521307201507131955ELED000001000000T6V 1780CUS-20297172               ICASESF14BBMT
NAUT8008521307201507131958ELED000001000000N2E 3519CUS-20297179               ICASESF14BBMT
