CA Electronic Short Form Leads
NAUT8006149233201510161101ELED000001000000L4C 1647CUS-20422307               icastsf12bTRC
NAUT8006516382201510160833ELED000001000000J0X 2819CUS-20422141               ICASESF14ABMT
NAUT8006516382201510160904ELED000001000000N6C 3519CUS-20422179               ICASESF14ABMT
NAUT8006516382201510160923ELED000001000000P7A 4807CUS-20422209               ICASESF14ABMT
NAUT8007781519201510160522ELED000001000000B1N 3902CUS-20422032               ICASTSF15BTRC
NAUT8007781519201510161242ELED000001000000N0C 1519CUS-20422422               ICASTSF15BTRC
NAUT8007781519201510161245ELED000001000000L0L 1705CUS-20422426               ICASTSF15BTRC
NAUT8007781519201510161255ELED000001000000N0M 2519CUS-20422444               ICASTSF15BTRC
NAUT8007781519201510161357ELED000001000000N2K 4519CUS-20422500               ICASTSF15BTRC
NAUT8007781519201510161407ELED000001000000N0R 1519CUS-20422508               ICASTSF15BTRC
NAUT8007781519201510161504ELED000001000000L7M 0647CUS-20422559               ICASTSF15BTRC
NAUT8007781519201510161755ELED000001000000N0K 1519CUS-20422655               ICASTSF15BTRC
NAUT8007781519201510161809ELED000001000000K1N 5613CUS-20422666               ICASTSF15BTRC
NAUT8007781519201510161811ELED000001000000K0K 2613CUS-20422667               ICASTSF15BTRC
NAUT8007781519201510161818ELED000001000000T0C 1780CUS-20422671               ICASTSF15BTRC
NAUT8007781519201510161841ELED000001000000L9V 1519CUS-20422682               ICASTSF15BTRC
NAUT8007781519201510161931ELED000001000000X1A 2867CUS-20422709               ICASTSF15BTRC
NAUT8007781519201510162022ELED000001000000L9T 0905CUS-20422740               ICASTSF15BTRC
NAUT8008521307201510160603ELED000001000000A0E 2709CUS-20422042               ICASESF14BBMT
NAUT8008521307201510160938ELED000001000000J6A 6450CUS-20422220               ICASESF14BBMT
NAUT8008521307201510161112ELED000001000000R7B 1204CUS-20422318               ICASESF14BBMT
NAUT8008521307201510161256ELED000001000000L4A 0905CUS-20422445               ICASESF14BBMT
NAUT8008521307201510161302ELED000001000000L7T 1905CUS-20422453               ICASESF14BBMT
NAUT8008521307201510161453ELED000001000000T9H 5780CUS-20422547               ICASESF14BBMT
NAUT8008521307201510161734ELED000001000000V1Z 3250CUS-20422644               ICASESF14BBMT
NAUT8008521307201510162012ELED000001000000V1W 1250CUS-20422732               ICASESF14BBMT
NAUT8008521307201510162113ELED000001000000X0B 1867CUS-20422762               ICASESF14BBMT
NAUT8008521307201510162317ELED000001000000K1T 1613CUS-20422805               ICASESF14BBMT
