CA Electronic Short Form Leads
NAUT8006566629201506101847ELED000001000000B2Z 1902CUS-20257506               icastsf12aTRC
NAUT8007781519201506100605ELED000001000000K0K 3613CUS-20256798               ICASTSF15BTRC
NAUT8007781519201506100741ELED000001000000B0K 1902CUS-20256880               ICASTSF15BTRC
NAUT8007781519201506100916ELED000001000000L7P 1905CUS-20257008               ICASTSF15BTRC
NAUT8007781519201506100926ELED000001000000J0S 1450CUS-20257017               ICASTSF15BTRC
NAUT8007781519201506100927ELED000001000000K7V 3613CUS-20257019               ICASTSF15BTRC
NAUT8007781519201506100931ELED000001000000N0H 2519CUS-20257026               ICASTSF15BTRC
NAUT8007781519201506100946ELED000001000000T2A 3403CUS-20257042               ICASTSF15BTRC
NAUT8007781519201506101012ELED000001000000L9Y 3705CUS-20257064               ICASTSF15BTRC
NAUT8007781519201506101052ELED000001000000L6P 1416CUS-20257112               ICASTSF15BTRC
NAUT8007781519201506101053ELED000001000000K6H 4613CUS-20257117               ICASTSF15BTRC
NAUT8007781519201506101054ELED000001000000P0S 1705CUS-20257118               ICASTSF15BTRC
NAUT8007781519201506101055ELED000001000000P7G 1807CUS-20257121               ICASTSF15BTRC
NAUT8007781519201506101111ELED000001000000V2S 4604CUS-20257143               ICASTSF15BTRC
NAUT8007781519201506101121ELED000001000000L4N 6705CUS-20257153               ICASTSF15BTRC
NAUT8007781519201506101206ELED000001000000V9B 6778CUS-20257191               ICASTSF15BTRC
NAUT8007781519201506101442ELED000001000000K4A 2613CUS-20257311               ICASTSF15BTRC
NAUT8007781519201506101546ELED000001000000B2X 3902CUS-20257355               ICASTSF15BTRC
NAUT8007781519201506101636ELED000001000000M5M 1416CUS-20257406               ICASTSF15BTRC
NAUT8007781519201506101651ELED000001000000K7P 1613CUS-20257426               ICASTSF15BTRC
NAUT8007781519201506101931ELED000001000000R0A 0204CUS-20257541               ICASTSF15BTRC
NAUT8007781519201506101941ELED000001000000N2E 4519CUS-20257548               ICASTSF15BTRC
NAUT8007781519201506102112ELED000001000000T5X 5780CUS-20257627               ICASTSF15BTRC
NAUT8008521307201506100802ELED000001000000R3T 2204CUS-20256913               ICASESF14BBMT
NAUT8008521307201506101157ELED000001000000P0H 1705CUS-20257181               ICASESF14BBMT
NAUT8008521307201506101206ELED000001000000R8A 1204CUS-20257190               ICASESF14BBMT
NAUT8008521307201506101915ELED000001000000J9A 3819CUS-20257523               ICASESF14BBMT
NAUT8008521307201506102022ELED000001000000X1A 3867CUS-20257585               ICASESF14BBMT
NAUT8008521307201506102102ELED000001000000S0H 4306CUS-20257618               ICASESF14BBMT
NAUT8008521307201506102104ELED000001000000R0C 2204CUS-20257621               ICASESF14BBMT
NAUT8008521307201506102104ELED000001000000T3P 0438CUS-20257622               ICASESF14BBMT
NAUT8008521307201506102121ELED000001000000K1P 6613CUS-20257630               ICASESF14BBMT
NAUT8008521307201506102140ELED000001000000R0C 2204CUS-20257639               ICASESF14BBMT
NAUT8008521307201506102216ELED000001000000T0B 0403CUS-20257656               ICASESF14BBMT
