US Electronic Short Form Leads
NAUT8002433968201411201028ELED00000100000090260323CUS-19816669               DDCESAWBFX_BFXBFX
NAUT8002439827201411200343ELED00000100000033414561CUS-19816113               dseesf14aBMT
NAUT8002439827201411200759ELED00000100000060046847CUS-19816352               dseesf14aBMT
NAUT8002439827201411200830ELED00000100000033430561CUS-19816414               dseesf14aBMT
NAUT8002439827201411200915ELED00000100000060046CUS-19816516               dseesf14aBMT
NAUT8002439827201411200957ELED00000100000005470802CUS-877316               SAWDSEESF14ABMT
NAUT8002439827201411200957ELED00000100000005470802CUS-877316               SAWDSEESF14AUPC
NAUT8002439827201411201034ELED00000100000014228716CUS-19816696               dseesf14aBMT
NAUT8002439827201411201035ELED00000100000027587919CUS-19816697               dseesf14aBMT
NAUT8002439827201411201057ELED00000100000030117678CUS-19816748               dseesf14aBMT
NAUT8002439827201411201141ELED00000100000073110405CUS-19816867               SAWDSEESF14ABMT
NAUT8002439827201411201144ELED00000100000010579914CUS-19816871               dseesf14aBMT
NAUT8002439827201411201145ELED00000100000034219262CUS-19816872               dseesf14aBMT
NAUT8002439827201411201145ELED00000100000056377405CUS-19816875               dseesf14aBMT
NAUT8002439827201411201145ELED00000100000073072405CUS-19816874               dseesf14aBMT
NAUT8002439827201411201146ELED00000100000010983845CUS-19816877               dseesf14aBMT
NAUT8002439827201411201146ELED00000100000048144419CUS-19816878               dseesf14aBMT
NAUT8002439827201411201158ELED00000100000006804203CUS-19816909               dseesf14aBMT
NAUT8002439827201411201159ELED00000100000060548630CUS-19816912               dseesf14aBMT
NAUT8002439827201411201200ELED00000100000023227804CUS-19816915               dseesf14aBMT
NAUT8002439827201411201200ELED00000100000023464CUS-19816914               dseesf14aBMT
NAUT8002439827201411201200ELED00000100000048192734CUS-19816916               dseesf14aBMT
NAUT8002439827201411201201ELED00000100000017901347CUS-19816918               dseesf14aBMT
NAUT8002439827201411201204ELED00000100000077336281CUS-19816924               dseesf14aBMT
NAUT8002439827201411201205ELED00000100000048336248CUS-19816928               dseesf14aBMT
NAUT8002439827201411201213ELED00000100000084770435CUS-19816921               SAWDSEESF14ABMT
NAUT8002439827201411201215ELED00000100000075765903CUS-19816955               dseesf14aBMT
NAUT8002439827201411201220ELED00000100000016502814CUS-19816968               dseesf14aBMT
NAUT8002439827201411201244ELED00000100000086440623CUS-19637937               dseesf14aBMT
NAUT8002439827201411201301ELED00000100000032561850CUS-19817057               dseesf14aBMT
NAUT8002439827201411201314ELED00000100000098038206CUS-19817099               dseesf14aBMT
NAUT8002439827201411201336ELED00000100000033176CUS-19817127               dseesf14aBMT
NAUT8002439827201411201446ELED00000100000011370917CUS-19817242               dseesf14aBMT
NAUT8002439827201411201447ELED00000100000045406937CUS-19817245               dseesf14aBMT
NAUT8002439827201411201457ELED00000100000046181317CUS-19817277               dseesf14aBMT
NAUT8002439827201411201501ELED00000100000095391209CUS-19817280               dseesf14aBMT
NAUT8002439827201411201502ELED00000100000083530208CUS-19817283               dseesf14aBMT
NAUT8002439827201411201503ELED00000100000085339602CUS-19817285               dseesf14aBMT
NAUT8002439827201411201559ELED00000100000030012470CUS-19817371               dseesf14aBMT
NAUT8002439827201411201600ELED00000100000030044678CUS-19817375               dseesf14aBMT
NAUT8002439827201411201600ELED00000100000085050480CUS-19817373               dseesf14aBMT
NAUT8002439827201411201601ELED00000100000008741732CUS-19817378               dseesf14aBMT
NAUT8002439827201411201601ELED00000100000083406208CUS-19817377               dseesf14aBMT
NAUT8002439827201411201619ELED00000100000021009719CUS-19817419               dseesf14aBMT
NAUT8002439827201411201637ELED00000100000008031856CUS-19794129               SAWDSEESF14ATRC
NAUT8002439827201411201657ELED00000100000080203720CUS-19817487               dseesf14aBMT
NAUT8002439827201411201715ELED00000100000093706559CUS-19817497               dseesf14aBMT
NAUT8002439827201411201729ELED00000100000042003270CUS-19817535               dseesf14aBMT
NAUT8002439827201411201745ELED00000100000074012918CUS-19817560               dseesf14aBMT
NAUT8002439827201411201746ELED00000100000028147919CUS-19817561               dseesf14aBMT
NAUT8002439827201411201900ELED00000100000010989203CUS-19817690               dseesf14aBMT
NAUT8002439827201411201901ELED00000100000091042818CUS-19817693               dseesf14aBMT
NAUT8002439827201411201905ELED00000100000033176CUS-19817706               dseesf14aBMT
NAUT8002439827201411201912ELED00000100000093280661CUS-19817718               dseesf14aBMT
NAUT8002615850201411200428ELED00000100000033756727CUS-19816119               DSEESF14FBMT
NAUT8002615850201411200529ELED00000100000011754CUS-19816140               DSEESF14FBMT
NAUT8002615850201411200814ELED00000100000027513919CUS-19816376               DSEESF14FBMT
NAUT8002615850201411200913ELED00000100000033177305CUS-19816514               DSEESF14FBMT
NAUT8002615850201411201115ELED00000100000023320757CUS-19816797               DSEESF14FBMT
NAUT8002615850201411201144ELED00000100000044111216CUS-19816870               DSEESF14FBMT
NAUT8002615850201411201215ELED00000100000033616813CUS-19816956               DSEESF14FBMT
NAUT8002615850201411201300ELED00000100000076539512CUS-19817025               DSEESF14FBMT
NAUT8002615850201411201300ELED00000100000092595619CUS-19817053               DSEESF14FBMT
