US Electronic Short Form Leads
NAUT8002035538201510181926ELED00000100000050072515CUS-20424182               DSETSF15ATRC
NAUT8002439827201510180221ELED00000100000029169803CUS-20423566               dseesf14aBMT
NAUT8002439827201510180222ELED00000100000099026509CUS-20423568               dseesf14aBMT
NAUT8002439827201510180223ELED00000100000095135408CUS-20423569               dseesf14aBMT
NAUT8002439827201510180226ELED00000100000055122817CUS-20423572               dseesf14aBMT
NAUT8002439827201510180241ELED00000100000045410937CUS-20423592               dseesf14aBMT
NAUT8002439827201510180242ELED00000100000078537956CUS-20423595               dseesf14aBMT
NAUT8002439827201510180252ELED00000100000075042214CUS-20423605               dseesf14aBMT
NAUT8002439827201510180255ELED00000100000000976787CUS-20423609               dseesf14aBMT
NAUT8002439827201510180258ELED00000100000014456315CUS-12127115               dseesf14aBMT
NAUT8002439827201510180300ELED00000100000075028214CUS-20423617               dseesf14aBMT
NAUT8002439827201510180301ELED00000100000090670760CUS-20423618               dseesf14aBMT
NAUT8002439827201510180302ELED00000100000037660423CUS-3150833               dseesf14aBMT
NAUT8002439827201510180302ELED00000100000093292559CUS-20423619               dseesf14aBMT
NAUT8002439827201510180303ELED00000100000091016626CUS-20423621               dseesf14aBMT
NAUT8002439827201510180356ELED00000100000060178CUS-20423703               dseesf14aBMT
NAUT8002439827201510180645ELED00000100000098607360CUS-20423755               dseesf14aBMT
NAUT8002439827201510181543ELED00000100000075154972CUS-20424021               dseesf14aBMT
NAUT8002439827201510181715ELED00000100000032814CUS-20424057               dseesf14aBMT
NAUT8002439827201510181725ELED00000100000076308940CUS-20424062               dseesf14aBMT
NAUT8002439827201510181833ELED00000100000028027631CUS-20424092               dseesf14aBMT
NAUT8002439827201510182126ELED00000100000030504CUS-20424367               dseesf14aBMT
NAUT8002439827201510182129ELED00000100000019606601CUS-1351239               dseesf14aBMT
NAUT8002439827201510182130ELED00000100000046774440CUS-8734175               dseesf14aBMT
NAUT8002439827201510182131ELED00000100000095202209CUS-20424372               dseesf14aBMT
NAUT8002439827201510182134ELED00000100000060103630CUS-20424380               dseesf14aBMT
NAUT8002439827201510182145ELED00000100000028080478CUS-20424395               dseesf14aBMT
NAUT8002439827201510182157ELED00000100000028025704CUS-20424416               dseesf14aBMT
NAUT8002439827201510182158ELED00000100000008062856CUS-20424420               dseesf14aBMT
NAUT8002439827201510182158ELED00000100000056382320CUS-20424418               dseesf14aBMT
NAUT8002439827201510182200ELED00000100000072024870CUS-20424422               dseesf14aBMT
NAUT8002439827201510182219ELED00000100000060525708CUS-8039368               dseesf14aBMT
NAUT8002439827201510182219ELED00000100000085086480CUS-20424453               dseesf14aBMT
NAUT8002439827201510182220ELED00000100000013077607CUS-20424455               dseesf14aBMT
NAUT8002439827201510182224ELED00000100000056277320CUS-20424464               dseesf14aBMT
NAUT8002439827201510182225ELED00000100000047112502CUS-15857119               dseesf14aBMT
NAUT8002439827201510182227ELED00000100000033713727CUS-20424467               dseesf14aBMT
NAUT8002439827201510182239ELED00000100000092223909CUS-20424485               dseesf14aBMT
NAUT8002439827201510182246ELED00000100000070570337CUS-388848               dseesf14aBMT
NAUT8002439827201510182300ELED00000100000077083832CUS-20424513               dseesf14aBMT
NAUT8002439827201510182300ELED00000100000077084954CUS-20424514               dseesf14aBMT
NAUT8002439827201510182301ELED00000100000033771757CUS-20424515               dseesf14aBMT
NAUT8002439827201510182302ELED00000100000060153773CUS-20424519               dseesf14aBMT
NAUT8002439827201510182305ELED00000100000078665512CUS-20424523               dseesf14aBMT
NAUT8002439827201510182312ELED00000100000077433832CUS-20424531               dseesf14aBMT
NAUT8002615850201510180227ELED00000100000019015610CUS-17753092               DSEESF14FBMT
NAUT8002615850201510180249ELED00000100000075088214CUS-2354307               DSEESF14FBMT
NAUT8002615850201510180250ELED00000100000030747240CUS-261491               DSEESF14FBMT
NAUT8002615850201510180251ELED00000100000091748310CUS-20423603               DSEESF14FBMT
NAUT8002615850201510180255ELED00000100000049348269CUS-20423611               DSEESF14FBMT
NAUT8002615850201510180256ELED00000100000012203518CUS-20423612               DSEESF14FBMT
NAUT8002615850201510180257ELED00000100000076308940CUS-20423615               DSEESF14FBMT
NAUT8002615850201510180352ELED00000100000080031408CUS-20423699               DSEESF14FBMT
NAUT8002615850201510180634ELED00000100000054467CUS-20423749               DSEESF14FBMT
NAUT8002615850201510180649ELED00000100000029118CUS-20423762               DSEESF14FBMT
NAUT8002615850201510180819ELED00000100000090008310CUS-20423803               DSEESF14FBMT
NAUT8002615850201510181847ELED00000100000092308760CUS-20424104               DSEESF14FBMT
NAUT8002615850201510182045ELED00000100000090712310CUS-20424309               DSEESF14FBMT
NAUT8002615850201510182059ELED00000100000053081920CUS-20424328               DSEESF14FBMT
NAUT8002615850201510182103ELED00000100000020772301CUS-20424331               DSEESF14FBMT
NAUT8002615850201510182105ELED00000100000030506678CUS-8426964               DSEESF14FBMT
NAUT8002615850201510182149ELED00000100000077450832CUS-20424400               DSEESF14FBMT
NAUT8002615850201510182211ELED00000100000010029516CUS-6597726               DSEESF14FBMT
NAUT8002615850201510182218ELED00000100000099507907CUS-20424452               DSEESF14FBMT
NAUT8002615850201510182232ELED00000100000019142267CUS-20424473               DSEESF14FBMT
NAUT8002615850201510182233ELED00000100000007976973CUS-20424476               DSEESF14FBMT
NAUT8002615850201510182251ELED00000100000078222210CUS-20424500               DSEESF14FBMT
NAUT8002615850201510182301ELED00000100000039110601CUS-20424516               DSEESF14FBMT
NAUT8002615850201510182304ELED00000100000092880562CUS-20424522               DSEESF14FBMT
NAUT8002615850201510182309ELED00000100000080005720CUS-20424527               DSEESF14FBMT
NAUT8002615850201510182346ELED00000100000080239720CUS-20424593               DSEESF14FBMT
NAUT8002696045201510180135ELED00000100000077338281CUS-20423511               dsetsf11gTRC
NAUT8002696045201510180157ELED00000100000007063987CUS-20423535               dsetsf11gTRC
NAUT8002696045201510180158ELED00000100000027214336CUS-20423537               dsetsf11gTRC
NAUT8002696045201510180204ELED00000100000018436570CUS-20423544               dsetsf11gTRC
NAUT8002696045201510180632ELED00000100000048228313CUS-20423748               dsetsf11gTRC
NAUT8002696045201510180636ELED00000100000033321954CUS-20423753               dsetsf11gTRC
NAUT8002696045201510180756ELED00000100000092683CUS-20423800               dsetsf11gTRC
NAUT8002696045201510181845ELED00000100000021237443CUS-7937127               dsetsf11gTRC
NAUT8002696045201510181846ELED00000100000013642315CUS-20424099               dsetsf11gTRC
NAUT8002696045201510181846ELED00000100000077532832CUS-20424101               dsetsf11gTRC
NAUT8002696045201510181849ELED00000100000078382361CUS-20424107               dsetsf11gTRC
NAUT8002696045201510181850ELED00000100000074012918CUS-20424108               dsetsf11gTRC
NAUT8002696045201510181851ELED00000100000099344509CUS-20424111               dsetsf11gTRC
NAUT8002696045201510181852ELED00000100000074044918CUS-20424115               dsetsf11gTRC
NAUT8002696045201510181853ELED00000100000097305503CUS-20424116               dsetsf11gTRC
NAUT8002696045201510181854ELED00000100000032256347CUS-20424118               dsetsf11gTRC
NAUT8002696045201510181855ELED00000100000044266330CUS-20424121               dsetsf11gTRC
NAUT8002696045201510181856ELED00000100000075043405CUS-20424125               dsetsf11gTRC
NAUT8002696045201510181857ELED00000100000033596813CUS-20424126               dsetsf11gTRC
NAUT8002696045201510181858ELED00000100000040510859CUS-20424127               dsetsf11gTRC
NAUT8002696045201510181859ELED00000100000042567606CUS-20424128               dsetsf11gTRC
NAUT8002696045201510181859ELED00000100000077494281CUS-20424130               dsetsf11gTRC
NAUT8002696045201510181900ELED00000100000078572956CUS-20424131               dsetsf11gTRC
NAUT8002696045201510181902ELED00000100000033024305CUS-20283692               dsetsf11gTRC
NAUT8002696045201510181903ELED00000100000028504252CUS-20424137               dsetsf11gTRC
NAUT8002696045201510181903ELED00000100000076148817CUS-20424136               dsetsf11gTRC
NAUT8002696045201510181903ELED00000100000087401505CUS-20424135               dsetsf11gTRC
NAUT8002696045201510181905ELED00000100000087532505CUS-20424142               dsetsf11gTRC
NAUT8002696045201510182004ELED00000100000092683174CUS-20424252               dsetsf11gTRC
NAUT8002696045201510182014ELED00000100000072834479CUS-20424265               dsetsf11gTRC
NAUT8002696045201510182017ELED00000100000033014786CUS-20424275               dsetsf11gTRC
NAUT8002696045201510182018ELED00000100000017225717CUS-20424276               dsetsf11gTRC
NAUT8002952928201510180626ELED00000100000060014815CUS-4879447               dseesf14cBMT
