CA Electronic Short Form Leads
NAUT8006149233201411131030ELED000001000000P4N 4705CUS-19802055               icastsf12bTRC
NAUT8006516382201411130011ELED000001000000B0T 1902CUS-19801408               ICASESF14ABMT
NAUT8006516382201411130011ELED000001000000V5V 3604CUS-19801409               ICASESF14ABMT
NAUT8006516382201411130731ELED000001000000J5K 1514CUS-19801609               ICASESF14ABMT
NAUT8006516382201411130741ELED000001000000L6A 4647CUS-19801624               ICASESF14ABMT
NAUT8006516382201411131221ELED000001000000M6B 2416CUS-19802332               ICASESF14ABMT
NAUT8006516382201411131226ELED000001000000T4V 4780CUS-19802345               ICASESF14ABMT
NAUT8006516382201411131311ELED000001000000R0G 1204CUS-19802431               ICASESF14ABMT
NAUT8006516382201411131315ELED000001000000L0L 2705CUS-19802441               ICASESF14ABMT
NAUT8006516382201411131611ELED000001000000T3P 1403CUS-19802757               ICASESF14ABMT
NAUT8006516382201411131741ELED000001000000L0M 1905CUS-19802892               ICASESF14ABMT
NAUT8006516382201411131856ELED000001000000R0B 0204CUS-19803011               ICASESF14ABMT
NAUT8006516382201411131941ELED000001000000T3H 5403CUS-19803077               ICASESF14ABMT
NAUT8006516382201411131942ELED000001000000L1P 1416CUS-19803082               ICASESF14ABMT
NAUT8006516382201411131949ELED000001000000M1T 2647CUS-19803087               ICASESF14ABMT
NAUT8006566629201411130700ELED000001000000V8G 2250CUS-19801559               icastsf12aTRC
NAUT8006566629201411130906ELED000001000000L4L 1647CUS-19801823               icastsf12aTRC
NAUT8006566629201411130906ELED000001000000V6Y 1604CUS-19801824               icastsf12aTRC
NAUT8006566629201411131005ELED000001000000T2E 2403CUS-19801977               icastsf12aTRC
NAUT8006566629201411131129ELED000001000000T2A 5403CUS-19802187               icastsf12aTRC
NAUT8006566629201411131328ELED000001000000T4B 0403CUS-19802464               icastsf12aTRC
NAUT8009526812201411130211ELED000001000000V2P 3604CUS-19801430               icastsf09buytcTRC
NAUT8009526812201411130758ELED000001000000R3E 1204CUS-19801652               icastsf09buytcTRC
NAUT8009526812201411130844ELED000001000000J5R 0450CUS-19801761               icastsf09buytcTRC
NAUT8009526812201411131129ELED000001000000J8R 1819CUS-19802184               icastsf09buytcTRC
NAUT8009526812201411131244ELED000001000000N7G 3519CUS-19802379               icastsf09buytcTRC
NAUT8009526812201411131316ELED000001000000L9K 1604CUS-19802445               icastsf09buytcTRC
NAUT8009526812201411131414ELED000001000000N5X 0519CUS-19802556               icastsf09buytcTRC
NAUT8009526812201411131533ELED000001000000V0A 1250CUS-19802689               icastsf09buytcTRC
NAUT8009526812201411131644ELED000001000000L1M 0905CUS-19802812               icastsf09buytcTRC
NAUT8009526812201411131801ELED000001000000R3Y 0204CUS-19802938               icastsf09buytcTRC
NAUT8009526812201411131849ELED000001000000K1E 2613CUS-19803002               icastsf09buytcTRC
NAUT8009526812201411131903ELED000001000000K0A 1613CUS-19803026               icastsf09buytcTRC
NAUT8009526812201411131917ELED000001000000K1E 1613CUS-19803041               icastsf09buytcTRC
NAUT8009526812201411131917ELED000001000000M4M 2416CUS-19803043               icastsf09buytcTRC
NAUT8009526812201411131927ELED000001000000N3W 1289CUS-19803058               icastsf09buytcTRC
NAUT8009526812201411131928ELED000001000000L6V 1647CUS-19803059               icastsf09buytcTRC
NAUT8009526812201411131928ELED000001000000L7A 1416CUS-19803060               icastsf09buytcTRC
NAUT8009526812201411131928ELED000001000000N2E 4519CUS-19803061               icastsf09buytcTRC
NAUT8009526812201411131930ELED000001000000L1P 1905CUS-19803064               icastsf09buytcTRC
NAUT8009526812201411132001ELED000001000000H4H 2514CUS-19803096               icastsf09buytcTRC
NAUT8009526812201411132002ELED000001000000V4A 5604CUS-19803098               icastsf09buytcTRC
NAUT8009526812201411132059ELED000001000000T4B 2403CUS-19803152               icastsf09buytcTRC
NAUT8009526812201411132143ELED000001000000L2H 0CUS-19803184               icastsf09buytcTRC
NAUT8009526812201411132226ELED000001000000L0C 1905CUS-19803202               icastsf09buytcTRC
NAUT8009526812201411132257ELED000001000000V1C 2250CUS-19803210               icastsf09buytcTRC
