CA Electronic Short Form Leads
NAUT8006149233201503130637ELED000001000000B0M 1902CUS-20133378               icastsf12bTRC
NAUT8006566629201503130813ELED000001000000K0L 1647CUS-20133479               icastsf12aTRC
NAUT8006566629201503130858ELED000001000000L2M 7905CUS-20133511               icastsf12aTRC
NAUT8006671981201503130929ELED000001000000B5A 5902CUS-20109188               ICASESF14DBMT
NAUT8009526812201503130044ELED000001000000T8S 1780CUS-20133252               icastsf09buytcTRC
NAUT8009526812201503130209ELED000001000000V3L 3604CUS-20133292               icastsf09buytcTRC
NAUT8009526812201503130746ELED000001000000L2R 7905CUS-20133447               icastsf09buytcTRC
NAUT8009526812201503130746ELED000001000000N0A 1905CUS-20133448               icastsf09buytcTRC
NAUT8009526812201503130747ELED000001000000E4K 2506CUS-20133451               icastsf09buytcTRC
NAUT8009526812201503130747ELED000001000000L7M 1905CUS-20133450               icastsf09buytcTRC
NAUT8009526812201503130747ELED000001000000V0R 1250CUS-20133449               icastsf09buytcTRC
NAUT8009526812201503130758ELED000001000000L6P 1416CUS-20133463               icastsf09buytcTRC
NAUT8009526812201503130842ELED000001000000V2S 3604CUS-20133497               icastsf09buytcTRC
NAUT8009526812201503130859ELED000001000000V1G 7250CUS-20133512               icastsf09buytcTRC
NAUT8009526812201503130913ELED000001000000S0A 2306CUS-20133525               icastsf09buytcTRC
NAUT8009526812201503130914ELED000001000000T4R 3403CUS-20133526               icastsf09buytcTRC
NAUT8009526812201503131201ELED000001000000N8T 2519CUS-20133679               icastsf09buytcTRC
NAUT8009526812201503131202ELED000001000000E3A 1506CUS-19661776               icastsf09buytcTRC
NAUT8009526812201503131202ELED000001000000R0G 2204CUS-20133681               icastsf09buytcTRC
NAUT8009526812201503131203ELED000001000000E1B 3506CUS-20133686               icastsf09buytcTRC
NAUT8009526812201503131222ELED000001000000P7C 4807CUS-20133740               icastsf09buytcTRC
