US Short Form Leads
NAUT8002427406201602261441LEAD00000100000036610205CUS-20727567               WNATN120J14FSTICBMT
NAUT8002433902201602260337LEAD00000100000099801907CUS-3329899               DESTN5MNHAMFSTICBMT
NAUT8002433902201602260541LEAD00000100000001104413CUS-20726737               DESTN5MNHAMFSTICBMT
NAUT8002433902201602261542LEAD00000100000093036805CUS-20727632               DESTN5MNHAMFSTICBMT
NAUT8002437081201602261000LEAD00000100000077021281CUS-20727094               RELZN120J14FSTICBMT
NAUT8002437081201602261244LEAD00000100000065692417CUS-20727411               RELZN120J14FSTICBMT
NAUT8002437081201602261742LEAD00000100000022802540CUS-11000407               RELZN120J14FSTICBMT
NAUT8002437081201602261742LEAD00000100000060501815CUS-20727735               RELZN120J14FSTICBMT
NAUT8002437081201602261745LEAD00000100000087113CUS-20727739               RELZN120J14FSTICBMT
NAUT8002437081201602261746LEAD00000100000064735660CUS-20727740               RELZN120J14FSTICBMT
NAUT8002437081201602261806LEAD00000100000064735660CUS-20727740               RELZN120J14FSTICTRC
NAUT8002437081201602261944LEAD00000100000090303323CUS-19918992               RELZN120J14FSTICBMT
NAUT8002437091201602260629LEAD00000100000029640864CUS-20408613               ION*N120J14FSTICBMT
NAUT8002437091201602260630LEAD00000100000020792301CUS-12905782               ION*N120J14FSTICBMT
NAUT8002437091201602260630LEAD00000100000033711727CUS-20726767               ION*N120J14FSTICBMT
NAUT8002437091201602260634LEAD00000100000052001563CUS-20726770               ION*N120J14FSTICBMT
NAUT8002437091201602260854LEAD00000100000052807563CUS-20727001               ION*N120J14FSTICBMT
NAUT8002437091201602260913LEAD00000100000011223718CUS-20727032               ION*N120J14FSTICBMT
NAUT8002437091201602261157LEAD00000100000027040336CUS-20727341               ION*N120J14FSTICBMT
NAUT8002437091201602261428LEAD00000100000028269704CUS-20727551               ION*N120J14FSTICBMT
NAUT8002437091201602261455LEAD00000100000067449620CUS-971823               ION*N120J14FSTICBMT
NAUT8002437091201602261519LEAD00000100000028601828CUS-20726712               ION*N120J14FSTICTRC
NAUT8002437091201602261536LEAD00000100000011221917CUS-20727624               ION*N120J14FSTICBMT
NAUT8002437091201602262238LEAD00000100000094949415CUS-20727931               ION*N120J14FSTICBMT
NAUT8002591694201602260649LEAD00000100000041002859CUS-20726781               METVN120ALOBYTICTRC
NAUT8002665079201602261038LEAD00000100000066429785CUS-20727174               JUSTN120J14FSTICBMT
NAUT8002665079201602261153LEAD00000100000076132817CUS-20727337               JUSTN120J14FSTICBMT
NAUT8002665079201602261625LEAD00000100000075042972CUS-20727664               JUSTN120J14FSTICBMT
NAUT8002665079201602261923LEAD00000100000032056386CUS-20379795               JUSTN120J14FSTICBMT
NAUT8002665079201602262134LEAD00000100000017701570CUS-20727924               JUSTN120J14FSTICBMT
NAUT8002665079201602262342LEAD00000100000097286503CUS-20727951               JUSTN120J14FSTICBMT
NAUT8002700904201602261300LEAD00000100000032806407CUS-20727432               GRITN120J14FSTICBMT
NAUT8002700904201602262134LEAD00000100000077482979CUS-20727923               GRITN120J14FSTICBMT
NAUT8002700904201602262135LEAD00000100000092553951CUS-20727925               GRITN120J14FSTICBMT
NAUT8003047513201602262339LEAD00000100000010926845CUS-20727949               MX9*P60*J14FSTICBMT
NAUT8003047568201602260536LEAD00000100000019121267CUS-20726735               MX10P60*J14FSTICBMT
NAUT8003047568201602260538LEAD00000100000076670254CUS-9166575               MX10P60*J14FSTICBMT
NAUT8003047592201602262336LEAD00000100000021239443CUS-6019444               MX12P60*J14FSTICBMT
NAUT8003518887201602260951LEAD00000100000010566914CUS-20727081               PIVTN180JACFSTICBMT
NAUT8003582499201602261016LEAD00000100000087401505CUS-20727130               SUNDN180JACFSTICBMT
NAUT8003582499201602261054LEAD00000100000030038770CUS-20615739               SUNDN180JACFSTICBMT
NAUT8004363960201602261850LEAD00000100000062236618CUS-1058484               CSISN120J14FSTICBMT
NAUT8004399230201602260714LEAD00000100000071366318CUS-20726831               INSPN120GRT2HTICTRC
NAUT8004419320201602260818LEAD00000100000033610813CUS-20726927               DLFEN180HKINGTICTRC
NAUT8004501917201602260933LEAD00000100000020607703CUS-20724655               ZUUSN120HAMF*TICTRC
NAUT8004511543201602260806LEAD00000100000051578712CUS-20726864               P02161STWMNCSYPFTRC
NAUT8004563921201602261056LEAD00000100000073660CUS-20726124               PALLN5MNHAMFSTICBMT
NAUT8004695944201602261933LEAD00000100000037763865CUS-20727842               GRITN120JACKDTICBMT
NAUT8004743316201602261534LEAD00000100000033596813CUS-20727620               MX23P60*J14FSTICBMT
NAUT8004792965201602260939LEAD00000100000060953217CUS-20727061               IFC*N120J14FSTICBMT
NAUT8004792965201602261059LEAD00000100000011208647CUS-20727220               IFC*N120J14FSTICBMT
NAUT8004792965201602261059LEAD00000100000018640570CUS-20727221               IFC*N120J14FSTICBMT
NAUT8004792965201602261228LEAD00000100000096021530CUS-20727375               IFC*N120J14FSTICBMT
NAUT8005069231201602260638LEAD00000100000082501307CUS-20726775               SUNDN120J14FSTICBMT
NAUT8005069231201602260838LEAD00000100000060628773CUS-20726970               SUNDN120J14FSTICBMT
NAUT8005069231201602260840LEAD00000100000085256480CUS-20726972               SUNDN120J14FSTICBMT
NAUT8005069231201602260938LEAD00000100000078240210CUS-20727059               SUNDN120J14FSTICBMT
NAUT8005069231201602261346LEAD00000100000062269314CUS-20727490               SUNDN120J14FSTICBMT
NAUT8005069232201602261111LEAD00000100000044049440CUS-20727260               VEL*N120J14FSTICBMT
NAUT8005069232201602261112LEAD00000100000099824406CUS-20727262               VEL*N120J14FSTICBMT
NAUT8005069232201602261118LEAD00000100000008077856CUS-20727268               VEL*N120J14FSTICBMT
NAUT8005098626201602260710LEAD00000100000030019313CUS-20726827               SPKEN120J14FSTICBMT
NAUT8005098626201602260711LEAD00000100000019702302CUS-20726829               SPKEN120J14FSTICBMT
NAUT8005098626201602260715LEAD00000100000043606419CUS-20726832               SPKEN120J14FSTICBMT
NAUT8005098626201602260747LEAD00000100000030815706CUS-20726854               SPKEN120J14FSTICBMT
NAUT8005098626201602260812LEAD00000100000027298336CUS-5784753               SPKEN120J14FSTICBMT
NAUT8005098626201602260812LEAD00000100000046373708CUS-20726903               SPKEN120J14FSTICBMT
NAUT8005098626201602260813LEAD00000100000015473724CUS-20726911               SPKEN120J14FSTICBMT
NAUT8005098626201602260814LEAD00000100000063051314CUS-20647125               SPKEN120J14FSTICTRC
NAUT8005098626201602260814LEAD00000100000078745CUS-20726917               SPKEN120J14FSTICBMT
NAUT8005098626201602260814LEAD00000100000084302435CUS-20726921               SPKEN120J14FSTICBMT
NAUT8005098626201602260815LEAD00000100000041102606CUS-20726922               SPKEN120J14FSTICBMT
NAUT8005098626201602260822LEAD00000100000028376910CUS-20726909               SPKEN120J14FSTICBMT
NAUT8005098626201602260829LEAD00000100000028376910CUS-20726953               SPKEN120J14FSTICBMT
NAUT8005098626201602261013LEAD00000100000024639276CUS-5282922               SPKEN120J14FSTICBMT
NAUT8005098626201602261013LEAD00000100000034668727CUS-20727113               SPKEN120J14FSTICBMT
NAUT8005098626201602261014LEAD00000100000094601510CUS-20727112               SPKEN120J14FSTICBMT
NAUT8005098626201602261015LEAD00000100000044111216CUS-20727126               SPKEN120J14FSTICBMT
NAUT8005098626201602261034LEAD00000100000031217478CUS-20698284               SPKEN120J14FSTICBMT
NAUT8005098626201602261035LEAD00000100000019464215CUS-6732148               SPKEN120J14FSTICBMT
NAUT8005098626201602261037LEAD00000100000014619585CUS-20727168               SPKEN120J14FSTICBMT
NAUT8005098626201602261037LEAD00000100000075801903CUS-20727171               SPKEN120J14FSTICBMT
NAUT8005098626201602261038LEAD00000100000028621404CUS-20727170               SPKEN120J14FSTICBMT
NAUT8005098626201602261044LEAD00000100000002368781CUS-4835079               SPKEN120J14FSTICBMT
NAUT8005098626201602261506LEAD00000100000078504956CUS-20727593               SPKEN120J14FSTICBMT
NAUT8005098626201602261926LEAD00000100000096707808CUS-20727837               SPKEN120J14FSTICBMT
NAUT8005098627201602260846LEAD00000100000011003646CUS-20726987               ESQ*N120J14FSTICBMT
NAUT8005098627201602260853LEAD00000100000015132412CUS-20726997               ESQ*N120J14FSTICBMT
NAUT8005098627201602260853LEAD00000100000045304937CUS-20689417               ESQ*N120J14FSTICTRC
NAUT8005098627201602260854LEAD00000100000072714479CUS-19817018               ESQ*N120J14FSTICBMT
NAUT8005098627201602260919LEAD00000100000057063605CUS-11008957               ESQ*N120J14FSTICBMT
NAUT8005106032201602260810LEAD00000100000066762620CUS-20726793               INSPN120HKINGTICTRC
NAUT8005106032201602261423LEAD00000100000079549325CUS-20727545               INSPN120HKINGTICTRC
NAUT8005106032201602261924LEAD00000100000085338623CUS-20727833               INSPN120HKINGTICTRC
NAUT8005106032201602261925LEAD00000100000058368701CUS-20727834               INSPN120HKINGTICTRC
NAUT8005106032201602261926LEAD00000100000078589956CUS-20727835               INSPN120HKINGTICTRC
NAUT8005106032201602261927LEAD00000100000036541251CUS-20727838               INSPN120HKINGTICTRC
NAUT8005106032201602261927LEAD00000100000076903325CUS-20727836               INSPN120HKINGTICTRC
NAUT8005106069201602260955LEAD00000100000078566956CUS-20727085               SPKEN120HKINGTICTRC
NAUT8005106069201602260956LEAD00000100000045324937CUS-20727086               SPKEN120HKINGTICTRC
NAUT8005136457201602260644LEAD00000100000041601606CUS-20726786               HERON5MNHAMFSTICBMT
NAUT8005136457201602260644LEAD00000100000053910608CUS-20726780               HERON5MNHAMFSTICBMT
NAUT8005136457201602260644LEAD00000100000090746310CUS-6313085               HERON5MNHAMFSTICBMT
NAUT8005136457201602261027LEAD00000100000046376219CUS-4031024               HERON5MNHAMFSTICBMT
NAUT8005136457201602261030LEAD00000100000099224509CUS-20727153               HERON5MNHAMFSTICBMT
NAUT8005276842201602261339LEAD00000100000077657CUS-20726052               HMM*N5MINFIVE*TICTRC
NAUT8005431397201602260912LEAD00000100000046530574CUS-20727027               ODORN120J14FSTICBMT
NAUT8005446035201602260643LEAD00000100000094547415CUS-20726782               VEL*N180JACFSTICBMT
NAUT8005446035201602260757LEAD00000100000080237303CUS-20719293               VEL*N180JACFSTICBMT
NAUT8005446035201602260842LEAD00000100000037130615CUS-20726974               VEL*N180JACFSTICBMT
NAUT8005446035201602260842LEAD00000100000037130615CUS-20726974               VEL*N180JACFSTICTRC
NAUT8005446035201602261231LEAD00000100000001880781CUS-20727381               VEL*N180JACFSTICBMT
NAUT8005446035201602261231LEAD00000100000030019678CUS-20727383               VEL*N180JACFSTICBMT
NAUT8005446035201602261231LEAD00000100000043050740CUS-20727384               VEL*N180JACFSTICBMT
NAUT8005446035201602261234LEAD00000100000019126215CUS-20727389               VEL*N180JACFSTICBMT
NAUT8005446717201602260944LEAD00000100000029697864CUS-20727069               EREYN120J14FSTICBMT
NAUT8005446717201602261030LEAD00000100000053206414CUS-20727156               EREYN120J14FSTICBMT
NAUT8005446717201602261832LEAD00000100000095023408CUS-20727787               EREYN120J14FSTICBMT
NAUT8005923486201602260643LEAD00000100000094523925CUS-20726783               DTVSN60*J14FSTICBMT
NAUT8005923486201602260719LEAD00000100000005156802CUS-20726837               DTVSN60*J14FSTICBMT
NAUT8005923486201602260945LEAD00000100000077459832CUS-19215169               DTVSN60*J14FSTICBMT
NAUT8005923486201602261055LEAD00000100000089180702CUS-545120               DTVSN60*J14FSTICBMT
NAUT8005923486201602261109LEAD00000100000019946302CUS-19506305               DTVSN60*J14FSTICBMT
NAUT8005923486201602261154LEAD00000100000043620347CUS-20598982               DTVSN60*J14FSTICBMT
NAUT8005923486201602261240LEAD00000100000036879334CUS-20727405               DTVSN60*J14FSTICBMT
NAUT8006720780201602260852LEAD00000100000095691916CUS-20726752               TVLDN60*HKINGTICTRC
NAUT8007173460201602260948LEAD00000100000077578281CUS-20727076               INSPN180HKINGTICTRC
NAUT8007173460201602261641LEAD00000100000020748301CUS-20727673               INSPN180HKINGTICTRC
NAUT8007173460201602261641LEAD00000100000031006478CUS-20727675               INSPN180HKINGTICTRC
NAUT8007173460201602261641LEAD00000100000042025270CUS-20727676               INSPN180HKINGTICTRC
NAUT8007173460201602261642LEAD00000100000041179606CUS-20727677               INSPN180HKINGTICTRC
NAUT8007173460201602261643LEAD00000100000018940215CUS-20727679               INSPN180HKINGTICTRC
NAUT8007173460201602261643LEAD00000100000045505937CUS-20727678               INSPN180HKINGTICTRC
NAUT8007173460201602261644LEAD00000100000028216860CUS-20727682               INSPN180HKINGTICTRC
NAUT8007173460201602261646LEAD00000100000085021602CUS-20727684               INSPN180HKINGTICTRC
NAUT8007781524201602261549LEAD00000100000071763870CUS-20727637               OWN*N180ALOHATICTRC
NAUT8009185197201602261832LEAD00000100000019382484CUS-2078921               SPKEN120JACKDTICBMT
NAUT8009213028201602262338LEAD00000100000003802CUS-20727948               M617P60*NOTSTTICBMT
NAUT8009213028201602262339LEAD00000100000094536510CUS-20727950               M617P60*NOTSTTICBMT
NAUT8009272229201602260743LEAD00000100000060439630CUS-20726850               ION*N120HKINGTICTRC
NAUT8009272229201602260744LEAD00000100000007735848CUS-20726851               ION*N120HKINGTICTRC
NAUT8009272229201602260745LEAD00000100000038483931CUS-20726853               ION*N120HKINGTICTRC
NAUT8009272229201602260747LEAD00000100000010003173CUS-20726855               ION*N120HKINGTICTRC
NAUT8009272229201602260749LEAD00000100000037076615CUS-20713500               ION*N120HKINGTICTRC
NAUT8009272229201602260846LEAD00000100000084041801CUS-20726983               ION*N120HKINGTICTRC
NAUT8009272229201602261056LEAD00000100000030046404CUS-20727212               ION*N120HKINGTICTRC
NAUT8009272229201602261057LEAD00000100000014608585CUS-20727217               ION*N120HKINGTICTRC
NAUT8009272229201602261057LEAD00000100000034210941CUS-20727215               ION*N120HKINGTICTRC
NAUT8009272229201602261100LEAD00000100000078028830CUS-20727223               ION*N120HKINGTICTRC
NAUT8009272229201602261112LEAD00000100000013068607CUS-3899192               ION*N120HKINGTICTRC
NAUT8009272229201602261128LEAD00000100000001810978CUS-20727294               ION*N120HKINGTICTRC
NAUT8009272229201602261819LEAD00000100000080915719CUS-20727777               ION*N120HKINGTICTRC
NAUT8009531045201602261017LEAD00000100000050208515CUS-20727132               DISMN60*J14FSTICBMT
NAUT8009531045201602261030LEAD00000100000098112206CUS-20714005               DISMN60*J14FSTICBMT
NAUT8009531045201602261032LEAD00000100000093648559CUS-20727157               DISMN60*J14FSTICBMT
NAUT8009531045201602261540LEAD00000100000090023323CUS-20727630               DISMN60*J14FSTICBMT
NAUT8009531097201602262133LEAD00000100000043783740CUS-20727922               IFC*N5MNHAMFSTICBMT
