US Short Form Leads
NAUT8002479645201511171146LEAD00000100000075123214CUS-20473518               QUBON120TCMOMTICTRC
NAUT8002528750201511172338LEAD00000100000089104702CUS-20474303               OWN*N180HAMF*TICBMT
NAUT8002542818201511172144LEAD00000100000094115415CUS-20474236               INSPN120ALOBYTICTRC
NAUT8002580646201511170624LEAD00000100000045231513CUS-20473088               ION*N120ALOBYTICTRC
NAUT8002591694201511171339LEAD00000100000030315404CUS-20473685               METVN120ALOBYTICTRC
NAUT8002591694201511171339LEAD00000100000068701402CUS-20473689               METVN120ALOBYTICTRC
NAUT8002591694201511171341LEAD00000100000021215410CUS-20473693               METVN120ALOBYTICTRC
NAUT8002591694201511171341LEAD00000100000050320515CUS-20473694               METVN120ALOBYTICTRC
NAUT8002591694201511171342LEAD00000100000076120972CUS-20473695               METVN120ALOBYTICTRC
NAUT8002591694201511171343LEAD00000100000032117386CUS-20473692               METVN120ALOBYTICTRC
NAUT8002591694201511171439LEAD00000100000085053602CUS-20473776               METVN120ALOBYTICTRC
NAUT8002597091201511171437LEAD00000100000087375505CUS-20473773               CENTN120JACKDTICBMT
NAUT8002597091201511171750LEAD00000100000049012269CUS-20474007               CENTN120JACKDTICBMT
NAUT8002597091201511172331LEAD00000100000035208205CUS-20474299               CENTN120JACKDTICBMT
NAUT8002640660201511170905LEAD00000100000010475347CUS-20473270               CMACN60*JACKDTICBMT
NAUT8002914904201511171516LEAD00000100000010029647CUS-20473821               TESCN120KMV**TICTRC
NAUT8002914904201511171820LEAD00000100000093638559CUS-20474045               TESCN120KMV**TICTRC
NAUT8002949672201511171011LEAD00000100000044087330CUS-20473366               DTVSN60*HAMF*TICBMT
NAUT8003207309201511170646LEAD00000100000033404561CUS-20473112               QUBON120KMV**TICTRC
NAUT8003207309201511170846LEAD00000100000053210414CUS-20473247               QUBON120KMV**TICTRC
NAUT8003419994201511171725LEAD00000100000045640740CUS-20473979               CZNYN120ALOBYTICTRC
NAUT8003730447201511171626LEAD00000100000030022404CUS-20473911               BABYN120TCMOMTICTRC
NAUT8004200250201511172136LEAD00000100000010031646CUS-20474230               LAFFN120HAMBYTICBMT
NAUT8004366760201511170751LEAD00000100000078752737CUS-20473172               ION*N120KMV**TICTRC
NAUT8004366760201511170752LEAD00000100000027360336CUS-20473176               ION*N120KMV**TICTRC
NAUT8004366760201511170753LEAD00000100000022315703CUS-20473180               ION*N120KMV**TICTRC
NAUT8004366760201511170753LEAD00000100000030165706CUS-20473179               ION*N120KMV**TICTRC
NAUT8004366760201511170754LEAD00000100000044866419CUS-20473184               ION*N120KMV**TICTRC
NAUT8004366760201511170800LEAD00000100000033801239CUS-20473177               ION*N120KMV**TICTRC
NAUT8004366760201511170813LEAD00000100000018707570CUS-20473206               ION*N120KMV**TICTRC
NAUT8004366760201511170859LEAD00000100000017846570CUS-20473260               ION*N120KMV**TICTRC
NAUT8004366760201511171051LEAD00000100000081625206CUS-20473425               ION*N120KMV**TICTRC
NAUT8004369710201511171618LEAD00000100000093535661CUS-20473904               AMC*N60*JACKDTICBMT
NAUT8004694581201511171137LEAD00000100000037642423CUS-8569898               RELZN120JACKDTICBMT
NAUT8004694581201511171145LEAD00000100000036111334CUS-20473515               RELZN120JACKDTICBMT
NAUT8004694581201511171243LEAD00000100000079936915CUS-2408868               RELZN120JACKDTICBMT
NAUT8004695614201511171438LEAD00000100000061109779CUS-20473775               JUSTN120JACKDTICBMT
NAUT8004695944201511171246LEAD00000100000053933920CUS-20473610               GRITN120JACKDTICBMT
NAUT8004698619201511171537LEAD00000100000021632443CUS-20473856               NT06P60*ALOHATICTRC
NAUT8004712485201511170936LEAD00000100000001773781CUS-20473315               PUREN180JACKDTICBMT
NAUT8004715395201511170743LEAD00000100000035405205CUS-19601530               VEL*N180JACKDTICBMT
NAUT8004715395201511170746LEAD00000100000033332954CUS-20473168               VEL*N180JACKDTICBMT
NAUT8004715395201511171248LEAD00000100000071251318CUS-658701               VEL*N180JACKDTICBMT
NAUT8004715395201511171249LEAD00000100000087106505CUS-20473618               VEL*N180JACKDTICBMT
NAUT8004715395201511171253LEAD00000100000024087540CUS-20473621               VEL*N180JACKDTICBMT
NAUT8004715395201511171258LEAD00000100000091709909CUS-10978701               VEL*N180JACKDTICBMT
NAUT8004715546201511171224LEAD00000100000033764727CUS-20473572               HIS2N180JACKDTICBMT
NAUT8004715546201511171432LEAD00000100000089117702CUS-20473769               HIS2N180JACKDTICBMT
NAUT8004716104201511170623LEAD00000100000013309315CUS-19657203               OWN*N180JACKDTICBMT
NAUT8004716104201511170623LEAD00000100000074105918CUS-20473087               OWN*N180JACKDTICBMT
NAUT8004716104201511170624LEAD00000100000004667207CUS-20473089               OWN*N180JACKDTICBMT
NAUT8004716104201511170751LEAD00000100000027712919CUS-20473174               OWN*N180JACKDTICBMT
NAUT8004716104201511170825LEAD00000100000066210913CUS-20473224               OWN*N180JACKDTICBMT
NAUT8004927852201511171451LEAD00000100000011412718CUS-20473792               WGN*N120HAMBYTICBMT
