CA Electronic Short Form Leads
NAUT8006148597201601281109ELED000001000000N2E 3519CUS-20675609               ICASTSF15CTRC
NAUT8006149233201601280525ELED000001000000E1B 4506CUS-20674840               icastsf12bTRC
NAUT8006149233201601280600ELED000001000000T8W 5780CUS-20674876               icastsf12bTRC
NAUT8006149233201601280815ELED000001000000K7G 2613CUS-20675097               icastsf12bTRC
NAUT8006149233201601280958ELED000001000000L7L 7905CUS-20675398               icastsf12bTRC
NAUT8006149233201601281210ELED000001000000S0A 3306CUS-20675745               icastsf12bTRC
NAUT8006149233201601281243ELED000001000000T1M 0403CUS-20675818               icastsf12bTRC
NAUT8006149233201601281425ELED000001000000L8G 3289CUS-20675981               icastsf12bTRC
NAUT8006149233201601281638ELED000001000000M3L 2416CUS-20676242               icastsf12bTRC
NAUT8006149233201601281728ELED000001000000M2N 0647CUS-20676342               icastsf12bTRC
NAUT8006149233201601281927ELED000001000000K7G 2613CUS-20676519               icastsf12bTRC
NAUT8006149233201601281938ELED000001000000M4W 1416CUS-20676541               icastsf12bTRC
NAUT8006149233201601282112ELED000001000000R0C 2204CUS-20676686               icastsf12bTRC
NAUT8006149233201601282113ELED000001000000V1M 3604CUS-20676689               icastsf12bTRC
NAUT8006149233201601282114ELED000001000000S0K 1306CUS-20676692               icastsf12bTRC
NAUT8006149233201601282114ELED000001000000V2B 6780CUS-20676694               icastsf12bTRC
NAUT8006149233201601282115ELED000001000000V0J 1250CUS-20676697               icastsf12bTRC
NAUT8006149233201601282115ELED000001000000V1R 4250CUS-20676695               icastsf12bTRC
NAUT8006149233201601282116ELED000001000000V9K 2250CUS-20676699               icastsf12bTRC
NAUT8006149233201601282120ELED000001000000V8Z 1250CUS-19944688               icastsf12bTRC
NAUT8006149233201601282152ELED000001000000V9B 6250CUS-20676747               icastsf12bTRC
NAUT8006516382201601280429ELED000001000000H3X 2514CUS-20674807               ICASESF14ABMT
NAUT8006516382201601280942ELED000001000000L9P 1905CUS-20675370               ICASESF14ABMT
NAUT8006516382201601281053ELED000001000000J0V 1810CUS-20675557               ICASESF14ABMT
NAUT8006516382201601281054ELED000001000000M2J 3647CUS-20675560               ICASESF14ABMT
NAUT8006516382201601281135ELED000001000000K8H 1613CUS-20675674               ICASESF14ABMT
NAUT8006516382201601281210ELED000001000000A1L 0709CUS-20675747               ICASESF14ABMT
NAUT8006516382201601281334ELED000001000000L1S 6289CUS-20675896               ICASESF14ABMT
NAUT8006516382201601281335ELED000001000000G9H 2819CUS-20675899               ICASESF14ABMT
NAUT8006516382201601281434ELED000001000000T0C 1780CUS-20676002               ICASESF14ABMT
NAUT8006516382201601281653ELED000001000000J1J 2450CUS-20676268               ICASESF14ABMT
NAUT8006516382201601281654ELED000001000000K0K 3613CUS-20676271               ICASESF14ABMT
NAUT8006516382201601281654ELED000001000000K7V 3613CUS-20676274               ICASESF14ABMT
NAUT8006516382201601281655ELED000001000000N4V 0519CUS-20676279               ICASESF14ABMT
NAUT8006516382201601281656ELED000001000000L2A 4905CUS-20676280               ICASESF14ABMT
NAUT8006516382201601281656ELED000001000000R6M 1204CUS-19830550               ICASESF14ABMT
NAUT8006516382201601281900ELED000001000000S0N 2306CUS-20676480               ICASESF14ABMT
NAUT8006516382201601281912ELED000001000000T0M 0403CUS-20676496               ICASESF14ABMT
NAUT8006516382201601282113ELED000001000000V1T 1250CUS-20676688               ICASESF14ABMT
NAUT8006516382201601282114ELED000001000000K6H 6613CUS-20676693               ICASESF14ABMT
NAUT8006516382201601282121ELED000001000000T1J 3250CUS-20676710               ICASESF14ABMT
NAUT8006671981201601280618ELED000001000000R0A 1204CUS-20674892               ICASESF14DBMT
NAUT8008521307201601280009ELED000001000000J4L 4438CUS-20674740               ICASESF14BBMT
NAUT8008521307201601280850ELED000001000000A0G 2709CUS-20675233               ICASESF14BBMT
NAUT8008521307201601280850ELED000001000000H3S 1514CUS-20675231               ICASESF14BBMT
NAUT8008521307201601281018ELED000001000000B2S 1902CUS-20675475               ICASESF14BBMT
NAUT8008521307201601281018ELED000001000000L8H 3905CUS-20024064               ICASESF14BBMT
NAUT8008521307201601281020ELED000001000000N7A 3519CUS-19976257               ICASESF14BBMT
NAUT8008521307201601281340ELED000001000000T8S 1780CUS-20675906               ICASESF14BBMT
NAUT8008521307201601281347ELED000001000000L6M 0647CUS-20675920               ICASESF14BBMT
NAUT8008521307201601281426ELED000001000000H7M 1514CUS-20675984               ICASESF14BBMT
NAUT8008521307201601281434ELED000001000000L6X 4416CUS-20676005               ICASESF14BBMT
NAUT8008521307201601281512ELED000001000000T0K 1403CUS-20676074               ICASESF14BBMT
NAUT8008521307201601281513ELED000001000000E5G 1506CUS-20676078               ICASESF14BBMT
NAUT8008521307201601281627ELED000001000000L4Y 4647CUS-20676225               ICASESF14BBMT
NAUT8008521307201601281859ELED000001000000L8W 2905CUS-20676479               ICASESF14BBMT
NAUT8008521307201601281900ELED000001000000M9A 2416CUS-20676481               ICASESF14BBMT
NAUT8008521307201601282002ELED000001000000X0C 0867CUS-20676596               ICASESF14BBMT
NAUT8008521307201601282003ELED000001000000L4H 3416CUS-20676599               ICASESF14BBMT
NAUT8008521307201601282003ELED000001000000T2S 1403CUS-20676600               ICASESF14BBMT
NAUT8008521307201601282003ELED000001000000V1Y 5250CUS-20676597               ICASESF14BBMT
NAUT8008717837201601280700ELED000001000000S4Z 0306CUS-20674971               ICASESF14CBMT
NAUT8009526812201601280501ELED000001000000N4S 1519CUS-20674821               icastsf09buytcTRC
