CA Electronic Short Form Leads
NAUT8006149233201511040416ELED000001000000N3S 3905CUS-20446813               icastsf12bTRC
NAUT8006516382201511040358ELED000001000000L9B 1905CUS-20446804               ICASESF14ABMT
NAUT8006516382201511041242ELED000001000000K2A 3613CUS-20447603               ICASESF14ABMT
NAUT8006516382201511041638ELED000001000000J4K 2514CUS-20447980               ICASESF14ABMT
NAUT8006516382201511041803ELED000001000000C0A 1902CUS-20448132               ICASESF14ABMT
NAUT8006516382201511041805ELED000001000000C0A 1902CUS-20448134               ICASESF14ABMT
NAUT8006516382201511041957ELED000001000000K0L 1705CUS-20448330               ICASESF14ABMT
NAUT8006516382201511042002ELED000001000000V2T 3604CUS-20448336               ICASESF14ABMT
NAUT8006516382201511042021ELED000001000000L6M 3CUS-20448373               ICASESF14ABMT
NAUT8006516382201511042211ELED000001000000N8Y 4519CUS-20448487               ICASESF14ABMT
NAUT8007781519201511040502ELED000001000000R1N 3204CUS-20446831               ICASTSF15BTRC
NAUT8007781519201511040703ELED000001000000R0C 0204CUS-20446964               ICASTSF15BTRC
NAUT8007781519201511040726ELED000001000000X1A 1867CUS-20446988               ICASTSF15BTRC
NAUT8007781519201511040939ELED000001000000V4V 1250CUS-20447199               ICASTSF15BTRC
NAUT8007781519201511041248ELED000001000000P0V 2807CUS-20447613               ICASTSF15BTRC
NAUT8007781519201511041250ELED000001000000L7G 4905CUS-20447620               ICASTSF15BTRC
NAUT8007781519201511041411ELED000001000000L8H 4905CUS-20447775               ICASTSF15BTRC
NAUT8007781519201511041457ELED000001000000T0J 2403CUS-20447837               ICASTSF15BTRC
NAUT8007781519201511041505ELED000001000000E3A 2506CUS-20447850               ICASTSF15BTRC
NAUT8007781519201511041555ELED000001000000T3C 2403CUS-20447927               ICASTSF15BTRC
NAUT8007781519201511041652ELED000001000000T4V 2780CUS-20448004               ICASTSF15BTRC
NAUT8007781519201511041715ELED000001000000S4A 2306CUS-20448042               ICASTSF15BTRC
NAUT8007781519201511041719ELED000001000000L9Y 4705CUS-20448052               ICASTSF15BTRC
NAUT8007781519201511041721ELED000001000000S0A 2306CUS-20448057               ICASTSF15BTRC
NAUT8007781519201511041755ELED000001000000N0P 2519CUS-20448114               ICASTSF15BTRC
NAUT8007781519201511041856ELED000001000000S0C 0306CUS-20448219               ICASTSF15BTRC
NAUT8007781519201511041932ELED000001000000N8A 4519CUS-20448279               ICASTSF15BTRC
NAUT8007781519201511041934ELED000001000000L3P 5416CUS-20448284               ICASTSF15BTRC
NAUT8007781519201511041936ELED000001000000R3E 2204CUS-20448288               ICASTSF15BTRC
NAUT8008521307201511040512ELED000001000000A1K 1709CUS-20446839               ICASESF14BBMT
NAUT8008521307201511040520ELED000001000000L1P 1905CUS-20446845               ICASESF14BBMT
NAUT8008521307201511040822ELED000001000000L3M 1905CUS-20447056               ICASESF14BBMT
NAUT8008521307201511040825ELED000001000000N1H 2226CUS-20447064               ICASESF14BBMT
NAUT8008521307201511041001ELED000001000000B0T 1902CUS-20447229               ICASESF14BBMT
NAUT8008521307201511041238ELED000001000000V2P 7604CUS-20447590               ICASESF14BBMT
NAUT8008521307201511041355ELED000001000000T0A 3780CUS-20152179               ICASESF14BBMT
NAUT8008521307201511041448ELED000001000000R2C 5204CUS-20447825               ICASESF14BBMT
NAUT8008521307201511041449ELED000001000000V7H 1778CUS-20447826               ICASESF14BBMT
NAUT8008521307201511041458ELED000001000000V0G 1250CUS-20447841               ICASESF14BBMT
NAUT8008521307201511041459ELED000001000000L3V 6CUS-20447844               ICASESF14BBMT
NAUT8008521307201511041501ELED000001000000A0A 1CUS-20447849               ICASESF14BBMT
NAUT8008521307201511041545ELED000001000000K8V 0613CUS-20447909               ICASESF14BBMT
NAUT8008521307201511041832ELED000001000000E4E 2506CUS-20448176               ICASESF14BBMT
NAUT8008521307201511042014ELED000001000000G1H 6418CUS-20448359               ICASESF14BBMT
NAUT8008521307201511042031ELED000001000000L0P 1905CUS-20448388               ICASESF14BBMT
