CA Electronic Short Form Leads
NAUT8006149233201510301130ELED000001000000R2M 0204CUS-20438308               icastsf12bTRC
NAUT8007781519201510300858ELED000001000000K1J 7613CUS-20438110               ICASTSF15BTRC
NAUT8007781519201510300947ELED000001000000N9E 1519CUS-20438167               ICASTSF15BTRC
NAUT8007781519201510301035ELED000001000000N3B 3519CUS-20438234               ICASTSF15BTRC
NAUT8007781519201510301107ELED000001000000L9Z 1705CUS-20438273               ICASTSF15BTRC
NAUT8007781519201510301125ELED000001000000N9H 2519CUS-20438301               ICASTSF15BTRC
NAUT8007781519201510301141ELED000001000000H9K 1514CUS-20438330               ICASTSF15BTRC
NAUT8007781519201510301438ELED000001000000N0G 2519CUS-20438561               ICASTSF15BTRC
NAUT8007781519201510301516ELED000001000000P0V 1807CUS-20438612               ICASTSF15BTRC
NAUT8007781519201510301526ELED000001000000R3J 3204CUS-20438622               ICASTSF15BTRC
NAUT8007781519201510301629ELED000001000000N7M 1519CUS-20438694               ICASTSF15BTRC
NAUT8007781519201510301634ELED000001000000M4K 2416CUS-20438702               ICASTSF15BTRC
NAUT8007781519201510301639ELED000001000000N3T 6519CUS-20438708               ICASTSF15BTRC
NAUT8007781519201510301644ELED000001000000M9M 1647CUS-20438716               ICASTSF15BTRC
NAUT8007781519201510301649ELED000001000000L7P 3905CUS-20438721               ICASTSF15BTRC
NAUT8007781519201510301705ELED000001000000B3Z 1902CUS-20438735               ICASTSF15BTRC
NAUT8007781519201510301907ELED000001000000N0N 1519CUS-20438869               ICASTSF15BTRC
NAUT8007781519201510301919ELED000001000000T9K 0780CUS-20438879               ICASTSF15BTRC
NAUT8007781519201510301933ELED000001000000K2E 5613CUS-20438896               ICASTSF15BTRC
NAUT8007781519201510301954ELED000001000000K2B 8613CUS-20438917               ICASTSF15BTRC
NAUT8007781519201510301959ELED000001000000M1B 2647CUS-20438921               ICASTSF15BTRC
NAUT8007781519201510302005ELED000001000000N3H 1519CUS-20438926               ICASTSF15BTRC
NAUT8007781519201510302010ELED000001000000V1R 2250CUS-20438931               ICASTSF15BTRC
NAUT8007781519201510302025ELED000001000000L4R 1705CUS-20438947               ICASTSF15BTRC
NAUT8007781519201510302031ELED000001000000L5A 3647CUS-20438952               ICASTSF15BTRC
NAUT8007781519201510302227ELED000001000000V9Y 8250CUS-20439057               ICASTSF15BTRC
NAUT8007781519201510302233ELED000001000000T8A 2780CUS-20439063               ICASTSF15BTRC
NAUT8008521307201510300356ELED000001000000V8P 2250CUS-20437864               ICASESF14BBMT
NAUT8008521307201510300859ELED000001000000M3M 2647CUS-20438111               ICASESF14BBMT
NAUT8008521307201510300915ELED000001000000L7T 2905CUS-20438134               ICASESF14BBMT
NAUT8008521307201510301004ELED000001000000H9R 3514CUS-20438188               ICASESF14BBMT
NAUT8008521307201510301020ELED000001000000L7L 2416CUS-20438211               ICASESF14BBMT
NAUT8008521307201510301126ELED000001000000V3L 2604CUS-20438303               ICASESF14BBMT
NAUT8008521307201510301305ELED000001000000S6H 1306CUS-20438431               ICASESF14BBMT
NAUT8008521307201510301418ELED000001000000T1S 2CUS-20438530               ICASESF14BBMT
NAUT8008521307201510301506ELED000001000000M9P 2416CUS-20438592               ICASESF14BBMT
NAUT8008521307201510301527ELED000001000000T2T 2403CUS-20438623               ICASESF14BBMT
NAUT8008521307201510301635ELED000001000000N0M 2519CUS-20438703               ICASESF14BBMT
NAUT8008521307201510301825ELED000001000000J7J 0514CUS-20438811               ICASESF14BBMT
NAUT8008521307201510301939ELED000001000000M9A 4416CUS-19859338               ICASESF14BBMT
NAUT8008521307201510301945ELED000001000000M4K 1416CUS-20438907               ICASESF14BBMT
NAUT8008521307201510301950ELED000001000000T8L 1780CUS-20438913               ICASESF14BBMT
NAUT8008521307201510301955ELED000001000000R3L 1204CUS-20438918               ICASESF14BBMT
NAUT8008521307201510302006ELED000001000000K7K 0613CUS-20438927               ICASESF14BBMT
NAUT8008521307201510302011ELED000001000000L9T 7647CUS-20438932               ICASESF14BBMT
NAUT8008521307201510302016ELED000001000000J4Y 3514CUS-20438940               ICASESF14BBMT
NAUT8008521307201510302103ELED000001000000T5R 5780CUS-20438981               ICASESF14BBMT
NAUT8008521307201510302141ELED000001000000V2G 0604CUS-20439012               ICASESF14BBMT
