CA Electronic Short Form Leads
NAUT8006149233201510021312ELED000001000000E4P 1506CUS-20408861               icastsf12bTRC
NAUT8006516382201510020912ELED000001000000L0M 1705CUS-20408692               ICASESF14ABMT
NAUT8006516382201510021016ELED000001000000T6J 4780CUS-20408744               ICASESF14ABMT
NAUT8006516382201510021149ELED000001000000T0H 1403CUS-20408806               ICASESF14ABMT
NAUT8006516382201510021256ELED000001000000T0G 1905CUS-20408845               ICASESF14ABMT
NAUT8006516382201510021301ELED000001000000T6J 5780CUS-20408848               ICASESF14ABMT
NAUT8006516382201510021321ELED000001000000L3Y 4416CUS-20408867               ICASESF14ABMT
NAUT8006516382201510021325ELED000001000000T1S 1403CUS-20408877               ICASESF14ABMT
NAUT8006516382201510021329ELED000001000000V0E 1778CUS-20408879               ICASESF14ABMT
NAUT8007781519201510020322ELED000001000000L6P 2905CUS-20408522               ICASTSF15BTRC
NAUT8007781519201510020754ELED000001000000M4A 2647CUS-20408621               ICASTSF15BTRC
NAUT8007781519201510021416ELED000001000000H9H 1514CUS-20408912               ICASTSF15BTRC
NAUT8007781519201510021452ELED000001000000L8J 3905CUS-20408934               ICASTSF15BTRC
NAUT8007781519201510021544ELED000001000000L2R 6905CUS-20408967               ICASTSF15BTRC
NAUT8007781519201510021745ELED000001000000L3M 2905CUS-20409043               ICASTSF15BTRC
NAUT8007781519201510021748ELED000001000000G0G 2418CUS-20409045               ICASTSF15BTRC
NAUT8007781519201510021836ELED000001000000A1G 1709CUS-20409072               ICASTSF15BTRC
NAUT8007781519201510021916ELED000001000000L1C 4905CUS-20409091               ICASTSF15BTRC
NAUT8007781519201510021928ELED000001000000H8T 2514CUS-20409105               ICASTSF15BTRC
NAUT8007781519201510022056ELED000001000000T4B 2403CUS-20409153               ICASTSF15BTRC
NAUT8007781519201510022100ELED000001000000T8R 0780CUS-20409157               ICASTSF15BTRC
NAUT8007781519201510022104ELED000001000000K7M 3613CUS-20409158               ICASTSF15BTRC
NAUT8007781519201510022108ELED000001000000K4K 1613CUS-20409161               ICASTSF15BTRC
NAUT8007781519201510022116ELED000001000000V1B 1778CUS-20409163               ICASTSF15BTRC
NAUT8007781519201510022136ELED000001000000V2J 2250CUS-20409172               ICASTSF15BTRC
NAUT8007781519201510022332ELED000001000000L4N 6416CUS-20409209               ICASTSF15BTRC
NAUT8008521307201510020706ELED000001000000J0K 1450CUS-20408586               ICASESF14BBMT
NAUT8008521307201510020952ELED000001000000L5G 3416CUS-20408723               ICASESF14BBMT
NAUT8008521307201510021130ELED000001000000L8T 1905CUS-20408793               ICASESF14BBMT
NAUT8008521307201510021137ELED000001000000V2Y 1604CUS-20408799               ICASESF14BBMT
NAUT8008521307201510021141ELED000001000000V8A 5604CUS-20408801               ICASESF14BBMT
NAUT8008521307201510021237ELED000001000000N7S 3519CUS-20408836               ICASESF14BBMT
NAUT8008521307201510021637ELED000001000000L9N 0647CUS-20409002               ICASESF14BBMT
NAUT8008521307201510021701ELED000001000000V2E 2250CUS-20409019               ICASESF14BBMT
NAUT8008521307201510022041ELED000001000000S6V 3306CUS-20409146               ICASESF14BBMT
NAUT8008521307201510022257ELED000001000000R2P 2204CUS-20409201               ICASESF14BBMT
NAUT8009526812201510022156ELED000001000000V8C 1778CUS-20409182               icastsf09buytcTRC
