CA Electronic Short Form Leads
NAUT8006149233201411231945ELED000001000000N3B 1519CUS-19824607               icastsf12bTRC
NAUT8006188853201411230622ELED000001000000L1E 1289CUS-19822222               SAWWEBBFBFX
NAUT8006516382201411230023ELED000001000000L9C 6905CUS-19821880               ICASESF14ABMT
NAUT8006516382201411230024ELED000001000000T3M 1587CUS-19821884               ICASESF14ABMT
NAUT8006516382201411230024ELED000001000000T6J 2780CUS-19821882               ICASESF14ABMT
NAUT8006516382201411230027ELED000001000000T1R 0403CUS-19821901               ICASESF14ABMT
NAUT8006516382201411230104ELED000001000000V8B 0604CUS-19822006               ICASESF14ABMT
NAUT8006516382201411230105ELED000001000000V1J 0604CUS-19822013               ICASESF14ABMT
NAUT8006516382201411230106ELED000001000000N4S 5519CUS-19822014               ICASESF14ABMT
NAUT8006516382201411230258ELED000001000000N7M 5519CUS-19822130               ICASESF14ABMT
NAUT8006516382201411230545ELED000001000000R4G 0204CUS-19822191               ICASESF14ABMT
NAUT8006516382201411230613ELED000001000000L3P 7647CUS-19822209               ICASESF14ABMT
NAUT8006516382201411230650ELED000001000000J3L 0450CUS-19822282               ICASESF14ABMT
NAUT8006516382201411230707ELED000001000000K7R 2613CUS-19822330               ICASESF14ABMT
NAUT8006516382201411230707ELED000001000000L8H 6905CUS-19822331               ICASESF14ABMT
NAUT8006516382201411230742ELED000001000000L6M 3416CUS-19822397               ICASESF14ABMT
NAUT8006516382201411230747ELED000001000000E7H 1506CUS-19822416               ICASESF14ABMT
NAUT8006516382201411230748ELED000001000000L4J 7905CUS-19822421               ICASESF14ABMT
NAUT8006516382201411230748ELED000001000000L4L 8905CUS-19822423               ICASESF14ABMT
NAUT8006516382201411230748ELED000001000000M8V 1416CUS-19822422               ICASESF14ABMT
NAUT8006516382201411230748ELED000001000000P3B 3705CUS-19822419               ICASESF14ABMT
NAUT8006516382201411230749ELED000001000000L1X 2905CUS-19822424               ICASESF14ABMT
NAUT8006516382201411230749ELED000001000000L9S 0705CUS-19822425               ICASESF14ABMT
NAUT8006516382201411230804ELED000001000000M3N 2647CUS-19822464               ICASESF14ABMT
NAUT8006516382201411230818ELED000001000000L6L 0647CUS-19822498               ICASESF14ABMT
NAUT8006516382201411230902ELED000001000000J1E 3819CUS-19822606               ICASESF14ABMT
NAUT8006516382201411230902ELED000001000000J7N 1450CUS-19822607               ICASESF14ABMT
NAUT8006516382201411230903ELED000001000000L6Y 3647CUS-19822609               ICASESF14ABMT
NAUT8006516382201411230903ELED000001000000L9W 4519CUS-19822608               ICASESF14ABMT
NAUT8006516382201411230904ELED000001000000T2Z 4403CUS-19822610               ICASESF14ABMT
NAUT8006516382201411230912ELED000001000000L6H 6905CUS-19822620               ICASESF14ABMT
NAUT8006516382201411230948ELED000001000000N1R 6519CUS-19575109               ICASESF14ABMT
NAUT8006516382201411230948ELED000001000000S0C 0306CUS-19822690               ICASESF14ABMT
NAUT8006516382201411230949ELED000001000000S0J 1306CUS-19822691               ICASESF14ABMT
NAUT8006516382201411230949ELED000001000000T3K 4403CUS-19822692               ICASESF14ABMT
NAUT8006516382201411231009ELED000001000000T6W 1587CUS-19822751               ICASESF14ABMT
NAUT8006516382201411231009ELED000001000000V4V 2778CUS-19822747               ICASESF14ABMT
NAUT8006516382201411231118ELED000001000000T9K 2250CUS-19822985               ICASESF14ABMT
NAUT8006516382201411231217ELED000001000000K6J 3613CUS-19823096               ICASESF14ABMT
NAUT8006516382201411231217ELED000001000000L9T 0416CUS-19823098               ICASESF14ABMT
NAUT8006516382201411231229ELED000001000000M1N 3647CUS-19823115               ICASESF14ABMT
NAUT8006516382201411231249ELED000001000000T3E 0403CUS-19823158               ICASESF14ABMT
NAUT8006516382201411231250ELED000001000000S0E 0306CUS-19823163               ICASESF14ABMT
NAUT8006516382201411231250ELED000001000000S0E 1306CUS-19823160               ICASESF14ABMT
NAUT8006516382201411231250ELED000001000000T1G 2403CUS-19823161               ICASESF14ABMT
NAUT8006516382201411231251ELED000001000000H9H 4514CUS-19823165               ICASESF14ABMT
NAUT8006516382201411231325ELED000001000000V0H 1250CUS-19823272               ICASESF14ABMT
NAUT8006516382201411231427ELED000001000000T4H 1403CUS-19823557               ICASESF14ABMT
NAUT8006516382201411231438ELED000001000000N0R 1519CUS-19823613               ICASESF14ABMT
NAUT8006516382201411231438ELED000001000000V3H 1604CUS-19823612               ICASESF14ABMT
NAUT8006516382201411231438ELED000001000000V3H 1604CUS-19823612               ICASESF14ATRC
NAUT8006516382201411231438ELED000001000000V3V 3778CUS-19823611               ICASESF14ABMT
NAUT8006516382201411231514ELED000001000000T7P 2780CUS-19823752               ICASESF14ABMT
NAUT8006516382201411231519ELED000001000000T2Z 1403CUS-19823766               ICASESF14ABMT
NAUT8006516382201411231519ELED000001000000T8N 1679CUS-19823767               ICASESF14ABMT
NAUT8006516382201411231537ELED000001000000E2N 2506CUS-19823833               ICASESF14ABMT
NAUT8006516382201411231537ELED000001000000J4Y 0438CUS-19823834               ICASESF14ABMT
NAUT8006516382201411231540ELED000001000000T5Z 2780CUS-19823854               ICASESF14ABMT
NAUT8006516382201411231546ELED000001000000J7J 0514CUS-19823885               ICASESF14ABMT
NAUT8006516382201411231709ELED000001000000V9P 2250CUS-19824175               ICASESF14ABMT
NAUT8006516382201411231759ELED000001000000J0M 1819CUS-19824365               ICASESF14ABMT
NAUT8006516382201411231759ELED000001000000T2G 3403CUS-19824367               ICASESF14ABMT
NAUT8006516382201411231759ELED000001000000T4B 3403CUS-19824369               ICASESF14ABMT
NAUT8006516382201411231822ELED000001000000H3A 0514CUS-19824427               ICASESF14ABMT
NAUT8006516382201411232033ELED000001000000T2X 0403CUS-19824696               ICASESF14ABMT
NAUT8006516382201411232033ELED000001000000T6L 3780CUS-19824695               ICASESF14ABMT
NAUT8006516382201411232036ELED000001000000T6L 3780CUS-19824695               ICASESF14ATRC
NAUT8006516382201411232229ELED000001000000N3T 5519CUS-19824829               ICASESF14ABMT
NAUT8006516382201411232229ELED000001000000T2B 1403CUS-19824828               ICASESF14ABMT
NAUT8006516382201411232229ELED000001000000V2V 2778CUS-19824830               ICASESF14ABMT
NAUT8006516382201411232246ELED000001000000G1E 5418CUS-19824844               ICASESF14ABMT
NAUT8006516382201411232246ELED000001000000L0S 1905CUS-19824843               ICASESF14ABMT
NAUT8006516382201411232247ELED000001000000T0E 0780CUS-19824846               ICASESF14ABMT
NAUT8006516382201411232247ELED000001000000T3G 0403CUS-19824847               ICASESF14ABMT
NAUT8006516382201411232259ELED000001000000N5P 4519CUS-19824857               ICASESF14ABMT
NAUT8006566629201411231037ELED000001000000T9C 1780CUS-19822860               icastsf12aTRC
NAUT8006566629201411231038ELED000001000000V3M 6604CUS-19822866               icastsf12aTRC
NAUT8006566629201411231339ELED000001000000N4K 4519CUS-19823347               icastsf12aTRC
NAUT8006566629201411231359ELED000001000000A0E 2709CUS-19823430               icastsf12aTRC
NAUT8006566629201411231359ELED000001000000K9H 2705CUS-19823431               icastsf12aTRC
NAUT8006566629201411231359ELED000001000000L0L 1705CUS-19823429               icastsf12aTRC
NAUT8006566629201411231456ELED000001000000S0C 0306CUS-19823679               icastsf12aTRC
NAUT8006566629201411231457ELED000001000000T3G 4587CUS-19823680               icastsf12aTRC
NAUT8006566629201411231517ELED000001000000A0E 2709CUS-19823761               icastsf12aTRC
NAUT8006566629201411231518ELED000001000000H8S 1514CUS-19823765               icastsf12aTRC
NAUT8006566629201411231518ELED000001000000N0B 2519CUS-19823762               icastsf12aTRC
NAUT8008717837201411230359ELED000001000000P8N 2807CUS-19822152               ICASESF14CBMT
NAUT8009526812201411230027ELED000001000000L7A 2416CUS-19821904               icastsf09buytcTRC
NAUT8009526812201411230028ELED000001000000V9R 1250CUS-19821905               icastsf09buytcTRC
NAUT8009526812201411230545ELED000001000000H7N 4450CUS-19822189               icastsf09buytcTRC
NAUT8009526812201411230545ELED000001000000L4G 7905CUS-19822190               icastsf09buytcTRC
NAUT8009526812201411230616ELED000001000000H7M 5514CUS-19822220               icastsf09buytcTRC
NAUT8009526812201411230616ELED000001000000L7E 1905CUS-19822221               icastsf09buytcTRC
NAUT8009526812201411230632ELED000001000000P0R 1705CUS-19822243               icastsf09buytcTRC
NAUT8009526812201411230707ELED000001000000L4R 4705CUS-19822329               icastsf09buytcTRC
NAUT8009526812201411230734ELED000001000000K7M 9613CUS-19822389               icastsf09buytcTRC
