CA Electronic Short Form Leads
NAUT8006149233201509220402ELED000001000000N9A 2519CUS-20398244               icastsf12bTRC
NAUT8006516382201509220917ELED000001000000K0A 1613CUS-20398506               ICASESF14ABMT
NAUT8006516382201509221140ELED000001000000L6Y 2647CUS-20398678               ICASESF14ABMT
NAUT8007781519201509220340ELED000001000000A0E 2709CUS-20398238               ICASTSF15BTRC
NAUT8007781519201509220821ELED000001000000K0G 1613CUS-20398435               ICASTSF15BTRC
NAUT8007781519201509220825ELED000001000000R2J 1204CUS-20398442               ICASTSF15BTRC
NAUT8007781519201509220918ELED000001000000J3M 1450CUS-20398507               ICASTSF15BTRC
NAUT8007781519201509220953ELED000001000000B3G 1902CUS-20398539               ICASTSF15BTRC
NAUT8007781519201509221056ELED000001000000A1N 2709CUS-20398627               ICASTSF15BTRC
NAUT8007781519201509221246ELED000001000000K0A 1613CUS-20167170               ICASTSF15BTRC
NAUT8007781519201509221321ELED000001000000T8V 1613CUS-20398776               ICASTSF15BTRC
NAUT8007781519201509221453ELED000001000000R7A 4204CUS-20398866               ICASTSF15BTRC
NAUT8007781519201509221501ELED000001000000T1P 1587CUS-20398876               ICASTSF15BTRC
NAUT8007781519201509221706ELED000001000000B0S 1902CUS-20398984               ICASTSF15BTRC
NAUT8007781519201509221709ELED000001000000V1T 3250CUS-20398988               ICASTSF15BTRC
NAUT8007781519201509221711ELED000001000000V0C 1250CUS-20398991               ICASTSF15BTRC
NAUT8007781519201509221711ELED000001000000V3R 1604CUS-20398992               ICASTSF15BTRC
NAUT8007781519201509222153ELED000001000000T0G 1780CUS-20399220               ICASTSF15BTRC
NAUT8007781519201509222326ELED000001000000P9N 3807CUS-20399237               ICASTSF15BTRC
NAUT8008521307201509220503ELED000001000000R0A 0204CUS-20398257               ICASESF14BBMT
NAUT8008521307201509220610ELED000001000000T9K 2780CUS-20398290               ICASESF14BBMT
NAUT8008521307201509220828ELED000001000000P0M 3705CUS-20398447               ICASESF14BBMT
NAUT8008521307201509220830ELED000001000000M9R 1416CUS-20398452               ICASESF14BBMT
NAUT8008521307201509221336ELED000001000000T3H 5403CUS-20398793               ICASESF14BBMT
NAUT8008521307201509221400ELED000001000000T3H 5403CUS-20398816               ICASESF14BBMT
NAUT8008521307201509221717ELED000001000000L7E 1647CUS-20398995               ICASESF14BBMT
NAUT8008521307201509221953ELED000001000000S0M 0306CUS-20399122               ICASESF14BBMT
NAUT8008521307201509222017ELED000001000000T0A 2780CUS-20399140               ICASESF14BBMT
NAUT8008521307201509222058ELED000001000000K0A 2613CUS-20399183               ICASESF14BBMT
