CA Electronic Short Form Leads
NAUT8006149233201505181117ELED000001000000N0P 1519CUS-20224493               icastsf12bTRC
NAUT8006566629201505181836ELED000001000000N3L 4519CUS-20225249               icastsf12aTRC
NAUT8007781519201505180245ELED000001000000T3R 0403CUS-20223920               ICASTSF15BTRC
NAUT8007781519201505180521ELED000001000000K8H 1613CUS-20223952               ICASTSF15BTRC
NAUT8007781519201505180531ELED000001000000L1K 1289CUS-20223956               ICASTSF15BTRC
NAUT8007781519201505180601ELED000001000000R0G 2204CUS-20223974               ICASTSF15BTRC
NAUT8007781519201505180909ELED000001000000R5G 1204CUS-20224201               ICASTSF15BTRC
NAUT8007781519201505180940ELED000001000000V9Y 2250CUS-20224269               ICASTSF15BTRC
NAUT8007781519201505181020ELED000001000000M9C 4416CUS-20224353               ICASTSF15BTRC
NAUT8007781519201505181020ELED000001000000N2T 0226CUS-20224355               ICASTSF15BTRC
NAUT8007781519201505181020ELED000001000000S0N 2306CUS-20224352               ICASTSF15BTRC
NAUT8007781519201505181044ELED000001000000J0K 1819CUS-20224413               ICASTSF15BTRC
NAUT8007781519201505181056ELED000001000000L4N 8705CUS-20224442               ICASTSF15BTRC
NAUT8007781519201505181105ELED000001000000L7A 1905CUS-20224463               ICASTSF15BTRC
NAUT8007781519201505181106ELED000001000000N3P 1519CUS-20224464               ICASTSF15BTRC
NAUT8007781519201505181117ELED000001000000V7C 5604CUS-20224494               ICASTSF15BTRC
NAUT8007781519201505181125ELED000001000000N9G 3519CUS-20224514               ICASTSF15BTRC
NAUT8007781519201505181203ELED000001000000N5W 3519CUS-20224623               ICASTSF15BTRC
NAUT8007781519201505181208ELED000001000000J9X 6819CUS-20224635               ICASTSF15BTRC
NAUT8007781519201505181307ELED000001000000L2M 6289CUS-20224756               ICASTSF15BTRC
NAUT8007781519201505181332ELED000001000000J9A 1819CUS-20224806               ICASTSF15BTRC
NAUT8007781519201505181358ELED000001000000S0M 1306CUS-20224863               ICASTSF15BTRC
NAUT8007781519201505181359ELED000001000000R3X 0204CUS-20224865               ICASTSF15BTRC
NAUT8007781519201505181359ELED000001000000V3C 5604CUS-20224866               ICASTSF15BTRC
NAUT8007781519201505181404ELED000001000000T4R 0403CUS-20224881               ICASTSF15BTRC
NAUT8007781519201505181408ELED000001000000T0M 2403CUS-20224887               ICASTSF15BTRC
NAUT8007781519201505181456ELED000001000000J0E 2450CUS-20224974               ICASTSF15BTRC
NAUT8007781519201505181542ELED000001000000J9P 4819CUS-20225021               ICASTSF15BTRC
NAUT8007781519201505181632ELED000001000000V7E 5604CUS-20225092               ICASTSF15BTRC
NAUT8007781519201505181636ELED000001000000V5N 1604CUS-20225099               ICASTSF15BTRC
NAUT8007781519201505181641ELED000001000000K9H 6CUS-20225110               ICASTSF15BTRC
NAUT8007781519201505181643ELED000001000000V8Z 0250CUS-20225113               ICASTSF15BTRC
NAUT8007781519201505181741ELED000001000000L5M 5905CUS-20225196               ICASTSF15BTRC
NAUT8007781519201505181832ELED000001000000P0C 1705CUS-20225242               ICASTSF15BTRC
NAUT8007781519201505181835ELED000001000000K0C 1613CUS-20225246               ICASTSF15BTRC
NAUT8007781519201505181836ELED000001000000P0R 1705CUS-20225247               ICASTSF15BTRC
NAUT8007781519201505181856ELED000001000000L6L 5416CUS-20225270               ICASTSF15BTRC
NAUT8007781519201505181858ELED000001000000N1G 2519CUS-20225275               ICASTSF15BTRC
NAUT8007781519201505181858ELED000001000000T6J 5780CUS-20225274               ICASTSF15BTRC
NAUT8007781519201505181859ELED000001000000T8W 5780CUS-20225276               ICASTSF15BTRC
NAUT8007781519201505181900ELED000001000000J0J 1514CUS-20225281               ICASTSF15BTRC
NAUT8007781519201505181901ELED000001000000A1A 3709CUS-20225283               ICASTSF15BTRC
NAUT8007781519201505181902ELED000001000000V0K 2250CUS-20225286               ICASTSF15BTRC
NAUT8007781519201505181903ELED000001000000T7Z 1780CUS-20225288               ICASTSF15BTRC
NAUT8007781519201505181907ELED000001000000N0H 2519CUS-20225295               ICASTSF15BTRC
NAUT8007781519201505181910ELED000001000000E1C 9506CUS-20225304               ICASTSF15BTRC
NAUT8007781519201505181910ELED000001000000R8A 0204CUS-20225300               ICASTSF15BTRC
NAUT8007781519201505181910ELED000001000000T4H 1403CUS-20225301               ICASTSF15BTRC
NAUT8007781519201505181912ELED000001000000L8E 2905CUS-20225309               ICASTSF15BTRC
NAUT8007781519201505181918ELED000001000000A5A 1709CUS-20225316               ICASTSF15BTRC
