CA Electronic Short Form Leads
NAUT8006149233201412022245ELED000001000000V2K 1250CUS-19851963               icastsf12bTRC
NAUT8006516382201412020438ELED000001000000T3M 0403CUS-19849014               ICASESF14ABMT
NAUT8006516382201412020731ELED000001000000A0E 2709CUS-19849374               ICASESF14ABMT
NAUT8006516382201412021005ELED000001000000G2E 6418CUS-19849842               ICASESF14ABMT
NAUT8006516382201412021005ELED000001000000T3C 1403CUS-19849844               ICASESF14ABMT
NAUT8006516382201412021308ELED000001000000T2Y 3403CUS-19850488               ICASESF14ABMT
NAUT8006516382201412021448ELED000001000000B0J 2902CUS-19850773               ICASESF14ABMT
NAUT8006516382201412021448ELED000001000000E5N 6506CUS-19850774               ICASESF14ABMT
NAUT8006516382201412021505ELED000001000000L1V 1416CUS-19850814               ICASESF14ABMT
NAUT8006516382201412021720ELED000001000000N0G 1519CUS-19851202               ICASESF14ABMT
NAUT8006516382201412021911ELED000001000000Y1A 6867CUS-13185963               ICASESF14ABMT
NAUT8006516382201412021927ELED000001000000T4B 3403CUS-19851532               ICASESF14ABMT
NAUT8006516382201412021927ELED000001000000T4N 1403CUS-19851534               ICASESF14ABMT
NAUT8006516382201412022125ELED000001000000T3A 5403CUS-19851828               ICASESF14ABMT
NAUT8006516382201412022207ELED000001000000T7A 1780CUS-19851917               ICASESF14ABMT
NAUT8006516382201412022245ELED000001000000T5W 3780CUS-19851962               ICASESF14ABMT
NAUT8006566629201412021156ELED000001000000K2J 5819CUS-19850266               icastsf12aTRC
NAUT8006566629201412021157ELED000001000000N7S 4226CUS-19850271               icastsf12aTRC
NAUT8006566629201412021157ELED000001000000S0H 2306CUS-19850270               icastsf12aTRC
NAUT8006566629201412021157ELED000001000000T0H 1780CUS-19850268               icastsf12aTRC
NAUT8006566629201412021449ELED000001000000E7M 2506CUS-19850778               icastsf12aTRC
NAUT8006566629201412021449ELED000001000000K0L 2613CUS-19850777               icastsf12aTRC
NAUT8006566629201412021505ELED000001000000N7V 3519CUS-19850818               icastsf12aTRC
NAUT8006566629201412021535ELED000001000000L3B 3289CUS-19850893               icastsf12aTRC
NAUT8006566629201412021705ELED000001000000E3B 9506CUS-19851165               icastsf12aTRC
NAUT8006566629201412021721ELED000001000000H7X 3450CUS-19851203               icastsf12aTRC
NAUT8006566629201412021721ELED000001000000T4C 2403CUS-19851205               icastsf12aTRC
NAUT8006566629201412021806ELED000001000000J0T 1514CUS-19851307               icastsf12aTRC
NAUT8008717837201412021030ELED000001000000T7A 1CUS-19849940               ICASESF14CBMT
NAUT8008717837201412021121ELED000001000000T7E 1780CUS-19850126               ICASESF14CBMT
NAUT8008717837201412021232ELED000001000000N0A 1CUS-19850383               ICASESF14CBMT
NAUT8009526812201412020731ELED000001000000K0H 1613CUS-19849375               icastsf09buytcTRC
NAUT8009526812201412020934ELED000001000000L6A 1416CUS-19849730               icastsf09buytcTRC
NAUT8009526812201412021025ELED000001000000P0H 1705CUS-19849906               icastsf09buytcTRC
NAUT8009526812201412021055ELED000001000000L6Y 1647CUS-19850019               icastsf09buytcTRC
NAUT8009526812201412021220ELED000001000000G1X 1418CUS-19850348               icastsf09buytcTRC
NAUT8009526812201412021409ELED000001000000L8J 2289CUS-19850684               icastsf09buytcTRC
NAUT8009526812201412021417ELED000001000000T1R 1403CUS-19850705               icastsf09buytcTRC
NAUT8009526812201412021448ELED000001000000A0P 1709CUS-19850776               icastsf09buytcTRC
NAUT8009526812201412021523ELED000001000000T9E 4780CUS-19850865               icastsf09buytcTRC
NAUT8009526812201412021524ELED000001000000T2Z 4403CUS-19850868               icastsf09buytcTRC
NAUT8009526812201412021620ELED000001000000E4B 3506CUS-19851035               icastsf09buytcTRC
NAUT8009526812201412021704ELED000001000000L1Z 1613CUS-19851163               icastsf09buytcTRC
NAUT8009526812201412021721ELED000001000000S9H 1306CUS-19851204               icastsf09buytcTRC
NAUT8009526812201412021928ELED000001000000S7H 4306CUS-19851536               icastsf09buytcTRC
NAUT8009526812201412021945ELED000001000000T8N 6780CUS-19851597               icastsf09buytcTRC
NAUT8009526812201412021945ELED000001000000V0R 2250CUS-19851600               icastsf09buytcTRC
NAUT8009526812201412022007ELED000001000000V9N 9254CUS-19851653               icastsf09buytcTRC
NAUT8009526812201412022010ELED000001000000T1Y 1403CUS-19851662               icastsf09buytcTRC
NAUT8009526812201412022034ELED000001000000V2X 4778CUS-19851707               icastsf09buytcTRC
NAUT8009526812201412022110ELED000001000000V0K 1778CUS-19851786               icastsf09buytcTRC
NAUT8009526812201412022150ELED000001000000V3S 2604CUS-19851878               icastsf09buytcTRC
