US Short Form Leads
NAUT8002405261201503122340LEAD00000100000028215980CUS-20133159               FOX*NVODALOHATICTRC
NAUT8002431011201503130530LEAD00000100000035674256CUS-20133338               INSPN180WALKATICTRC
NAUT8002542818201503120659LEAD00000100000039083601CUS-20132228               INSPN120ALOHATICTRC
NAUT8002542818201503120659LEAD00000100000072641870CUS-11399105               INSPN120ALOHATICTRC
NAUT8002542818201503120716LEAD00000100000031029478CUS-20132244               INSPN120ALOHATICTRC
NAUT8002542818201503120745LEAD00000100000070611337CUS-20132231               INSPN120ALOHATICTRC
NAUT8002580646201503121052LEAD00000100000060652773CUS-20132410               ION*N120ALOHATICTRC
NAUT8002580646201503121053LEAD00000100000035207205CUS-20132411               ION*N120ALOHATICTRC
NAUT8002580646201503121054LEAD00000100000037051615CUS-20132415               ION*N120ALOHATICTRC
NAUT8002580646201503121056LEAD00000100000030269770CUS-848867               ION*N120ALOHATICTRC
NAUT8002580646201503121056LEAD00000100000048111734CUS-20132420               ION*N120ALOHATICTRC
NAUT8002580646201503121056LEAD00000100000077486979CUS-20132418               ION*N120ALOHATICTRC
NAUT8002580646201503121143LEAD00000100000053219414CUS-20132515               ION*N120ALOHATICTRC
NAUT8002580646201503121144LEAD00000100000010029347CUS-20132518               ION*N120ALOHATICTRC
NAUT8002580646201503121159LEAD00000100000006226860CUS-20132536               ION*N120ALOHATICTRC
NAUT8002580646201503121159LEAD00000100000027820252CUS-20132537               ION*N120ALOHATICTRC
NAUT8002580646201503121200LEAD00000100000022079703CUS-20132539               ION*N120ALOHATICTRC
NAUT8002580646201503121200LEAD00000100000090745424CUS-20132540               ION*N120ALOHATICTRC
NAUT8002580646201503121345LEAD00000100000044203330CUS-20132668               ION*N120ALOHATICTRC
NAUT8002580646201503121354LEAD00000100000076384940CUS-20132676               ION*N120ALOHATICTRC
NAUT8002580646201503121354LEAD00000100000098387253CUS-20132675               ION*N120ALOHATICTRC
NAUT8002580646201503121408LEAD00000100000048228313CUS-20132685               ION*N120ALOHATICTRC
NAUT8002580646201503121408LEAD00000100000078061830CUS-20132686               ION*N120ALOHATICTRC
NAUT8002580646201503121429LEAD00000100000090250562CUS-19884225               ION*N120ALOHATICTRC
NAUT8002580646201503130620LEAD00000100000011980631CUS-20133359               ION*N120ALOHATICTRC
NAUT8002580646201503130620LEAD00000100000014613585CUS-20133362               ION*N120ALOHATICTRC
NAUT8002580646201503130621LEAD00000100000037302423CUS-20133360               ION*N120ALOHATICTRC
NAUT8002580646201503130650LEAD00000100000076240940CUS-20133383               ION*N120ALOHATICTRC
NAUT8002580646201503130654LEAD00000100000029471843CUS-20133384               ION*N120ALOHATICTRC
NAUT8002580646201503130721LEAD00000100000048141313CUS-20133412               ION*N120ALOHATICTRC
NAUT8002580646201503130722LEAD00000100000027350336CUS-20133413               ION*N120ALOHATICTRC
NAUT8002580646201503130723LEAD00000100000037015615CUS-19861091               ION*N120ALOHATICTRC
NAUT8002580646201503130724LEAD00000100000013206315CUS-20133417               ION*N120ALOHATICTRC
NAUT8002580646201503130727LEAD00000100000060491708CUS-20133419               ION*N120ALOHATICTRC
NAUT8002580646201503130922LEAD00000100000085326818CUS-20133537               ION*N120ALOHATICTRC
NAUT8002591694201503120514LEAD00000100000043209614CUS-20132187               METVN120ALOHATICTRC
NAUT8003359236201503120615LEAD00000100000078504956CUS-20132200               CNNNP60*GRT2HWSTTRC
NAUT8003359240201503120614LEAD00000100000090247310CUS-20132199               NBA*P60*GRT2HWSTTRC
NAUT8004367887201503121218LEAD00000100000093041805CUS-20065273               FOX*NVODBOBBITICBMT
NAUT8005050396201503121634LEAD00000100000002777508CUS-19957021               PALLN120BFMAXTICBMT
NAUT8005069231201503121456LEAD00000100000007042862CUS-20132736               VEL*N120BFMAXTICBMT
NAUT8005617572201503121630LEAD00000100000001060413CUS-20132832               VH1*L60*ALOHATICTRC
NAUT8006148456201503120112LEAD00000100000091932619CUS-20132154               FOX*NVODNOTSTTICBMT
NAUT8006148461201503121947LEAD00000100000028504252CUS-20133001               HMM*N120WLKNYTICTRC
NAUT8006167346201503120732LEAD00000100000005777802CUS-20132258               FX**NVODNOTSTTICBMT
NAUT8006520108201503120658LEAD00000100000026143304CUS-20132224               INSPN180ALOHATICTRC
NAUT8006520108201503121744LEAD00000100000022714540CUS-20132890               INSPN180ALOHATICTRC
