US Short Form Leads
NAUT8002035443201509220944LEAD00000100000075860254CUS-5153518               BRNGN120TCMOMTICTRC
NAUT8002479645201509220701LEAD00000100000011420917CUS-20398330               QUBON120TCMOMTICTRC
NAUT8002479645201509220818LEAD00000100000030013303CUS-20398429               QUBON120TCMOMTICTRC
NAUT8002542818201509220825LEAD00000100000028694336CUS-6240894               INSPN120ALOBYTICTRC
NAUT8002542818201509220825LEAD00000100000033523231CUS-20398439               INSPN120ALOBYTICTRC
NAUT8002542818201509221210LEAD00000100000028150704CUS-20398710               INSPN120ALOBYTICTRC
NAUT8002542818201509221825LEAD00000100000086445928CUS-20399052               INSPN120ALOBYTICTRC
NAUT8002580646201509220651LEAD00000100000028311910CUS-20398316               ION*N120ALOBYTICTRC
NAUT8002580646201509220653LEAD00000100000078229210CUS-20398317               ION*N120ALOBYTICTRC
NAUT8002580646201509220950LEAD00000100000097601541CUS-20398533               ION*N120ALOBYTICTRC
NAUT8002598587201509220848LEAD00000100000030032404CUS-20398472               HMM*N120WMNS*TICTRC
NAUT8002598587201509220848LEAD00000100000038827662CUS-20398474               HMM*N120WMNS*TICTRC
NAUT8002598587201509220900LEAD00000100000029044803CUS-20398491               HMM*N120WMNS*TICTRC
NAUT8002971376201509221113LEAD00000100000021207410CUS-20398636               GRITN120HAMBYTICBMT
NAUT8002971376201509221114LEAD00000100000027537252CUS-20398639               GRITN120HAMBYTICBMT
NAUT8002971376201509221114LEAD00000100000028401910CUS-20398637               GRITN120HAMBYTICBMT
NAUT8002971376201509221114LEAD00000100000090680714CUS-20398638               GRITN120HAMBYTICBMT
NAUT8002971376201509221114LEAD00000100000098118206CUS-13312932               GRITN120HAMBYTICBMT
NAUT8002971376201509221124LEAD00000100000091731909CUS-20398646               GRITN120HAMBYTICBMT
NAUT8002971376201509221140LEAD00000100000037129615CUS-20398676               GRITN120HAMBYTICBMT
NAUT8002971376201509221402LEAD00000100000092404909CUS-20398819               GRITN120HAMBYTICBMT
NAUT8002971376201509222137LEAD00000100000050021515CUS-20399210               GRITN120HAMBYTICBMT
NAUT8002971376201509222137LEAD00000100000070809941CUS-20399213               GRITN120HAMBYTICBMT
NAUT8003010502201509230237LEAD00000100000044481330CUS-20399250               FOX*NVODHAMF*TICBMT
NAUT8003759540201509230136LEAD00000100000061846217CUS-20399247               FOXNN120WMNS*TICTRC
NAUT8004262131201509220734LEAD00000100000023225804CUS-20398358               TESCN120WMNS*TICTRC
NAUT8004367530201509220603LEAD00000100000020747240CUS-20398287               JUSTN120HAMBYTICBMT
NAUT8004698619201509220538LEAD00000100000029556843CUS-20398277               NT06P60*ALOHATICTRC
NAUT8004743214201509220536LEAD00000100000095122408CUS-20398275               NT19P60*ALOHATICTRC
NAUT8004743214201509220537LEAD00000100000095122408CUS-20398276               NT19P60*ALOHATICTRC
NAUT8004768135201509221050LEAD00000100000074106918CUS-20398615               AMC*L60*ALOHATICTRC
NAUT8005276842201509221041LEAD00000100000032619352CUS-20398608               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509222138LEAD00000100000070115504CUS-20399214               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509222140LEAD00000100000067211316CUS-20399215               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509222140LEAD00000100000078130830CUS-306442               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509222339LEAD00000100000041168606CUS-20399239               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509222340LEAD00000100000059602406CUS-20399240               HMM*N5MINFIVE*TICTRC
NAUT8005383381201509221223LEAD00000100000095621916CUS-20398719               INSPN120WMNS*TICTRC
NAUT8005383381201509221825LEAD00000100000076002817CUS-20399053               INSPN120WMNS*TICTRC
NAUT8005383381201509221829LEAD00000100000048183 (7CUS-20399057               INSPN120WMNS*TICTRC
NAUT8006491651201509221141LEAD00000100000027810252CUS-20398679               SUNDN120HAMBYTICBMT
NAUT8006491651201509221142LEAD00000100000079938915CUS-20398681               SUNDN120HAMBYTICBMT
NAUT8006493521201509220925LEAD00000100000033301954CUS-20398511               H2**N180HAMF*TICBMT
NAUT8006493521201509221149LEAD00000100000045840419CUS-20398688               H2**N180HAMF*TICBMT
NAUT8006493521201509221224LEAD00000100000098499253CUS-20398720               H2**N180HAMF*TICBMT
NAUT8006508911201509220723LEAD00000100000087031505CUS-20398351               SPKEN120HAMBYTICBMT
NAUT8006508911201509221020LEAD00000100000097070971CUS-20398585               SPKEN120HAMBYTICBMT
NAUT8007075269201509221333LEAD00000100000041064606CUS-20398792               DISMN60*HAMF*TICBMT
