US Short Form Leads
NAUT8002433902201410211051LEAD00000100000049525616CUS-12722004               ARTLL60*NOTSTTICBMT
NAUT8002917847201410211435LEAD00000100000013084315CUS-19765290               ION*N120BFMAXTICBMT
NAUT8002917847201410211435LEAD00000100000018444570CUS-19765289               ION*N120BFMAXTICBMT
NAUT8002917847201410211436LEAD00000100000019139267CUS-19765294               ION*N120BFMAXTICBMT
NAUT8002917847201410211436LEAD00000100000053222104CUS-19765291               ION*N120BFMAXTICBMT
NAUT8002917847201410211437LEAD00000100000018706570CUS-19765298               ION*N120BFMAXTICBMT
NAUT8002917847201410211438LEAD00000100000010022212CUS-19765302               ION*N120BFMAXTICBMT
NAUT8002917847201410211438LEAD00000100000027981252CUS-19765299               ION*N120BFMAXTICBMT
NAUT8002917847201410211440LEAD00000100000003246603CUS-19765306               ION*N120BFMAXTICBMT
NAUT8002917847201410211440LEAD00000100000060626773CUS-19765307               ION*N120BFMAXTICBMT
NAUT8002917847201410211441LEAD00000100000028390910CUS-19765300               ION*N120BFMAXTICBMT
NAUT8002917847201410211443LEAD00000100000001702508CUS-19765295               ION*N120BFMAXTICBMT
NAUT8002917847201410211445LEAD00000100000064110816CUS-19765303               ION*N120BFMAXTICBMT
NAUT8002917847201410211448LEAD00000100000032087904CUS-19765296               ION*N120BFMAXTICBMT
NAUT8002917847201410211555LEAD00000100000018641570CUS-19765424               ION*N120BFMAXTICBMT
NAUT8002917847201410211555LEAD00000100000070002504CUS-19765425               ION*N120BFMAXTICBMT
NAUT8002917847201410211556LEAD00000100000010466718CUS-19765429               ION*N120BFMAXTICBMT
NAUT8002917847201410211736LEAD00000100000089046702CUS-19765561               ION*N120BFMAXTICBMT
NAUT8002917847201410211736LEAD00000100000094901415CUS-19765560               ION*N120BFMAXTICBMT
NAUT8002917847201410211736LEAD00000100000095035408CUS-19765563               ION*N120BFMAXTICBMT
NAUT8002917847201410211737LEAD00000100000094102415CUS-19765564               ION*N120BFMAXTICBMT
NAUT8002917847201410211738LEAD00000100000095127408CUS-19765567               ION*N120BFMAXTICBMT
NAUT8002917847201410211739LEAD00000100000090001323CUS-19765571               ION*N120BFMAXTICBMT
NAUT8002984976201410211233LEAD00000100000007028973CUS-19765108               FOX*NVODGRT2HTICTRC
NAUT8002984976201410212318LEAD00000100000087505505CUS-19765916               FOX*NVODGRT2HTICTRC
NAUT8003359240201410211758LEAD00000100000020743440CUS-19765604               NBA*P60*GRT2HWSTTRC
NAUT8003661911201410210251LEAD00000100000097439760CUS-19764510               SUNDN180BFMAXTICBMT
NAUT8003661911201410210352LEAD00000100000019560610CUS-19764519               SUNDN180BFMAXTICBMT
NAUT8003661911201410210654LEAD00000100000089107702CUS-19764587               SUNDN180BFMAXTICBMT
NAUT8003661911201410210910LEAD00000100000060187661CUS-19764757               SUNDN180BFMAXTICBMT
NAUT8003667015201410210731LEAD00000100000033036936CUS-19764614               VEL*N180BFMAXTICBMT
NAUT8003667015201410210731LEAD00000100000048738989CUS-19764615               VEL*N180BFMAXTICBMT
NAUT8003667015201410210740LEAD00000100000063103314CUS-19764624               VEL*N180BFMAXTICBMT
NAUT8003667015201410210753LEAD00000100000032927321CUS-19764640               VEL*N180BFMAXTICBMT
NAUT8004365437201410211341LEAD00000100000015223412CUS-19765216               PUREN180BFMAXTICBMT
NAUT8004365437201410211721LEAD00000100000021040443CUS-19765541               PUREN180BFMAXTICBMT
NAUT8004366055201410210808LEAD00000100000063020636CUS-19764658               DTVAL60*WALKATICTRC
NAUT8004366055201410210813LEAD00000100000030233770CUS-19764665               DTVAL60*WALKATICTRC
NAUT8004366055201410210838LEAD00000100000038018901CUS-19764686               DTVAL60*WALKATICTRC
NAUT8004366634201410211256LEAD00000100000075230214CUS-19715644               IONLN180WALKATICTRC
NAUT8004366634201410211302LEAD00000100000015210412CUS-19765154               IONLN180WALKATICTRC
NAUT8004399230201410211133LEAD00000100000008060609CUS-19764989               INSPN120GRT2HTICTRC
NAUT8004400559201410210054LEAD00000100000061265972CUS-19764494               FOXNN120GRT2HTICTRC
NAUT8004400576201410210634LEAD00000100000046802260CUS-19764565               FYI*N120GRT2HTICTRC
NAUT8004400576201410211159LEAD00000100000077020713CUS-19765038               FYI*N120GRT2HTICTRC
NAUT8004416283201410211253LEAD00000100000018411302CUS-19765144               PUREN180GRT2HTICTRC
NAUT8004416283201410212357LEAD00000100000090650562CUS-19765924               PUREN180GRT2HTICTRC
NAUT8004463458201410211556LEAD00000100000011694718CUS-19765428               CMGNP60*GRT2HWSTTRC
NAUT8004669741201410210703LEAD00000100000033319954CUS-19764592               SUNDN120GENTSTICTRC
NAUT8004669741201410210705LEAD00000100000038506931CUS-19764593               SUNDN120GENTSTICTRC
NAUT8004669741201410211043LEAD00000100000096020530CUS-19673737               SUNDN120GENTSTICTRC
NAUT8004669741201410211044LEAD00000100000033837407CUS-19764897               SUNDN120GENTSTICTRC
NAUT8004669741201410211044LEAD00000100000050554712CUS-19764902               SUNDN120GENTSTICTRC
NAUT8004669741201410211044LEAD00000100000087825CUS-19764900               SUNDN120GENTSTICTRC
NAUT8004669741201410211045LEAD00000100000097447541CUS-19764903               SUNDN120GENTSTICTRC
NAUT8004669741201410211046LEAD00000100000010705914CUS-19764904               SUNDN120GENTSTICTRC
NAUT8004669741201410211324LEAD00000100000059101406CUS-19765190               SUNDN120GENTSTICTRC
NAUT8004669741201410211325LEAD00000100000087420505CUS-19765194               SUNDN120GENTSTICTRC
NAUT8004669741201410211326LEAD00000100000037615423CUS-19765191               SUNDN120GENTSTICTRC
NAUT8004669741201410211329LEAD00000100000075228214CUS-19765201               SUNDN120GENTSTICTRC
NAUT8004669741201410211430LEAD00000100000011385718CUS-19765281               SUNDN120GENTSTICTRC
NAUT8004669741201410211948LEAD00000100000047905765CUS-19765771               SUNDN120GENTSTICTRC
NAUT8004731128201410211550LEAD00000100000014616585CUS-19765413               ION*L60*GRT2HTICTRC
NAUT8004731128201410211550LEAD00000100000022630540CUS-19765412               ION*L60*GRT2HTICTRC
NAUT8004731128201410211550LEAD00000100000027807252CUS-19765414               ION*L60*GRT2HTICTRC
NAUT8004731128201410211550LEAD00000100000074464620CUS-19765410               ION*L60*GRT2HTICTRC
NAUT8004731128201410211552LEAD00000100000037918865CUS-19765416               ION*L60*GRT2HTICTRC
NAUT8004731128201410211655LEAD00000100000080654970CUS-19765506               ION*L60*GRT2HTICTRC
NAUT8004760480201410211857LEAD00000100000063390314CUS-19765675               INSPN180GRT2HTICTRC
NAUT8004760480201410211858LEAD00000100000040741606CUS-19765678               INSPN180GRT2HTICTRC
