US Short Form Leads
NAUT8002035443201509010912LEAD00000100000011779631CUS-20370743               BRNGN120TCMOMTICTRC
NAUT8002479645201509011045LEAD00000100000085020623CUS-20370878               QUBON120TCMOMTICTRC
NAUT8002479645201509011159LEAD00000100000064136816CUS-20370972               QUBON120TCMOMTICTRC
NAUT8002479645201509011202LEAD00000100000032210904CUS-20370975               QUBON120TCMOMTICTRC
NAUT8002481408201509010632LEAD00000100000028411606CUS-20370549               ION*N120WMNS*TICTRC
NAUT8002481408201509010634LEAD00000100000013206315CUS-20370558               ION*N120WMNS*TICTRC
NAUT8002481408201509010634LEAD00000100000027295336CUS-20370557               ION*N120WMNS*TICTRC
NAUT8002481408201509010634LEAD00000100000046319219CUS-20370556               ION*N120WMNS*TICTRC
NAUT8002481408201509010634LEAD00000100000075169469CUS-20370560               ION*N120WMNS*TICTRC
NAUT8002481408201509010635LEAD00000100000035215205CUS-20370561               ION*N120WMNS*TICTRC
NAUT8002528750201509011026LEAD00000100000045042513CUS-20080743               OWN*N180HAMF*TICBMT
NAUT8002542818201509010756LEAD00000100000014855607CUS-20370647               INSPN120ALOBYTICTRC
NAUT8002542818201509011608LEAD00000100000032564850CUS-20313713               INSPN120ALOBYTICTRC
NAUT8002542818201509011611LEAD00000100000035204205CUS-20371304               INSPN120ALOBYTICTRC
NAUT8002580646201509011105LEAD00000100000090601562CUS-20370906               ION*N120ALOBYTICTRC
NAUT8002591694201509011245LEAD00000100000033952941CUS-20371042               METVN120ALOBYTICTRC
NAUT8002591694201509011342LEAD00000100000078583956CUS-20371123               METVN120ALOBYTICTRC
NAUT8002591694201509011343LEAD00000100000054968920CUS-20371126               METVN120ALOBYTICTRC
NAUT8002591694201509011344LEAD00000100000062708217CUS-20371130               METVN120ALOBYTICTRC
NAUT8002591694201509011346LEAD00000100000046321847CUS-20371132               METVN120ALOBYTICTRC
NAUT8002591694201509011346LEAD00000100000053154414CUS-20371133               METVN120ALOBYTICTRC
NAUT8002591694201509011445LEAD00000100000087031505CUS-20371212               METVN120ALOBYTICTRC
NAUT8002591694201509011505LEAD00000100000027260336CUS-20371243               METVN120ALOBYTICTRC
NAUT8002591694201509011547LEAD00000100000079924915CUS-20371281               METVN120ALOBYTICTRC
NAUT8002591694201509011644LEAD00000100000092553951CUS-20371341               METVN120ALOBYTICTRC
NAUT8002598587201509010805LEAD00000100000008097856CUS-20370658               HMM*N120WMNS*TICTRC
NAUT8002598587201509010848LEAD00000100000046374219CUS-20370718               HMM*N120WMNS*TICTRC
NAUT8002598587201509010848LEAD00000100000093669559CUS-20370719               HMM*N120WMNS*TICTRC
NAUT8003540108201509010036LEAD00000100000077054817CUS-20370441               TNT*N60*WALKATICTRC
NAUT8003540108201509010334LEAD00000100000099687907CUS-19815487               TNT*N60*WALKATICTRC
NAUT8003540108201509010932LEAD00000100000030213619CUS-20063426               TNT*N60*WLKNYTICTRC
NAUT8003540108201509010934LEAD00000100000061410309CUS-20370773               TNT*N60*WALKATICTRC
NAUT8003773625201509010431LEAD00000100000060626773CUS-20370483               METVN120WMNS*TICTRC
NAUT8003773625201509011414LEAD00000100000079714432CUS-20371163               METVN120WMNS*TICTRC
NAUT8003773625201509011416LEAD00000100000014206716CUS-20371165               METVN120WMNS*TICTRC
NAUT8003773625201509011416LEAD00000100000029461843CUS-20371168               METVN120WMNS*TICTRC
NAUT8003773625201509011416LEAD00000100000037363423CUS-20371169               METVN120WMNS*TICTRC
NAUT8003773625201509011416LEAD00000100000045324937CUS-20371167               METVN120WMNS*TICTRC
NAUT8003773625201509011417LEAD00000100000002769508CUS-20371172               METVN120WMNS*TICTRC
NAUT8003773625201509011417LEAD00000100000013142315CUS-20371170               METVN120WMNS*TICTRC
NAUT8003773625201509011417LEAD00000100000050315515CUS-20371166               METVN120WMNS*TICTRC
NAUT8003773625201509011714LEAD00000100000098590360CUS-20371371               METVN120WMNS*TICTRC
NAUT8003920471201509010331LEAD00000100000055113651CUS-20370464               SUNDN5MNFIVE*TICTRC
NAUT8003920471201509010641LEAD00000100000032701407CUS-20370567               SUNDN5MNFIVE*TICTRC
NAUT8004163787201509011816LEAD00000100000014219716CUS-20371411               CMSYL60*HAMF*TICBMT
NAUT8004367530201509011312LEAD00000100000099003509CUS-20371069               JUSTN120HAMBYTICBMT
NAUT8005248451201509010721LEAD00000100000077032713CUS-20370596               USA*N60*WLKNYTICTRC
NAUT8005248451201509010722LEAD00000100000074023918CUS-20370598               USA*N60*WLKNYTICTRC
NAUT8005248451201509011608LEAD00000100000026570304CUS-20371301               USA*N60*WLKNYTICTRC
NAUT8005276842201509010738LEAD00000100000062301217CUS-20370626               HMM*N5MINFIVE*TICTRC
NAUT8005276842201509011037LEAD00000100000035127205CUS-20370848               HMM*N5MINFIVE*TICTRC
NAUT8005382903201509010957LEAD00000100000011801516CUS-20370812               GAMEN120WMNS*TICTRC
NAUT8005383381201509010608LEAD00000100000027501919CUS-20370527               INSPN120WMNS*TICTRC
NAUT8005383381201509010608LEAD00000100000037917865CUS-20370528               INSPN120WMNS*TICTRC
NAUT8005383381201509010610LEAD00000100000035142205CUS-20370529               INSPN120WMNS*TICTRC
NAUT8005489735201509011605LEAD00000100000092504951CUS-20371297               RS**L120HAMBYTICBMT
NAUT8006148456201509010748LEAD00000100000026101469CUS-20370631               FOX*NVODNOTSTTICBMT
NAUT8006172452201509010910LEAD00000100000012721973CUS-18046016               CORTN0*HAMF*TICBMT
NAUT8006172452201509011322LEAD00000100000021904443CUS-20371089               CORTN0*HAMF*TICBMT
NAUT8006172452201509011323LEAD00000100000011221718CUS-20371091               CORTN0*HAMF*TICBMT
