US Short Form Leads
NAUT8002035443201507202238LEAD00000100000077083832CUS-20308845               BRNGN120TCMOMTICTRC
NAUT8002175036201507200634LEAD00000100000015146412CUS-20307354               FYI*N180HAMF*TICBMT
NAUT8002175036201507200637LEAD00000100000064034816CUS-20307352               FYI*N180HAMF*TICBMT
NAUT8002175036201507200649LEAD00000100000044060440CUS-12952966               FYI*N180HAMF*TICBMT
NAUT8002175036201507201049LEAD00000100000078114801CUS-20307773               FYI*N180HAMF*TICBMT
NAUT8002479645201507201648LEAD00000100000097230971CUS-20308375               QUBON120TCMOMTICTRC
NAUT8002528750201507201011LEAD00000100000091030626CUS-20307704               OWN*N180HAMF*TICBMT
NAUT8002528750201507201051LEAD00000100000070122504CUS-13261121               OWN*N180HAMF*TICBMT
NAUT8002528750201507201052LEAD00000100000024639276CUS-20307778               OWN*N180HAMF*TICBMT
NAUT8002528750201507201052LEAD00000100000036532251CUS-19881454               OWN*N180HAMF*TICBMT
NAUT8002528750201507201052LEAD00000100000062828618CUS-20307779               OWN*N180HAMF*TICBMT
NAUT8002528750201507201054LEAD00000100000004350207CUS-20307781               OWN*N180HAMF*TICBMT
NAUT8002528750201507201054LEAD00000100000054303920CUS-20307782               OWN*N180HAMF*TICBMT
NAUT8002528750201507201142LEAD00000100000019054215CUS-20307864               OWN*N180HAMF*TICBMT
NAUT8002528750201507201146LEAD00000100000044118330CUS-20307867               OWN*N180HAMF*TICBMT
NAUT8002528750201507201644LEAD00000100000052627319CUS-20308359               OWN*N180HAMF*TICBMT
NAUT8002528750201507201645LEAD00000100000078109210CUS-20308362               OWN*N180HAMF*TICBMT
NAUT8002528750201507201647LEAD00000100000070601337CUS-20308366               OWN*N180HAMF*TICBMT
NAUT8002528750201507201650LEAD00000100000020707301CUS-20308379               OWN*N180HAMF*TICBMT
NAUT8002528750201507202304LEAD00000100000038117901CUS-20308863               OWN*N180HAMF*TICBMT
NAUT8002542818201507200616LEAD00000100000044112216CUS-20307329               INSPN120ALOBYTICTRC
NAUT8002542818201507200617LEAD00000100000019966302CUS-20307333               INSPN120ALOBYTICTRC
NAUT8002542818201507200617LEAD00000100000046173765CUS-20307330               INSPN120ALOBYTICTRC
NAUT8002542818201507200618LEAD00000100000075115972CUS-20307334               INSPN120ALOBYTICTRC
NAUT8002542818201507200913LEAD00000100000071743870CUS-20307602               INSPN120ALOBYTICTRC
NAUT8002542818201507201935LEAD00000100000008050609CUS-20308675               INSPN120ALOBYTICTRC
NAUT8002542818201507202137LEAD00000100000039565228CUS-20308801               INSPN120ALOBYTICTRC
NAUT8002580343201507201228LEAD00000100000024171276CUS-11864866               UPTVN120ALOBYTICTRC
NAUT8002580343201507201230LEAD00000100000034953772CUS-20307943               UPTVN120ALOBYTICTRC
NAUT8002580343201507201230LEAD00000100000038637901CUS-20307947               UPTVN120ALOBYTICTRC
NAUT8002580343201507201230LEAD00000100000044507330CUS-20307948               UPTVN120ALOBYTICTRC
NAUT8002580343201507201546LEAD00000100000043609419CUS-20308265               UPTVN120ALOBYTICTRC
NAUT8002580343201507201556LEAD00000100000099615907CUS-20308282               UPTVN120ALOBYTICTRC
NAUT8002580343201507201636LEAD00000100000033409561CUS-20308338               UPTVN120ALOBYTICTRC
NAUT8002580343201507201638LEAD00000100000053209414CUS-20308342               UPTVN120ALOBYTICTRC
NAUT8002580646201507200610LEAD00000100000016506814CUS-20307323               ION*N120ALOBYTICTRC
NAUT8002580646201507200610LEAD00000100000070121504CUS-19926637               ION*N120ALOBYTICTRC
NAUT8002580646201507200613LEAD00000100000023227804CUS-20307327               ION*N120ALOBYTICTRC
NAUT8002580646201507200800LEAD00000100000074074409CUS-20307466               ION*N120ALOBYTICTRC
NAUT8002591694201507201350LEAD00000100000086445760CUS-20308081               METVN120ALOBYTICTRC
NAUT8002917847201507200752LEAD00000100000002043781CUS-9533660               ION*N120BFMAXTICBMT
NAUT8002949672201507200839LEAD00000100000030518470CUS-20307525               DTVSN60*HAMF*TICBMT
NAUT8002949672201507200852LEAD00000100000091792626CUS-20307556               DTVSN60*HAMF*TICBMT
NAUT8002949672201507201939LEAD00000100000029483843CUS-20308682               DTVSN60*HAMF*TICBMT
NAUT8002972817201507201644LEAD00000100000006475860CUS-20308360               SCIEN120HAMBYTICBMT
NAUT8002987359201507201725LEAD00000100000064130816CUS-20308485               TESCN120ALOBYTICTRC
NAUT8002987359201507201730LEAD00000100000064109816CUS-20308490               TESCN120ALOBYTICTRC
NAUT8003184501201507200538LEAD00000100000028052704CUS-20307305               MOVSN5MNFIVE*TICTRC
NAUT8003184501201507200731LEAD00000100000032822205CUS-20307420               MOVSN5MNFIVE*TICTRC
NAUT8003711791201507202240LEAD00000100000057501605CUS-20308851               NMOMN60*WALKATICTRC
NAUT8003751713201507200617LEAD00000100000014206716CUS-20178214               BBCAN120HAMBYTICBMT
NAUT8003751713201507202339LEAD00000100000050324515CUS-20308874               BBCAN120HAMBYTICBMT
NAUT8003752514201507200910LEAD00000100000019046215CUS-20307596               CNBCN60*HAMF*TICBMT
NAUT8003759052201507200624LEAD00000100000035960256CUS-20307341               DSHKN60*WALKATICTRC
NAUT8003779071201507201713LEAD00000100000086326928CUS-20308453               OWN*N5MNFIVE*TICTRC
NAUT8003920471201507200237LEAD00000100000053934608CUS-20307263               SUNDN5MNFIVE*TICTRC
NAUT8003920471201507200339LEAD00000100000094928707CUS-20307276               SUNDN5MNFIVE*TICTRC
NAUT8004163787201507201725LEAD00000100000010466718CUS-20308479               CMSYL60*HAMF*TICBMT
NAUT8004200250201507201225LEAD00000100000002169857CUS-17924166               LAFFN120HAMBYTICBMT
NAUT8004200250201507201227LEAD00000100000064150816CUS-20307939               LAFFN120HAMBYTICBMT
NAUT8004200250201507201227LEAD00000100000080504303CUS-16040058               LAFFN120HAMBYTICBMT
NAUT8004200250201507201412LEAD00000100000006033609CUS-20308118               LAFFN120HAMBYTICBMT
NAUT8004200250201507201430LEAD00000100000048213810CUS-20308143               LAFFN120HAMBYTICBMT
NAUT8004200250201507201648LEAD00000100000048234313CUS-20308372               LAFFN120HAMBYTICBMT
NAUT8004262803201507201147LEAD00000100000028086980CUS-20307856               SUNDN180HAMF*TICBMT
NAUT8004365669201507201222LEAD00000100000015021724CUS-1874781               WNATN120HAMBYTICBMT
NAUT8004365669201507201349LEAD00000100000038126901CUS-20296376               WNATN120HAMBYTICBMT
NAUT8004367530201507201533LEAD00000100000010001212CUS-20308235               JUSTN120HAMBYTICBMT
NAUT8004367530201507201747LEAD000001000000207CUS-20308524               JUSTN120HAMBYTICBMT
NAUT8004367530201507201818LEAD00000100000095230209CUS-20308576               JUSTN120HAMBYTICBMT
NAUT8005276842201507200038LEAD00000100000070117504CUS-20307240               HMM*N5MINFIVE*TICTRC
NAUT8005276842201507200536LEAD00000100000044039440CUS-20307304               HMM*N5MINFIVE*TICTRC
NAUT8005276842201507200538LEAD00000100000049676231CUS-20307306               HMM*N5MINFIVE*TICTRC
NAUT8005276842201507200541LEAD00000100000092545951CUS-20307308               HMM*N5MINFIVE*TICTRC
NAUT8005276842201507200627LEAD00000100000091607CUS-20307346               HMM*N5MINFIVE*TICTRC
