US Short Form Leads
NAUT8002917847201409100609LEAD00000100000025413304CUS-19712208               ION*N120BFMAXTICBMT
NAUT8003518887201409100942LEAD00000100000033778727CUS-19712445               IFC*N120BFMAXTICBMT
NAUT8003518887201409100943LEAD00000100000060153773CUS-19712447               IFC*N120BFMAXTICBMT
NAUT8003518887201409100949LEAD00000100000035115205CUS-211490               IFC*N120BFMAXTICBMT
NAUT8003518887201409101017LEAD00000100000060655773CUS-6701853               IFC*N120BFMAXTICBMT
NAUT8003518887201409101104LEAD00000100000077049713CUS-19712572               IFC*N120BFMAXTICBMT
NAUT8003518887201409101138LEAD00000100000044035440CUS-19712624               IFC*N120BFMAXTICBMT
NAUT8003518887201409101334LEAD00000100000033880863CUS-19712832               IFC*N120BFMAXTICBMT
NAUT8003582499201409100635LEAD00000100000095608916CUS-12671344               HIS2N180BFMAXTICBMT
NAUT8003582499201409100637LEAD00000100000047421812CUS-19712222               HIS2N180BFMAXTICBMT
NAUT8003582499201409100652LEAD00000100000078005210CUS-19712230               HIS2N180BFMAXTICBMT
NAUT8003582499201409100822LEAD00000100000032771407CUS-19712304               HIS2N180BFMAXTICBMT
NAUT8003582499201409101003LEAD00000100000038068901CUS-19712469               HIS2N180BFMAXTICBMT
NAUT8003667015201409100724LEAD00000100000036532225CUS-19712263               VEL*N180BFMAXTICBMT
NAUT8003667015201409100726LEAD00000100000053129414CUS-19712267               VEL*N180BFMAXTICBMT
NAUT8003667015201409100734LEAD00000100000091786909CUS-19712269               VEL*N180BFMAXTICBMT
NAUT8003667015201409101521LEAD00000100000002121617CUS-3311701               VEL*N180BFMAXTICBMT
NAUT8003923316201409101120LEAD00000100000033566813CUS-2478072               SUNDN120JYBOWTICTRC
NAUT8004272727201409101433LEAD00000100000040146270CUS-19511014               METVN120GRT2HTICTRC
NAUT8004272727201409101434LEAD00000100000035811256CUS-19712959               METVN120GRT2HTICTRC
NAUT8004272727201409101435LEAD00000100000030236770CUS-19712964               METVN120GRT2HTICTRC
NAUT8004272727201409101435LEAD00000100000078108210CUS-19712960               METVN120GRT2HTICTRC
NAUT8004272727201409101436LEAD00000100000012123518CUS-19712967               METVN120GRT2HTICTRC
NAUT8004272727201409101436LEAD00000100000030467912CUS-19712962               METVN120GRT2HTICTRC
NAUT8004272727201409101436LEAD00000100000048038586CUS-19712968               METVN120GRT2HTICTRC
NAUT8004272727201409101437LEAD00000100000052302319CUS-19712974               METVN120GRT2HTICTRC
NAUT8004272727201409101438LEAD00000100000033012786CUS-19712971               METVN120GRT2HTICTRC
NAUT8004272727201409101439LEAD00000100000011414718CUS-19712976               METVN120GRT2HTICTRC
NAUT8004272727201409101439LEAD00000100000033935863CUS-19712973               METVN120GRT2HTICTRC
NAUT8004272727201409101441LEAD00000100000001930740CUS-19712978               METVN120GRT2HTICTRC
NAUT8004272727201409101527LEAD00000100000077373281CUS-19713039               METVN120GRT2HTICTRC
NAUT8004272727201409101736LEAD00000100000097124503CUS-19713232               METVN120GRT2HTICTRC
NAUT8004272727201409101837LEAD00000100000097386541CUS-19713277               METVN120GRT2HTICTRC
NAUT8004365437201409100013LEAD00000100000028697336CUS-19712146               PUREN180BFMAXTICBMT
NAUT8004365437201409101152LEAD00000100000002920401CUS-19712658               PUREN180BFMAXTICBMT
NAUT8004375781201409101451LEAD00000100000046970765CUS-1628970               HALMN120GRT2HTICTRC
NAUT8004399230201409101335LEAD00000100000037879423CUS-19712835               INSPN120GRT2HTICTRC
NAUT8004400559201409101248LEAD00000100000028778828CUS-19712774               FOXNN120GRT2HTICTRC
NAUT8004400559201409101354LEAD00000100000075477903CUS-19712883               FOXNN120GRT2HTICTRC
NAUT8004634035201409100946LEAD00000100000036108334CUS-19712452               NAN*L60*GRT2HTICTRC
NAUT8004668119201409100510LEAD00000100000030087770CUS-19712192               PALLN120GENTSTICTRC
NAUT8004668119201409101624LEAD00000100000046221317CUS-19713133               PALLN120GENTSTICTRC
NAUT8004669741201409100756LEAD00000100000014612585CUS-9997788               SUNDN120GENTSTICTRC
NAUT8004669741201409101011LEAD00000100000060506630CUS-19712484               SUNDN120GENTSTICTRC
NAUT8004669741201409101056LEAD00000100000060409708CUS-19712559               SUNDN120GENTSTICTRC
NAUT8004669741201409101056LEAD00000100000078641512CUS-19712562               SUNDN120GENTSTICTRC
NAUT8004669741201409101303LEAD00000100000043466419CUS-19712785               SUNDN120GENTSTICTRC
NAUT8004742899201409100746LEAD00000100000037362423CUS-19712295               CMT*N120GENTSTICTRC
NAUT8004742899201409100851LEAD00000100000053821608CUS-19712365               CMT*N120GENTSTICTRC
NAUT8004742899201409101243LEAD00000100000045760740CUS-19712759               CMT*N120GENTSTICTRC
NAUT8004742899201409101243LEAD00000100000078332361CUS-19712760               CMT*N120GENTSTICTRC
NAUT8004742899201409101245LEAD00000100000043607567CUS-19712767               CMT*N120GENTSTICTRC
NAUT8004742899201409101247LEAD00000100000043211614CUS-19712761               CMT*N120GENTSTICTRC
NAUT8004742899201409101250LEAD00000100000038340731CUS-19712776               CMT*N120GENTSTICTRC
NAUT8004742899201409101413LEAD00000100000054701715CUS-19712915               CMT*N120GENTSTICTRC
NAUT8004742899201409101614LEAD00000100000070441985CUS-19713123               CMT*N120GENTSTICTRC
NAUT8004760480201409101632LEAD00000100000048661231CUS-19713142               INSPN180GRT2HTICTRC
NAUT8004760480201409101632LEAD00000100000075215214CUS-19713141               INSPN180GRT2HTICTRC
NAUT8004760480201409101632LEAD00000100000082931307CUS-19713143               INSPN180GRT2HTICTRC
NAUT8004760480201409101633LEAD00000100000070615337CUS-19713139               INSPN180GRT2HTICTRC
NAUT8004768135201409102142LEAD00000100000027407336CUS-19713573               AMC*L60*WALKATICTRC
NAUT8004809199201409100700LEAD00000100000029073803CUS-19712238               SUNDN120BFMAXTICBMT
NAUT8004809199201409100743LEAD00000100000021133443CUS-6981104               SUNDN120BFMAXTICBMT
NAUT8004809199201409100744LEAD00000100000014612585CUS-9997788               SUNDN120BFMAXTICBMT
NAUT8004809199201409101015LEAD00000100000078108210CUS-19712492               SUNDN120BFMAXTICBMT
NAUT8004969798201409100709LEAD00000100000071403337CUS-19712242               SPKEN120BFMAXTICBMT
NAUT8004969798201409100711LEAD00000100000014216716CUS-19712244               SPKEN120BFMAXTICBMT
NAUT8004969798201409100717LEAD00000100000028112704CUS-19712260               SPKEN120BFMAXTICBMT
NAUT8004969798201409101017LEAD00000100000070583337CUS-19712494               SPKEN120BFMAXTICBMT
NAUT8004969798201409101205LEAD00000100000078332361CUS-19712683               SPKEN120BFMAXTICBMT
NAUT8005248457201409100659LEAD00000100000048030248CUS-19712237               HIS2N180GRT2HTICTRC
NAUT8005248457201409101026LEAD00000100000063385636CUS-19712507               HIS2N180GRT2HTICTRC
NAUT8005248457201409101028LEAD00000100000074133918CUS-19712512               HIS2N180GRT2HTICTRC
NAUT8005248457201409101029LEAD00000100000085119480CUS-19712516               HIS2N180GRT2HTICTRC
NAUT8005248457201409101213LEAD00000100000070611337CUS-19712696               HIS2N180GRT2HTICTRC
NAUT8005248457201409101214LEAD00000100000076073940CUS-19712699               HIS2N180GRT2HTICTRC
NAUT8005475885201409101753LEAD00000100000030058404CUS-19713263               VH1CN120NTSTPI**TRC
NAUT8005514022201409101352LEAD00000100000015376724CUS-19712878               HALMN120BOOMRTICTRC
NAUT8005617572201409101231LEAD00000100000030909706CUS-19712739               VH1*L60*WALKATICTRC
NAUT8005923486201409100829LEAD00000100000030113770CUS-19712347               DRTMN60*NOTSTTICBMT
NAUT8005923486201409100833LEAD00000100000015214412CUS-581408               DRTMN60*NOTSTTICBMT
NAUT8006148295201409101147LEAD00000100000046224317CUS-19712650               UPTVN120WALKATICTRC
NAUT8006148295201409101234LEAD00000100000017774570CUS-19712747               UPTVN120WALKATICTRC
NAUT8006148295201409101235LEAD00000100000066509785CUS-6378764               UPTVN120WALKATICTRC
NAUT8006148295201409101533LEAD00000100000015235412CUS-19713045               UPTVN120WALKATICTRC
NAUT8006148320201409101240LEAD00000100000028395910CUS-6094708               USALL60*NOTSTTICBMT
NAUT8006148320201409101241LEAD00000100000078577956CUS-19712755               USALL60*NOTSTTICBMT
NAUT8006148320201409101243LEAD00000100000094621510CUS-19712757               USALL60*NOTSTTICBMT
NAUT8006148461201409100825LEAD00000100000002302774CUS-19712337               HALMN120WALKATICTRC
NAUT8006148461201409100825LEAD00000100000077301832CUS-19712338               HALMN120WALKATICTRC
NAUT8006148461201409100829LEAD00000100000076107682CUS-19712345               HALMN120WALKATICTRC
NAUT8006516384201409100856LEAD00000100000038676662CUS-19712373               INSPN120WALKATICTRC
NAUT8006516384201409100857LEAD00000100000028472910CUS-19712371               INSPN120WALKATICTRC
NAUT8006516384201409100857LEAD00000100000028570252CUS-19712374               INSPN120WALKATICTRC
NAUT8006516384201409100857LEAD00000100000046140317CUS-19712370               INSPN120WALKATICTRC
NAUT8006516384201409100859LEAD00000100000037062615CUS-19712379               INSPN120WALKATICTRC
NAUT8006516384201409100903LEAD00000100000036567251CUS-19712380               INSPN120WALKATICTRC
NAUT8006516384201409100907LEAD00000100000076244817CUS-19712381               INSPN120WALKATICTRC
NAUT8006533024201409100743LEAD00000100000063021636CUS-19712288               SPKEN120GENTSTICTRC
NAUT8006533024201409100744LEAD00000100000054838715CUS-19712289               SPKEN120GENTSTICTRC
NAUT8006533024201409100746LEAD00000100000070815225CUS-19712293               SPKEN120GENTSTICTRC
NAUT8006533024201409100753LEAD00000100000072120501CUS-19712297               SPKEN120GENTSTICTRC
NAUT8006533024201409100958LEAD00000100000071403337CUS-19712464               SPKEN120GENTSTICTRC
NAUT8006533024201409101044LEAD00000100000042647606CUS-7747434               SPKEN120GENTSTICTRC
NAUT8006533024201409101046LEAD00000100000030125770CUS-19712543               SPKEN120GENTSTICTRC
NAUT8006533024201409101047LEAD00000100000047374765CUS-19712545               SPKEN120GENTSTICTRC
NAUT8006533024201409101049LEAD00000100000024523434CUS-19712551               SPKEN120GENTSTICTRC
NAUT8006533024201409101215LEAD00000100000046151812CUS-19712700               SPKEN120GENTSTICTRC
