US Short Form Leads
NAUT8002479645201506010903LEAD00000100000021742301CUS-20246373               QUBON120TCMOMTICTRC
NAUT8002542818201506010646LEAD00000100000070049985CUS-20246162               INSPN120ALOBYTICTRC
NAUT8002542818201506010646LEAD00000100000071447318CUS-20246159               INSPN120ALOBYTICTRC
NAUT8002542818201506010647LEAD00000100000037167615CUS-20246165               INSPN120ALOBYTICTRC
NAUT8002542818201506010647LEAD00000100000085541928CUS-20246164               INSPN120ALOBYTICTRC
NAUT8002542818201506011012LEAD00000100000085603520CUS-20246512               INSPN120ALOBYTICTRC
NAUT8002542818201506011040LEAD00000100000048450810CUS-20246536               INSPN120ALOBYTICTRC
NAUT8002542818201506011433LEAD00000100000078410361CUS-20246913               INSPN120ALOBYTICTRC
NAUT8002542818201506011721LEAD00000100000028792828CUS-20247118               INSPN120ALOBYTICTRC
NAUT8002542818201506011722LEAD00000100000029706803CUS-20247123               INSPN120ALOBYTICTRC
NAUT8002542818201506011722LEAD00000100000039046601CUS-20247125               INSPN120ALOBYTICTRC
NAUT8002542818201506011723LEAD00000100000002360508CUS-20247120               INSPN120ALOBYTICTRC
NAUT8002542818201506011723LEAD00000100000060443708CUS-20247116               INSPN120ALOBYTICTRC
NAUT8002542818201506011822LEAD00000100000031620229CUS-20247193               INSPN120ALOBYTICTRC
NAUT8002542818201506011823LEAD00000100000039455601CUS-20247199               INSPN120ALOBYTICTRC
NAUT8002542818201506011823LEAD00000100000057006605CUS-20247196               INSPN120ALOBYTICTRC
NAUT8002542818201506011824LEAD00000100000098406253CUS-20247201               INSPN120ALOBYTICTRC
NAUT8002542818201506011825LEAD00000100000077328832CUS-20247202               INSPN120ALOBYTICTRC
NAUT8002542818201506011840LEAD00000100000095758916CUS-20247194               INSPN120ALOBYTICTRC
NAUT8002542818201506012136LEAD00000100000083350208CUS-20247394               INSPN120ALOBYTICTRC
NAUT8002591694201506011039LEAD00000100000096729808CUS-20225548               METVN120ALOBYTICTRC
NAUT8002729851201506020136LEAD00000100000074354918CUS-20247470               ODORN60*HAMF*TICBMT
NAUT8003779071201506011127LEAD00000100000045432937CUS-20246595               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011128LEAD00000100000085388623CUS-20246596               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011129LEAD00000100000015129412CUS-20195154               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011129LEAD00000100000019977302CUS-20246597               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011130LEAD00000100000013335607CUS-20246603               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011130LEAD00000100000028391910CUS-20246601               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011130LEAD00000100000040175270CUS-20246602               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011130LEAD00000100000090221562CUS-20246600               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011237LEAD00000100000019403484CUS-20246737               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506011237LEAD00000100000098579360CUS-20246735               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506020036LEAD00000100000035218205CUS-20247458               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506020037LEAD00000100000039667601CUS-20247459               OWN*N5MNFIVE*TICTRC
NAUT8004173507201506011937LEAD00000100000011520516CUS-20247296               LRW*N5MNFIVE*TICTRC
NAUT8004173507201506011940LEAD00000100000020904301CUS-20247299               LRW*N5MNFIVE*TICTRC
NAUT8004365669201506011408LEAD00000100000037042931CUS-20246870               WNATN120HAMBYTICBMT
NAUT8004365669201506011603LEAD00000100000028906828CUS-20247029               WNATN120HAMBYTICBMT
NAUT8004365669201506011900LEAD00000100000078228210CUS-20247234               WNATN120HAMBYTICBMT
NAUT8004368299201506011059LEAD00000100000054751715CUS-20246566               DFAMN120TCMOMTICTRC
NAUT8004368299201506011402LEAD00000100000063935573CUS-20246864               DFAMN120TCMOMTICTRC
NAUT8004768135201506011449LEAD00000100000081004719CUS-20246931               AMC*L60*ALOHATICTRC
NAUT8004768135201506011451LEAD00000100000017331717CUS-20246934               AMC*L60*ALOHATICTRC
