US Short Form Leads
NAUT8002917847201410181350LEAD00000100000010466646CUS-19760369               ION*N120BFMAXTICBMT
NAUT8002984976201410180622LEAD00000100000011795631CUS-19759818               FOX*NVODGRT2HTICTRC
NAUT8003359236201410180534LEAD00000100000097333541CUS-19759795               CNNNP60*GRT2HWSTTRC
NAUT8003359236201410180750LEAD00000100000050076712CUS-19759890               CNNNP60*GRT2HWSTTRC
NAUT8003582499201410181602LEAD00000100000031558912CUS-19760619               HIS2N180BFMAXTICBMT
NAUT8003582499201410181609LEAD00000100000085730520CUS-19760647               HIS2N180BFMAXTICBMT
NAUT8003582499201410181609LEAD00000100000099518907CUS-19760648               HIS2N180BFMAXTICBMT
NAUT8003582499201410181610LEAD00000100000097535541CUS-19760652               HIS2N180BFMAXTICBMT
NAUT8003582499201410182055LEAD00000100000053227414CUS-19760978               HIS2N180BFMAXTICBMT
NAUT8003661911201410180047LEAD00000100000032011904CUS-19759749               SUNDN180BFMAXTICBMT
NAUT8003661911201410180048LEAD00000100000032011904CUS-19759749               SUNDN180BFMAXTICTRC
NAUT8003661911201410180248LEAD00000100000023320757CUS-19759768               SUNDN180BFMAXTICBMT
NAUT8003667015201410180749LEAD00000100000077505281CUS-19759888               VEL*N180BFMAXTICBMT
NAUT8003667015201410181057LEAD00000100000066216913CUS-19760122               VEL*N180BFMAXTICBMT
NAUT8003667015201410181058LEAD00000100000045013513CUS-19760123               VEL*N180BFMAXTICBMT
NAUT8003667015201410181149LEAD00000100000005301802CUS-19760209               VEL*N180BFMAXTICBMT
NAUT8003667015201410181150LEAD00000100000045784740CUS-19760210               VEL*N180BFMAXTICBMT
NAUT8003667015201410181150LEAD00000100000077474281CUS-19760211               VEL*N180BFMAXTICBMT
NAUT8003667015201410181150LEAD00000100000092113619CUS-19760212               VEL*N180BFMAXTICBMT
NAUT8003667015201410181151LEAD00000100000019083484CUS-19760216               VEL*N180BFMAXTICBMT
NAUT8003667015201410181151LEAD00000100000085248480CUS-19760215               VEL*N180BFMAXTICBMT
NAUT8004272727201410181352LEAD00000100000072104501CUS-19760374               METVN120GRT2HTICTRC
NAUT8004272727201410181518LEAD00000100000023222804CUS-19760520               METVN120GRT2HTICTRC
NAUT8004272727201410181518LEAD00000100000032208904CUS-19760525               METVN120GRT2HTICTRC
NAUT8004272727201410181518LEAD00000100000043551419CUS-19760521               METVN120GRT2HTICTRC
NAUT8004272727201410181519LEAD00000100000072421870CUS-19760528               METVN120GRT2HTICTRC
NAUT8004272727201410181520LEAD00000100000060644773CUS-19760531               METVN120GRT2HTICTRC
NAUT8004272727201410181521LEAD00000100000094590415CUS-19760536               METVN120GRT2HTICTRC
NAUT8004272727201410181522LEAD00000100000052754506CUS-19760538               METVN120GRT2HTICTRC
NAUT8004272727201410181527LEAD00000100000078570956CUS-19760546               METVN120GRT2HTICTRC
NAUT8004272727201410181603LEAD00000100000052556641CUS-19760623               METVN120GRT2HTICTRC
NAUT8004272727201410181723LEAD00000100000086409760CUS-19760730               METVN120GRT2HTICTRC
NAUT8004272727201410181820LEAD00000100000095620707CUS-19760780               METVN120GRT2HTICTRC
NAUT8004272727201410181821LEAD00000100000093274559CUS-19760782               METVN120GRT2HTICTRC
NAUT8004272727201410181845LEAD00000100000033647813CUS-19760806               METVN120GRT2HTICTRC
NAUT8004365437201410181506LEAD00000100000048327248CUS-19760474               PUREN180BFMAXTICBMT
NAUT8004365437201410181512LEAD00000100000098118206CUS-19760497               PUREN180BFMAXTICBMT
NAUT8004365437201410182152LEAD00000100000072103501CUS-19761030               PUREN180BFMAXTICBMT
NAUT8004400559201410180149LEAD00000100000072016501CUS-19759761               FOXNN120GRT2HTICTRC
NAUT8004412400201410182012LEAD00000100000052404563CUS-19760914               TOONP60*GRT2HWSTTRC
NAUT8004412400201410182012LEAD00000100000071343318CUS-19760912               TOONP60*GRT2HWSTTRC
NAUT8004412400201410182013LEAD00000100000002148CUS-19760915               TOONP60*GRT2HWSTTRC
