US Short Form Leads
NAUT8002035443201506250636LEAD00000100000039350601CUS-20271321               BRNGN120TCMOMTICTRC
NAUT8002542818201506250701LEAD00000100000027534919CUS-20271334               INSPN120ALOBYTICTRC
NAUT8002542818201506250701LEAD00000100000053951734CUS-20271333               INSPN120ALOBYTICTRC
NAUT8002542818201506250701LEAD00000100000064843417CUS-20271338               INSPN120ALOBYTICTRC
NAUT8003209906201506250705LEAD00000100000039479601CUS-20271335               CMT*N120TCDADTICTRC
NAUT8003302710201506251236LEAD00000100000007004973CUS-20271680               BRNGN120TCDADTICTRC
NAUT8003302710201506251237LEAD00000100000040014502CUS-20271685               BRNGN120TCDADTICTRC
NAUT8003302710201506251238LEAD00000100000040355502CUS-20271687               BRNGN120TCDADTICTRC
NAUT8003302710201506251249LEAD00000100000077082601CUS-20271688               BRNGN120TCDADTICTRC
NAUT8003308416201506260236LEAD00000100000099503907CUS-20272153               FOXNN120TCDADTICTRC
NAUT8003308416201506260237LEAD00000100000075758903CUS-20272154               FOXNN120TCDADTICTRC
NAUT8003370929201506251753LEAD00000100000015212412CUS-20197881               SMTHN120TCDADTICTRC
NAUT8003370929201506251753LEAD00000100000045246513CUS-20271945               SMTHN120TCDADTICTRC
NAUT8003779071201506250036LEAD00000100000075932409CUS-20271239               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506250237LEAD00000100000097459541CUS-20271247               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506250436LEAD00000100000036613251CUS-20271266               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506250538LEAD00000100000036832334CUS-20271298               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251010LEAD00000100000061883217CUS-20271501               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251128LEAD00000100000031901706CUS-20271591               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251128LEAD00000100000060174773CUS-20271592               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251128LEAD00000100000085022602CUS-20269740               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251129LEAD00000100000015923724CUS-20271594               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251129LEAD00000100000044870419CUS-20271595               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251130LEAD00000100000039773662CUS-20271596               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251130LEAD00000100000060475705CUS-20271598               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251131LEAD00000100000008053856CUS-6781316               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251131LEAD00000100000036266256CUS-20271599               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251131LEAD00000100000053190262CUS-20271601               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251131LEAD00000100000087104505CUS-20271600               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251132LEAD00000100000077859979CUS-20271603               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251135LEAD00000100000033971305CUS-20271606               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506251146LEAD00000100000062896618CUS-20271625               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506260038LEAD00000100000010469646CUS-20272138               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506260038LEAD00000100000029556843CUS-20272139               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506260100LEAD00000100000070807225CUS-20272141               OWN*N5MNFIVE*TICTRC
NAUT8003779071201506260136LEAD00000100000051560712CUS-20272146               OWN*N5MNFIVE*TICTRC
NAUT8004365669201506251449LEAD00000100000035007205CUS-2066230               WNATN120HAMBYTICBMT
