US Short Form Leads
NAUT8002917847201411081106LEAD00000100000001824978CUS-19791936               ION*N120MRYMXTICBMT
NAUT8002959083201411081533LEAD00000100000020774443CUS-19792559               FXLOL60*MRYMXTICBMT
NAUT8003582499201411080806LEAD00000100000046060317CUS-15923099               HIS2N180MRYMXTICBMT
NAUT8003667015201411080957LEAD00000100000019143215CUS-17842217               VEL*N180MRYMXTICBMT
NAUT8003667015201411080957LEAD00000100000060169847CUS-13038250               VEL*N180MRYMXTICBMT
NAUT8003667015201411080959LEAD00000100000083858208CUS-19791740               VEL*N180MRYMXTICBMT
NAUT8003667015201411081000LEAD00000100000092821714CUS-19791745               VEL*N180MRYMXTICBMT
NAUT8003667015201411081000LEAD00000100000094061650CUS-19791748               VEL*N180MRYMXTICBMT
NAUT8003667015201411081017LEAD00000100000090715562CUS-12025318               VEL*N180MRYMXTICBMT
NAUT8003995970201411081809LEAD00000100000054773715CUS-38682               HALHN60*JYBOWTICTRC
NAUT8004272727201411081129LEAD00000100000019139215CUS-19791997               METVN120GRT2HTICTRC
NAUT8004272727201411081129LEAD00000100000038122901CUS-19792001               METVN120GRT2HTICTRC
NAUT8004272727201411081129LEAD00000100000044047440CUS-19792002               METVN120GRT2HTICTRC
NAUT8004272727201411081129LEAD00000100000064469816CUS-19791998               METVN120GRT2HTICTRC
NAUT8004272727201411081130LEAD00000100000044118216CUS-19792005               METVN120GRT2HTICTRC
NAUT8004272727201411081131LEAD00000100000001560508CUS-19792010               METVN120GRT2HTICTRC
NAUT8004272727201411081131LEAD00000100000053233414CUS-19792009               METVN120GRT2HTICTRC
NAUT8004272727201411081137LEAD00000100000090501310CUS-19792016               METVN120GRT2HTICTRC
NAUT8004272727201411081219LEAD00000100000055014612CUS-19792127               METVN120GRT2HTICTRC
NAUT8004272727201411081231LEAD00000100000085020602CUS-19792151               METVN120GRT2HTICTRC
NAUT8004272727201411081231LEAD00000100000085042602CUS-19792152               METVN120GRT2HTICTRC
NAUT8004272727201411081237LEAD00000100000075961936CUS-19792166               METVN120GRT2HTICTRC
NAUT8004272727201411081349LEAD00000100000015129724CUS-19792332               METVN120GRT2HTICTRC
NAUT8004272727201411081349LEAD00000100000036116334CUS-19792333               METVN120GRT2HTICTRC
NAUT8004366634201411081858LEAD00000100000053227414CUS-19792903               IONLN180WALKATICTRC
NAUT8004400559201411080112LEAD00000100000097009503CUS-19791208               FOXNN120GRT2HTICTRC
NAUT8004400559201411080721LEAD00000100000024225276CUS-19791445               FOXNN120GRT2HTICTRC
NAUT8004416283201411081103LEAD00000100000055976507CUS-19791903               PUREN180GRT2HTICTRC
NAUT8004669741201411080626LEAD00000100000008844908CUS-19791329               SUNDN120GNTMFTICTRC
NAUT8004669741201411080629LEAD00000100000001109413CUS-19791339               SUNDN120GNTMFTICTRC
NAUT8004669741201411080629LEAD00000100000090620714CUS-19791337               SUNDN120GNTMFTICTRC
NAUT8004669741201411080632LEAD00000100000032224904CUS-19791344               SUNDN120GNTMFTICTRC
NAUT8004669741201411081658LEAD00000100000029512843CUS-3038559               SUNDN120GNTMFTICTRC
